年次,Year,地域階層,地域コード,地域,District,メーター個数 Number of gas meterｓ,販売量　Gas sold （1000MJ）／総数 Total,販売量　Gas sold （1000MJ）／家庭用 Residential,販売量　Gas sold （1000MJ）／商業用 Commercial,販売量　Gas sold （1000MJ）／ 工業用 Industrial,販売量　Gas sold （1000MJ）／その他 Others
平成21,2009,0,,総数,Total,6499967,240259740,87806109,57537626,71018957,23897049
平成22,2010,0,,総数,Total,6559583,254465306,89644392,58307257,80822331,25691326
平成23,2011,0,,総数,Total,6609852,243389832,88529064,53860839,77939867,23060062
平成23,2011,1,13100,区部,All ku,5098916,199131158,64323249,47999789,69652299,17155822
平成23,2011,2,13101,千代田区,Chiyoda-ku,50949,6728817,363497,5109816,9469,1246035
平成23,2011,2,13102,中央区,Chuo-ku,95473,4542350,860940,3249812,45574,386024
平成23,2011,2,13103,港区,Minato-ku,170298,13791283,1893647,10784473,68279,1044883
平成23,2011,2,13104,新宿区,Shinjuku-ku,241856,9370378,2426870,5248589,166696,1528223
平成23,2011,2,13105,文京区,Bunkyo-ku,134747,3613344,1618592,855962,41333,1097458
平成23,2011,2,13106,台東区,Taito-ku,127067,2957565,1246785,1313690,45110,351981
平成23,2011,2,13107,墨田区,Sumida-ku,148293,3951941,1721929,1172608,724903,332500
平成23,2011,2,13108,江東区,Koto-ku,247538,7329209,3274407,2085483,1092955,876363
平成23,2011,2,13109,品川区,Shinagawa-ku,227979,65388316,2699698,1911519,59955607,821492
平成23,2011,2,13110,目黒区,Meguro-ku,166874,3434558,2193258,753549,35894,451857
平成23,2011,2,13111,大田区,Ota-ku,393237,9630627,5126489,2427215,975732,1101191
平成23,2011,2,13112,世田谷区,Setagaya-ku,499471,9834436,7094743,1437514,59357,1242822
平成23,2011,2,13113,渋谷区,Shibuya-ku,169229,5811214,1781730,3350780,24507,654196
平成23,2011,2,13114,中野区,Nakano-ku,212114,3378698,2474654,545312,23104,335628
平成23,2011,2,13115,杉並区,Suginami-ku,335870,5815301,4460477,879778,30897,444150
平成23,2011,2,13116,豊島区,Toshima-ku,191820,4269606,2056922,1855623,28947,328114
平成23,2011,2,13117,北区,Kita-ku,198456,4030349,2361925,629612,556153,482659
平成23,2011,2,13118,荒川区,Arakawa-ku,112371,2080267,1390919,413163,111800,164385
平成23,2011,2,13119,板橋区,Itabashi-ku,296649,7843699,3733883,842770,1953571,1313475
平成23,2011,2,13120,練馬区,Nerima-ku,351098,6755392,5178382,675979,163251,737780
平成23,2011,2,13121,足立区,Adachi-ku,274136,6053761,3781740,965730,716282,590009
平成23,2011,2,13122,葛飾区,Katsushika-ku,193206,5060131,2752494,637738,701434,968465
平成23,2011,2,13123,江戸川区,Edogawa-ku,260185,7459917,3829268,853074,2121444,656132
平成23,2011,1,,市郡部,shi and gun,1510936,44258674,24205815,5861050,8287568,5904240
平成23,2011,2,13201,八王子市,Hachioji-shi,179528,5383004,3114790,763790,668867,835558
平成23,2011,2,13202,立川市,Tachikawa-shi,69557,2069764,1031934,630399,102361,305070
平成23,2011,2,13203,武蔵野市,Musashino-shi,82912,1886352,1134249,520985,40014,191103
平成23,2011,2,13204,三鷹市,Mitaka-shi,88733,1945993,1376004,191412,50601,327975
平成23,2011,2,13205,青梅市,Ome-shi,20868,965269,305854,57703,474764,126948
平成23,2011,2,13206,府中市,Fuchu-shi,105332,3472191,1642549,524250,663735,641657
平成23,2011,2,13207,昭島市,Akishima-shi,29841,1207319,442068,203100,386980,175171
平成23,2011,2,13208,調布市,Chofu-shi,112336,2236725,1578926,317040,77511,263248
平成23,2011,2,13209,町田市,Machida-shi,127370,3409958,2266903,532039,170524,440492
平成23,2011,2,13210,小金井市,Koganei-shi,61323,1188519,923739,111378,2088,151314
平成23,2011,2,13211,小平市,Kodaira-shi,74787,2861271,1229829,177941,1090614,362887
平成23,2011,2,13212,日野市,Hino-shi,63956,2587693,1071935,86739,1245818,183202
平成23,2011,2,13213,東村山市,Higashimurayama-shi,52345,1619042,904158,98129,223992,392763
平成23,2011,2,13214,国分寺市,Kokubunji-shi,58085,1274490,909867,151248,48751,164624
平成23,2011,2,13215,国立市,Kunitachi-shi,33760,756302,500096,112158,53353,90695
平成23,2011,2,13218,福生市,Fussa-shi,12547,318636,165688,41083,18999,92866
平成23,2011,2,13219,狛江市,Komae-shi,42104,753183,598384,66649,4957,83193
平成23,2011,2,13220,東大和市,Higashiyamato-shi,27469,1661410,503227,107352,961996,88836
平成23,2011,2,13221,清瀬市,Kiyose-shi,27597,763612,443980,42364,31708,245560
平成23,2011,2,13222,東久留米市,Higashikurume-shi,43913,1617620,757869,116954,672429,70369
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,9230,373252,128884,22364,124490,97514
平成23,2011,2,13224,多摩市,Tama-shi,59555,1854582,1011201,600143,28768,214470
平成23,2011,2,13225,稲城市,Inagi-shi,27105,854521,499343,98424,170218,86537
平成23,2011,2,13227,羽村市,Hamura-shi,5248,865781,76332,14380,741381,33688
平成23,2011,2,13228,あきる野市,Akiruno-shi,1775,157510,32281,19472,40673,65084
平成23,2011,2,13229,西東京市,Nishitokyo-shi,92401,2038395,1537502,224605,116630,159658
平成23,2011,2,13303,瑞穂町,Mizuho-machi,1067,54285,16656,15658,21962,9
平成23,2011,2,13305,日の出町,Hinode-machi,192,81995,1568,13293,53384,13750
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,
6-3  都市ガスの地域別販売量 （平成21～23年） 6-3  CITY GAS SOLD BY DISTRICT ( End of Fiscal Years 2009-2011 ),,,,,,,,,,,
注） メーター個数は年末現在。,,,,,,,,,,,
Note： “Number of gas-meters” is as of end of year. ,,,,,,,,,,,
資料：東京瓦斯株式会社， 青梅ガス株式会社， 昭島ガス株式会社， 武陽ガス株式会社， 大東ガス株式会社　Source : Tokyo Gas Co.，Ltd.， Ome Gas Co.，Ltd.， Akishima Gas Co.，Ltd.， Buyo Gas Co.，Ltd.， Daito Gａｓ Co.，Ltd.,,,,,,,,,,,
地域階層（0:総数　1:区部・市郡部　２:区市町村）,,,,,,,,,,,
