地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,49788,14293816,323746595,36605,3997064,70154778,145,600660,20835900,3268,6199048,143625575,9440,3473288,88823995,19,4285,78001,311,19471,228346
1,13100,,区部,All ku,29535,10310660,246956016,20589,2272406,40970219,126,524732,18375238,2523,4957657,118811729,6116,2545190,68686158,8,1195,30989,173,9480,81683
5,13101,1,千代田区,Chiyoda-ku,165,542290,17559095,6,702,10255,8,27053,865800,57,351495,12044328,88,162253,4636462,-,-,-,6,787,2250
5,13102,2,中央区,Chuo-ku,108,442880,10494993,7,507,8709,4,36792,990000,48,215307,4603989,48,190253,4892155,-,-,-,1,21,x
5,13103,3,港区,Minato-ku,448,798156,29632233,108,14251,282176,7,118415,6202500,128,253515,6254109,197,411766,16892148,-,-,-,8,209,1300
5,13104,4,新宿区,Shinjuku-ku,801,466109,11161367,470,54735,964533,11,45273,1492161,137,271383,6348940,178,94356,2351389,-,-,-,5,362,4344
5,13105,5,文京区,Bunkyo-ku,522,348244,9750454,299,34229,637659,10,8505,228815,87,272739,8013602,123,32248,857278,1,489,x,2,34,100
5,13106,6,台東区,Taito-ku,376,221785,5273698,155,16720,303438,2,3375,74000,97,140781,3220016,121,60623,1667944,1,286,x,-,-,-
5,13107,7,墨田区,Sumida-ku,663,254403,5318967,351,35666,601338,5,3679,72400,101,152489,3327578,204,62543,1317285,-,-,-,2,26,366
5,13108,8,江東区,Koto-ku,998,589699,13846609,507,53401,934105,4,49967,1493500,100,304878,5752021,378,179475,5655959,-,-,-,9,1978,11024
5,13109,9,品川区,Shinagawa-ku,999,307566,6813765,673,71555,1306181,5,22870,492644,105,151373,3684085,211,61342,1322475,-,-,-,5,426,8380
5,13110,10,目黒区,Meguro-ku,900,275035,6171709,633,81171,1585847,-,-,-,123,137895,3148247,139,55779,1434495,-,-,-,5,190,3120
5,13111,11,大田区,Ota-ku,2507,892046,19458918,1804,199693,3657032,8,41126,2102138,213,490221,10051148,474,160116,3633842,-,-,-,8,890,14758
5,13112,12,世田谷区,Setagaya-ku,3505,852187,19620211,2669,307813,5733286,11,17222,520700,244,351322,8678346,576,175705,4687371,-,-,-,5,125,508
5,13113,13,渋谷区,Shibuya-ku,583,264665,7260231,295,34537,642296,2,1181,22600,125,167844,5007903,159,60959,1585132,-,-,-,2,144,2300
5,13114,14,中野区,Nakano-ku,1053,278656,6052858,742,79660,1426469,1,112,x,90,145767,3327500,214,52786,1296269,-,-,-,6,331,1620
5,13115,15,杉並区,Suginami-ku,2165,392290,8352304,1669,183484,3370983,5,6899,153450,126,130113,3220666,348,71343,1599688,1,208,x,16,243,1517
5,13116,16,豊島区,Toshima-ku,813,296119,7289142,534,59139,1100107,4,4008,108000,90,171740,4608398,185,61232,1472637,-,-,-,-,-,-
5,13117,17,北区,Kita-ku,984,314408,6559522,657,69917,1240629,19,39065,968375,76,121540,2712830,220,83067,1632102,2,153,2309,10,666,3277
5,13118,18,荒川区,Arakawa-ku,655,170743,3812886,479,52527,906896,1,5498,x,44,84052,2126545,129,28630,639335,-,-,-,2,36,110
5,13119,19,板橋区,Itabashi-ku,1756,587672,11742692,1234,133946,2332318,2,1406,56000,135,374193,7747548,358,77093,1596377,1,12,x,26,1022,10269
5,13120,20,練馬区,Nerima-ku,2820,519559,10189195,2155,234764,4209767,2,3087,60355,118,167751,3499053,541,113360,2409862,-,-,-,4,597,10158
5,13121,21,足立区,Adachi-ku,2840,527171,10413989,2159,225775,3885990,8,35500,1072550,105,113883,2334877,542,151535,3118052,-,-,-,26,478,2520
5,13122,22,葛飾区,Katsushika-ku,1745,482068,10468753,1359,146265,2584025,3,50776,1211000,71,205813,4950337,300,78891,1722291,-,-,-,12,323,1100
5,13123,23,江戸川区,Edogawa-ku,2129,486909,9712425,1624,181949,3246180,4,2923,47250,103,181563,4149663,383,119835,2265610,2,47,1200,13,592,2522
2,13200,,市部,All shi,19776,3908112,75151039,15650,1683083,28509658,19,75928,2460662,722,1223300,24124448,3242,913277,19866080,10,3070,46802,133,9454,143389
5,13201,1,八王子市,Hachioji-shi,2535,517201,10192087,1908,217030,3650476,5,54865,1979200,88,115337,2352236,515,127497,2164580,4,2197,42600,15,275,2995
5,13202,2,立川市,Tachikawa-shi,806,136088,2560376,644,65101,1058897,-,-,-,19,38560,749048,127,32203,751842,-,-,-,16,224,589
5,13203,3,武蔵野市,Musashino-shi,466,151963,2866918,310,38105,682065,1,3718,x,41,84950,1551682,111,23671,476871,-,-,-,3,1519,6300
5,13204,4,三鷹市,Mitaka-shi,762,165665,3646505,556,62965,1132779,2,4387,61000,43,38316,679180,155,59851,1772876,-,-,-,6,146,670
5,13205,5,青梅市,Ome-shi,690,100798,1652110,614,67545,1042891,-,-,0,8,5308,112800,65,23041,376349,-,-,-,3,4904,120070
5,13206,6,府中市,Fuchu-shi,1046,273989,5274297,751,79293,1379948,3,3550,79000,62,128553,2605638,228,62563,1209451,-,-,-,2,30,260
5,13207,7,昭島市,Akishima-shi,478,94044,1572603,385,39439,646413,1,922,x,13,7760,179581,78,45912,726309,1,11,x,-,-,-
5,13208,8,調布市,Chofu-shi,1007,240143,4853221,754,79219,1424536,2,5127,101800,61,117379,2365027,187,38313,961620,-,-,-,3,105,238
5,13209,9,町田市,Machida-shi,1872,328826,5979530,1483,171985,2896583,2,2992,60809,85,91207,1850271,294,62497,1171393,1,11,x,7,134,399
5,13210,10,小金井市,Koganei-shi,870,175971,3562838,646,66076,1173333,-,-,-,40,61313,1395978,179,48473,993030,-,-,-,5,109,497
5,13211,11,小平市,Kodaira-shi,1106,190806,3745800,920,96103,1655325,-,-,-,22,56378,1241974,143,36882,843444,2,820,3427,19,623,1630
5,13212,12,日野市,Hino-shi,1057,145251,2548751,837,90130,1538788,-,-,-,22,10060,200910,190,44773,804075,-,-,-,8,288,4978
5,13213,13,東村山市,Higashimurayama-shi,628,140646,2223040,541,54670,937913,-,-,-,17,44552,889802,70,41424,395325,-,-,-,-,-,-
5,13214,14,国分寺市,Kokubunji-shi,613,81721,1590666,506,53131,903053,-,-,-,16,14961,389073,84,13532,297216,1,16,x,6,81,1024
5,13215,15,国立市,Kunitachi-shi,334,93233,1761772,240,25662,444191,-,-,-,22,34451,786077,72,33120,531504,-,-,-,-,-,-
5,13218,16,福生市,Fussa-shi,222,46200,855429,168,18806,300603,-,-,-,6,9142,208748,44,18169,345756,-,-,-,4,83,322
5,13219,17,狛江市,Komae-shi,451,55762,1096516,392,38802,711736,-,-,-,9,8641,193865,49,8291,190815,-,-,-,1,28,x
5,13220,18,東大和市,Higashiyamato-shi,381,96319,1625372,303,32642,532419,-,-,-,15,55650,855082,58,7776,237371,-,-,-,5,251,500
5,13221,19,清瀬市,Kiyose-shi,507,82932,1851831,422,47368,769544,-,-,-,13,14221,287850,66,21245,794217,-,-,-,6,98,220
5,13222,20,東久留米市,Higashikurume-shi,649,82853,1451040,527,54397,892075,1,344,x,12,13930,268306,106,14134,282109,-,-,-,3,48,117
5,13223,21,武蔵村山市,Musashimurayama-shi,480,53082,876305,433,44954,739241,-,-,-,2,523,8500,42,7570,128402,-,-,-,3,35,162
5,13224,22,多摩市,Tama-shi,416,273978,5743120,265,28607,459362,-,-,-,48,185329,3098195,101,60015,2185438,-,-,-,2,27,125
5,13225,23,稲城市,Inagi-shi,402,74882,1567721,320,37053,642011,2,23,420,10,20937,574280,67,16812,350846,-,-,-,3,57,164
5,13227,24,羽村市,Hamura-shi,282,43646,687183,233,24259,410592,-,-,-,2,1245,29750,45,18113,246756,-,-,-,2,29,85
5,13228,25,あきる野市,Akiruno-shi,637,71642,1213036,585,61296,986412,-,-,-,9,4006,97606,42,6329,128968,-,-,-,1,11,x
5,13229,26,西東京市,Nishitokyo-shi,1079,190471,4152972,907,88445,1498472,-,-,-,37,60591,1152989,124,41071,1499517,1,15,x,10,349,1894
3,13300,,郡部,All gun,368,51886,877887,294,33644,527602,-,-,-,7,5702,134924,64,12486,215141,-,-,-,3,54,220
3,13350,,島部,All islands,109,23158,761653,72,7931,147299,-,-,-,16,12389,554474,18,2335,56616,1,20,x,2,483,3054
4,13360,1,大島支庁,Oshima-shicho,43,6283,142697,32,3817,69292,-,-,-,5,1236,40841,3,727,29300,1,20,x,2,483,3054
4,13380,2,三宅支庁,Miyake-shicho,10,2064,76943,7,803,11760,-,-,-,3,1261,65183,-,-,-,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,38,11517,435647,27,2180,42547,-,-,-,6,8393,378950,5,944,14150,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,18,3294,106366,6,1131,23700,-,-,-,2,1499,69500,10,664,13166,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
