品目階層,品目,Item,平成21年 2009／数量 Quantity,平成21年 2009／金額 Value,平成22年2010／数量 Quantity,平成22年2010／金額 Value,平成23年2011／数量 Quantity,平成23年2011／金額 Value
0,総数,Total,2171110,512338704,2043514,539378557,2045061,508967981
1,野菜,Vegetables,1584168,341343434,1508212,365829857,1529997,339346414
2,根菜類,Root vegetables,271486,31700936,261482,35057596,264324,32982281
3,だいこん,Japanese radish,136056,10160833,132705,12260060,135056,10526769
3,かぶ,Turnip,20785,2335692,18513,2350394,19093,2244396
3,にんじん,Carrot,89882,11070630,86558,12103806,87883,11934485
3,ごぼう,Edible burdock,12090,3012346,11329,2807798,10827,3195214
3,れんこん,Lotus root,9550,3635927,8692,3949096,8838,3755660
3,その他,Others,3123,1485508,3685,1586442,2628,1325757
2,キャベツ類,Cabbage varieties,189382,15805861,177401,18221010,182776,14928582
2,レタス類,Lettuce varieties,95643,15322009,91204,18483069,92231,16252331
2,葉茎菜類,Leaf and stem vegetables,301161,72464740,288321,81098905,286345,70295251
3,はくさい,Chinese cabbage,109876,6533627,113111,7806079,112569,6998605
3,こまつな,"""Komatsuna""",10938,2910124,10735,3382063,10617,2963654
3,ほうれんそう,Spinach,18860,7958409,17451,8628363,15977,7056205
3,ねぎ,Welsh onion,59336,14790585,54748,17867613,57131,14219383
3,ブロッコリー,Broccoli,25947,7010049,22264,7064671,23143,7266027
3,その他,Others,76204,33261946,70010,36350117,66908,31791378
2,果菜類,Fruit vegetables,318664,97253018,298692,100820400,308833,99520645
3,きゅうり,Cucumber,80713,21480472,76781,22555370,77639,22199335
3,かぼちゃ,Pumpkin　,40196,6485536,39164,6471062,40030,6327705
3,なす,Eggplant,34021,10529201,32493,10742093,31841,10866211
3,トマト,Tomato,83018,27106096,76352,28539834,82701,28326642
3,ピーマン,Bell pepper,22829,8890145,21294,9474295,22122,7847540
3,その他,Others,57887,22761568,52609,23037747,54502,23953211
2,豆科野菜類,Legumes,19242,13279682,18379,12380871,17102,12027821
3,いんげん,String bean,5106,3619945,4345,3443802,4232,3236636
3,えだまめ,Green soybean,6688,5213899,6678,4433362,5858,4465899
3,その他,Others,7447,4445838,7356,4503708,7012,4325287
2,ばれいしょ類,Potatoes,93460,12581849,90462,14691496,92162,14056430
