海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
総数,Total,総数,Total,,,4110705
総数,Total,魚類,Fish,総数,Total,3337146
総数,Total,魚類,Fish,きんめだい,Alfonsino,720177
総数,Total,魚類,Fish,とびうお,Flying fish,327093
総数,Total,魚類,Fish,むろあじ,Mackerel scad,246913
総数,Total,その他の水産動物,Other marine animals,総数,Total,164395
総数,Total,その他の水産動物,Other marine animals,いか類,Squid,94089
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,49889
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,13674
総数,Total,貝類,Shellfish,総数,Total,143167
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,75908
総数,Total,貝類,Shellfish,さざえ,Top shell,29541
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,11125
総数,Total,藻類,Seaweed,総数,Total,465997
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,202417
総数,Total,藻類,Seaweed,とさかのり,Comb paste,261675
東京湾海区,Tokyo bay area,総数,Total,,,334337
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,245043
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,109355
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,37415
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,32483
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,980
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,さんご,Coral,-
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,88314
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,75908
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,-
大島海区,Oshima sea area,総数,Total,,,1513698
大島海区,Oshima sea area,魚類,Fish,総数,Total,897133
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,448321
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,87414
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,68378
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,118063
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squid,72763
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,40620
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,51287
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,27673
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,9891
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,7636
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,447215
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,183965
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,261675
三宅海区,Miyake sea area,総数,Total,,,209471
三宅海区,Miyake sea area,魚類,Fish,総数,Total,177798
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,11162
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,52647
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,46103
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,9603
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,4438
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか類,Squid,5000
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,3299
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,1868
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,967
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,18771
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,18452
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,99
八丈海区,Hachijo sea area,総数,Total,,,1562622
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,1557585
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,260611
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,307215
八丈海区,Hachijo sea area,魚類,Fish,むろあじ,Mackerel scad,223556
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,4759
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか類,Squid,4269
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,440
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,267
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,267
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,11
八丈海区,Hachijo sea area,藻類,Seaweed,その他,Other,11
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,-
小笠原海区,Ogasawara sea area,総数,Total,,,490577
小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,459587
小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,202910
小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,91055
小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,60881
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,30990
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ ,Sea turtle　,13674
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか類,Squid,12058
