年次,Year,区分階層,検察庁,Public Prosecutor's Office,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,処理 Handled／総数 Total,処理 Handled／起訴 Prosecuted,処理 Handled／不起訴 Dismissed,処理 Handled／中止 Suspended,処理 Handled／移送 Transferred,処理 Handled／家裁に送致 Referred to Family Court,未済 Pending
平成19,2007,0,総数,Total,239537,4891,234646,235925,65891,122311,303,34532,12888,3612
平成20,2008,0,総数,Total,216607,3612,212995,212057,55997,112983,256,31402,11419,4550
平成21,2009,0,総数,Total,206659,4550,202109,202768,51416,111333,313,28071,11635,3891
平成22,2010,0,総数,Total,189470,3891,185579,186448,44762,104149,349,25923,11265,3022
平成23,2011,0,総数,Total,174253,3022,171231,170969,39616,96757,275,24072,10249,3284
平成23,2011,1,東京地方検察庁,Tokyo District Public Prosecutor's Office,93189,2101,91088,90839,10044,59690,242,10614,10249,2350
平成23,2011,2,本庁,Main Office,66236,1600,64636,64289,7756,42472,192,7543,6326,1947
平成23,2011,2,立川支部,Tachikawa Branch ,26953,501,26452,26550,2288,17218,50,3071,3923,403
平成23,2011,1,区検察庁,Local Public Prosecutor's Office,81064,921,80143,80130,29572,37067,33,13458,-,934
平成23,2011,2,東京,Tokyo,65016,803,64213,64193,21735,31714,23,10721,-,823
平成23,2011,2,八丈島,Hachijojima ,43,-,43,43,10,5,-,28,-,-
平成23,2011,2,伊豆大島,Izu-oshima ,21,-,21,20,4,-,-,16,-,1
平成23,2011,2,新島,Niijima,14,-,14,13,2,2,-,9,-,1
平成23,2011,2,八王子,Hachioji ,1448,20,1428,1420,759,598,4,59,-,28
平成23,2011,2,立川,Tachikawa,10789,58,10731,10743,5189,3056,3,2495,-,46
平成23,2011,2,武蔵野,Musashino,2032,17,2015,2020,926,1023,1,70,-,12
平成23,2011,2,青梅,Ome ,587,13,574,574,335,203,1,35,-,13
平成23,2011,2,町田,Machida,1114,10,1104,1104,612,466,1,25,-,10
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-4  検察事件の検察庁別受理， 処理人員（平成19～23年） 20-4 CASES ( PERSONS ) RECEIVED／HANDLED BY THE PUBLIC PROSECUTOR'S OFFICE BY OFFICE ( 2007-2011 ),,,,,,,,,,,,,,
資料：法務省 「検察統計」 （ホームページ） Source: Ministry of Justice,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
