年次,Year,区分 Classification,項番 Item Numbers,地域階層,地域コード,地域,District,構造と長さ,Structure and Length,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 （指定区間外） General national highways (outside designated sections)／橋数 Number,一般国道 （指定区間外） General national highways (outside designated sections)／橋長 Length,一般国道 （指定区間外） General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area,
平成20,2008,,,0,13000,東京都,Tokyo to,総数,Total,1216,70885.07,1087170.6,48,4225.41,47380.3,539,40031.31,633633,629,26629,406157.9,
平成21,2009,,,0,13000,東京都,Tokyo to,総数,Total,1222,72488.07,1110719.6,47,4207.41,47261.3,548,41684.31,657581,627,26597,405877.9,
平成22,2010,,,0,13000,東京都,Tokyo to,総数,Total,1216,72184,1107658,47,4275,47663,539,41223,651659,630,26686,408336,
平成23,2011,,,0,13000,東京都,Tokyo to,総数,Total,1224,73568,1135242,46,4244,47506,544,42315,668942,634,27009,418794,
平成24,2012,,,0,13000,東京都,Tokyo to,総数,Total,1232,75244,1157418,47,4285,48189,555,43675,688385,630,27284,420844,
平成24,2012,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,総数／15ｍ未満,Total／15ｍless than,558,3971,56430,13,99,2034,211,1701,36106,334,2171,18290,
平成24,2012,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,総数／15～30未満,Total／15～30less than,225,5003,74272,6,94,1437,111,2339,31220,108,2570,41615,
平成24,2012,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,総数／30～100未満,Total／30～100less than,249,13399,219753,20,1347,14818,105,5605,113835,124,6447,91100,
平成24,2012,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,総数／100～以上,Total／100～and over,200,52871,806963,8,2745,29900,128,34030,507224,64,16096,269839,
平成24,2012,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,鋼橋／総数,Steelbridges／Total,502,48093,710472,35,4029,43381,259,30394,408752,208,13670,258339,
平成24,2012,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,鋼橋／15ｍ未満,Steelbridges／15ｍless than,81,766,9011,6,60,209,31,331,2642,44,375,6160,
平成24,2012,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,鋼橋／15～30未満,Steelbridges／15～30less than,112,2418,16467,3,42,614,71,1616,5205,38,760,10648,
平成24,2012,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,鋼橋／30～100未満,Steelbridges／30～100less than,168,8767,143627,18,1182,12658,70,2992,69857,80,4593,61112,
平成24,2012,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,鋼橋／100～以上,Steelbridges／100～and over,141,36142,541367,8,2745,29900,87,25455,331048,46,7942,180419,
平成24,2012,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,コンクリート橋／総数,Concretebridges／Total,662,14856,242650,12,256,4808,256,6495,117195,394,8105,120647,
平成24,2012,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,コンクリート橋／15ｍ未満,Concretebridges／15ｍless than,471,3162,46788,7,39,1825,178,1350,33325,286,1773,11638,
平成24,2012,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,コンクリート橋／15～30未満,Concretebridges／15～30less than,102,2345,42247,3,52,823,34,606,14876,65,1687,26548,
平成24,2012,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,コンクリート橋／30～100未満,Concretebridges／30～100less than,65,3679,60313,2,165,2160,25,2099,35682,38,1415,22471,
平成24,2012,構造・橋長別By structure and length,4,0,13000,東京都,Tokyo to,コンクリート橋／100～以上,Concretebridges／100～and over,24,5670,93302,-,-,-,19,2440,33312,5,3230,59990,
平成24,2012,構造・橋長別By structure and length,,0,13000,東京都,Tokyo to,鋼橋とコンクリート橋の混合物／総数,Steel-concretecompositebridges／Total,68,12295,204296,-,-,-,40,6786,162438,28,5509,41858,
平成24,2012,構造・橋長別By structure and length,1,0,13000,東京都,Tokyo to,鋼橋とコンクリート橋の混合物／15ｍ未満,Steel-concretecompositebridges／15ｍless than,6,43,631,-,-,-,2,20,139,4,23,492,
平成24,2012,構造・橋長別By structure and length,2,0,13000,東京都,Tokyo to,鋼橋とコンクリート橋の混合物／15～30未満,Steel-concretecompositebridges／15～30less than,11,240,15558,-,-,-,6,117,11139,5,123,4419,
平成24,2012,構造・橋長別By structure and length,3,0,13000,東京都,Tokyo to,鋼橋とコンクリート橋の混合物／30～100未満,Steel-concretecompositebridges／30～100less than,16,953,15813,-,-,-,10,514,8296,6,439,7517,
