年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成18,2006,0,13000,東京都,Tokyo-to,1524744,412200,1112544,120268,32513,87754,254533,68811,185722
平成19,2007,0,13000,東京都,Tokyo-to,1920918,739500,1181418,150187,57818,92369,315548,121477,194071
平成20,2008,0,13000,東京都,Tokyo-to,2019899,801401,1218498,156594,62129,94465,327022,129747,197275
平成21,2009,0,13000,東京都,Tokyo-to,2002283,795794,1206489,154155,61268,92887,320540,127396,193143
平成22,2010,0,13000,東京都,Tokyo-to,1860923,739420,1121503,141414,56190,85225,291053,115647,175406
平成22,2010,1,13100,区部,All ku,1377911,547555,830356,154031,61209,92822,303455,120587,182868
平成22,2010,2,13101,千代田区,Chiyoda-ku,17850,7148,10702,378862,151711,227151,698360,279650,418710
平成22,2010,2,13102,中央区,Chuo-ku,29077,11580,17498,236860,94326,142533,427728,170337,257391
平成22,2010,2,13103,港区,Minato-ku,90077,35877,54200,439122,174898,264224,818046,325820,492226
平成22,2010,2,13104,新宿区,Shinjuku-ku,56417,22491,33927,172896,68925,103971,288678,115081,173597
平成22,2010,2,13105,文京区,Bunkyo-ku,43927,17499,26428,212593,84690,127903,393075,156587,236487
平成22,2010,2,13106,台東区,Taito-ku,24216,9615,14601,137647,54652,82996,253802,100770,153032
平成22,2010,2,13107,墨田区,Sumida-ku,29894,11857,18037,120732,47888,72844,247474,98160,149313
平成22,2010,2,13108,江東区,Koto-ku,62639,24657,37982,135930,53508,82422,292127,114993,177133
平成22,2010,2,13109,品川区,Shinagawa-ku,60881,24199,36682,166659,66244,100415,310407,123381,187026
平成22,2010,2,13110,目黒区,Meguro-ku,58558,23306,35252,218232,86857,131375,424249,168852,255397
平成22,2010,2,13111,大田区,Ota-ku,102561,40728,61833,147916,58740,89177,296756,117846,178911
平成22,2010,2,13112,世田谷区,Setagaya-ku,168434,67039,101395,192027,76429,115598,375165,149320,225845
平成22,2010,2,13113,渋谷区,Shibuya-ku,59627,23761,35866,291586,116195,175390,481849,192015,289835
平成22,2010,2,13114,中野区,Nakano-ku,45839,18223,27615,145636,57898,87738,248764,98897,149866
平成22,2010,2,13115,杉並区,Suginami-ku,92818,36893,55925,168893,67131,101762,306528,121838,184690
平成22,2010,2,13116,豊島区,Toshima-ku,39538,15719,23818,138885,55218,83667,237872,94573,143299
平成22,2010,2,13117,北区,Kita-ku,38343,15171,23172,114273,45213,69059,222193,87913,134280
平成22,2010,2,13118,荒川区,Arakawa-ku,21759,8623,13136,107032,42415,64617,226279,89671,136608
平成22,2010,2,13119,板橋区,Itabashi-ku,62800,24911,37889,117203,46491,70712,230304,91354,138950
平成22,2010,2,13120,練馬区,Nerima-ku,93750,37253,56497,130913,52020,78893,278882,110818,168064
平成22,2010,2,13121,足立区,Adachi-ku,62069,24658,37411,90820,36080,54741,197284,78374,118910
平成22,2010,2,13122,葛飾区,Katsushika-ku,45021,17849,27172,101723,40330,61393,228214,90480,137734
平成22,2010,2,13123,江戸川区,Edogawa-ku,71813,28496,43317,105768,41970,63798,236195,93725,142470
平成22,2010,1,13200,市部,All shi,475793,188991,286802,115284,45792,69492,261657,103933,157723
平成22,2010,2,13201,八王子市,Hachioji-shi,58183,23101,35082,100306,39826,60480,232832,92444,140388
平成22,2010,2,13202,立川市,Tachikawa-shi,19724,7835,11889,109781,43609,66172,243761,96830,146930
平成22,2010,2,13203,武蔵野市,Musashino-shi,24949,9917,15032,179831,71482,108349,350265,139229,211036
平成22,2010,2,13204,三鷹市,Mitaka-shi,26603,10576,16028,142965,56833,86132,294970,117259,177711
平成22,2010,2,13205,青梅市,Ome-shi,12719,5046,7674,91283,36212,55071,242070,96029,146041
平成22,2010,2,13206,府中市,Fuchu-shi,30601,12151,18450,119766,47558,72209,265712,105511,160201
平成22,2010,2,13207,昭島市,Akishima-shi,11162,4429,6733,99395,39440,59955,236297,93763,142534
平成22,2010,2,13208,調布市,Chofu-shi,30177,11990,18187,134966,53625,81341,279630,111103,168527
平成22,2010,2,13209,町田市,Machida-shi,49052,19485,29567,114879,45633,69247,272270,108152,164118
平成22,2010,2,13210,小金井市,Koganei-shi,16355,6502,9853,137609,54710,82899,283475,112702,170773
平成22,2010,2,13211,小平市,Kodaira-shi,20987,8340,12647,112207,44590,67617,256610,101975,154635
平成22,2010,2,13212,日野市,Hino-shi,20049,7960,12089,111351,44209,67142,250181,99329,150852
平成22,2010,2,13213,東村山市,Higashimurayama-shi,15166,6025,9141,98765,39234,59531,237026,94158,142868
平成22,2010,2,13214,国分寺市,Kokubunji-shi,17028,6790,10239,141138,56275,84863,294735,117517,177217
平成22,2010,2,13215,国立市,Kunitachi-shi,10931,4343,6588,144765,57522,87243,305623,121438,184185
平成22,2010,2,13218,福生市,Fussa-shi,5608,2243,3365,93784,37504,56280,207355,82921,124433
