年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成20,2008,総数,Total,,,,17864,10657,7207,17864,10657,7207
平成21,2009,総数,Total,,,,19975,12686,7289,19975,12686,7289
平成22,2010,総数,Total,,,,21488,14053,7435,21488,14053,7435
平成23,2011,総数,Total,,,,22269,14766,7503,22269,14766,7503
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,6799,4851,1948,6793,4851,1942
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,3504,2199,1305,3775,2199,1576
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,707,363,344,657,363,294
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1325,713,612,1264,713,551
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,463,264,199,451,264,187
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1141,723,418,1114,723,391
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,771,531,240,755,531,224
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1329,871,458,1319,871,448
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1643,1120,523,1621,1120,501
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1286,878,408,1253,878,375
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,656,375,281,656,375,281
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,997,685,312,989,685,304
平成23,2011,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,1648,1193,455,1622,1193,429
,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成20～23年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2008-2011),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
