年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成22,2010,0,13000,,総数,Tokyo-to,5130,3235,416,5,8,1466,262,252,2220,38121,519,105,943,5063168
平成23,2011,0,13000,,総数,Tokyo-to,5388,3280,408,2,10,1688,265,255,2268,27231,957,86,956,5019034
平成23,2011,1,13100,,区部,All ku　,3812,2487,276,2,-,1047,196,193,1651,16892,-,61,703,3065146
平成23,2011,2,13101,1,千代田区,Chiyoda-ku ,113,87,5,-,-,21,2,-,6,368,-,-,10,69888
平成23,2011,2,13102,2,中央区,Chuo-ku,101,67,11,2,-,21,-,3,8,838,-,-,10,190819
平成23,2011,2,13103,3,港区,Minato-ku,212,146,18,-,-,48,3,3,50,308,-,2,14,85041
平成23,2011,2,13104,4,新宿区,Shinjuku-ku,218,153,19,-,-,46,28,19,67,1103,-,6,40,116727
平成23,2011,2,13105,5,文京区,Bunkyo-ku,66,42,4,-,-,20,2,4,21,299,-,1,13,152975
平成23,2011,2,13106,6,台東区,Taito-ku,138,95,11,-,-,32,4,8,63,681,-,-,28,207953
平成23,2011,2,13107,7,墨田区,Sumida-ku,115,72,11,-,-,32,6,5,48,324,-,1,15,109980
平成23,2011,2,13108,8,江東区,Koto-ku,194,125,16,-,-,53,11,3,89,441,-,5,31,86911
平成23,2011,2,13109,9,品川区,Shinagawa-ku ,119,90,7,-,-,22,6,7,69,462,-,2,23,156062
平成23,2011,2,13110,10,目黒区,Meguro-ku,94,70,10,-,-,14,-,5,55,82,-,1,18,61314
平成23,2011,2,13111,11,大田区,Ota-ku,269,155,29,-,-,85,8,24,102,1098,-,6,50,170342
平成23,2011,2,13112,12,世田谷区,Setagaya-ku,205,145,11,-,-,49,21,12,133,1486,-,3,60,278110
平成23,2011,2,13113,13,渋谷区,Shibuya-ku,139,96,17,-,-,26,1,1,53,71,-,-,17,38394
平成23,2011,2,13114,14,中野区,Nakano-ku,119,97,5,-,-,17,6,5,86,835,-,3,37,92779
平成23,2011,2,13115,15,杉並区,Suginami-ku,152,110,7,-,-,35,16,14,96,765,-,2,29,138601
平成23,2011,2,13116,16,豊島区,Toshima-ku,118,86,6,-,-,26,23,12,63,645,-,1,22,117434
平成23,2011,2,13117,17,北区,Kita-ku,142,82,6,-,-,54,-,7,56,378,-,4,31,47923
平成23,2011,2,13118,18,荒川区,Arakawa-ku,79,59,-,-,-,20,17,8,71,947,-,1,40,157942
平成23,2011,2,13119,19,板橋区,Itabashi-ku,208,129,13,-,-,66,7,6,94,673,-,2,38,84428
平成23,2011,2,13120,20,練馬区,Nerima-ku,212,127,24,-,-,61,7,6,114,620,-,3,39,147875
平成23,2011,2,13121,21,足立区,Adachi-ku,329,190,23,-,-,116,13,11,128,1818,-,8,72,298766
平成23,2011,2,13122,22,葛飾区,Katsushika-ku,186,100,10,-,-,76,4,15,76,1241,-,5,26,122738
平成23,2011,2,13123,23,江戸川区,Edogawa-ku ,284,164,13,-,-,107,11,15,103,1409,-,5,40,132144
平成23,2011,1,13200,,市部,All shi ,1514,769,125,-,4,616,64,59,610,9455,557,23,240,1786965
