項目階層,項目,Item,平成20年度 Fiscal year 2008／実数 Value,平成20年度 Fiscal year 2008／構成比 Percentage Distribution (%),平成20年度 Fiscal year 2008／対前年度増加率 Percent changes from previous fiscal year (%),平成21年度 Fiscal year 2009／実数 Value,平成21年度 Fiscal year 2009／構成比 Percentage Distribution (%),平成21年度 Fiscal year 2009／対前年度増加率 Percent changes from previous fiscal year (%)
0,産業,Industries,86837,98,-6.1,83176.6,97.6,-4.2
1,農林水産業,Agriculture， forestry and fishing,41.7,0,3.4,38.8,0,-7
1,鉱業,Mining,29.8,0,0.7,29.1,0,-2.1
1,製造業,Manufacturing,8316.6,9.4,-10,7633.8,9,-8.2
1,建設業,Construction,4346,4.9,5.5,4060.6,4.8,-6.6
1,電気・ガス・水道業,Electricity， gas and water supply ,1061.8,1.2,3.6,1090.5,1.3,2.7
1,卸売・小売業,Wholesale and retail trade,17543.1,19.8,-8.1,15790.8,18.5,-10
1,金融・保険業,Finance and insurance,11369.7,12.8,-19.2,10913.7,12.8,-4
1,不動産業,Real estate,11938.3,13.5,2.2,11976.1,14.1,0.3
1,運輸・通信業,Transport and communications,5610.2,6.3,-5.1,5473.8,6.4,-2.4
1,サービス業,Service activities,26579.8,30,-2.5,26169.5,30.7,-1.5
0,政府サービス生産者,Producers of government services,5678.3,6.4,0,5595,6.6,-1.5
1,電気・ガス・水道業,Electricity， gas and water supply ,618.3,0.7,-0.7,578.6,0.7,-6.4
1,サービス業,Service activities,1104.3,1.2,-1.4,1075.2,1.3,-2.6
1,公務,Public administration,3955.7,4.5,0.5,3941.2,4.6,-0.4
0,対家計民間非営利サービス生産者,Producers of private non-profit servicesv to households ,1606,1.8,1.5,1573.3,1.8,-2
0,小計,Sub-total ,94121.3,106.2,-5.6,90344.9,106,-4
0,輸入品に課される税・関税,Taxes and duties on imports,434.1,0.5,-5.2,367.2,0.4,-15.4
1,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,490.4,0.6,-13.9,415.3,0.5,-15.3
1,（控除）帰属利子,Less：Imputed bank service charge,5461,6.2,-5.8,5095.2,6,-6.7
0,都内総生産 (17+18-19),Gross prefectural domestic product (17+18-19),88604,100,-5.6,85201.6,100,-3.8
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成20，21年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2008 and 2009),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:項目）,,,,,,,,
