年度末,End of fiscal year,基本財産 Basic properties,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／件数 Cases,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／金額 Value,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／件数 Cases,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／金額 Value,求償権残高 Guarantor's right of indemnity outstanding／件数 Cases,求償権残高 Guarantor's right of indemnity outstanding／金額 Value,保証債務残高 Guarantees obligation outstanding／件数 Cases,保証債務残高 Guarantees obligation outstanding／金額 Value
平成19,2007,209314,161315,1952640,13515,116783,33627,60487,545598,4311113
平成20,2008,211743,188303,3107876,17089,171621,37154,82039,534718,5180560
平成21,2009,213662,162299,2521935,19435,211520,42043,107197,522438,5527389
平成22,2010,220572,134693,2210458,13835,155950,38616,93393,504289,5404272
平成23,2011,230801,115237,1703082,11987,137722,36679,85716,500761,5268183
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 15  金融 15  FINANCE,,,,,,,,,,
15-3  信用保証協会事業状況 （平成19～23年度末） 15-3 OPERATION STATUS OF THE CREDIT GUARANTEE CORPORATION ( End of Fiscal Years 2007-2011 ),,,,,,,,,,
注 1) 利息を含む。,,,,,,,,,,
Note: 1) Includes interests.,,,,,,,,,,
資料：東京信用保証協会 「事業概況表」 Source: Credit Guarantee Corporation of Tokyo,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,
