地域階層,地域コード,地域,District,大正9年10月1日（国勢調査）Oct. 1， 1920(Census),大正14年10月1日（国勢調査）Oct. 1， 1925(Census),昭和5年10月1日（国勢調査）Oct. 1， 1930(Census),昭和10年10月1日（国勢調査）Oct. 1， 1935(Census),昭和15年10月1日（国勢調査）Oct. 1， 1940(Census),昭和19年2月22日（人口調査） Feb.22， 1944(Survey) 2),昭和20年11月1日（人口調査）Nov. 1， 1945(Survey),昭和21年4月26日（人口調査）Apr. 26， 1946(Survey)      ,昭和22年10月1日（国勢調査）Oct. 1， 1947(Census),昭和23年8月1日（常住人口調査）Aug. 1， 1948(Survey),昭和25年10月1日（国勢調査）Oct. 1， 1950(Census),昭和30年10月1日（国勢調査）Oct. 1， 1955(Census),昭和35年10月1日（国勢調査）Oct. 1， 1960(Census),昭和40年10月1日（国勢調査）Oct. 1， 1965(Census),昭和45年10月1日（国勢調査）Oct. 1， 1970(Census),昭和50年10月1日（国勢調査）Oct. 1， 1975(Census),昭和55年10月1日（国勢調査）Oct. 1， 1980(Census),昭和60年10月1日（国勢調査）Oct. 1， 1985(Census),平成2年10月1日（国勢調査）Oct. 1， 1990(Census),平成7年10月1日（国勢調査）Oct. 1， 1995(Census),平成12年10月1日（国勢調査）Oct. 1， 2000(Census),平成17年10月1日（国勢調査）Oct. 1， 2005(Census),平成19年10月1日（推計） 3) Oct. 1， 2007(Estimate),平成20年10月1日（推計） 3) Oct. 1， 2008(Estimate),平成21年10月1日（推計） 3) Oct. 1， 2009(Estimate),平成22年10月1日（国勢調査）Oct. 1， 2010(Census),平成23年10月1日（推計）Oct. 1， 2011(Estimate)
0,13000,総数,Tokyo-to,3699428,4485144,5408678,6369919,7354971,7238469,3488284,4183072,5000777,5417871,6277500,8037084,9683802,10869244,11408071,11673554,11618281,11829363,11855563,11773605,12064101,12576601,12790202,12898939,12988797,13159388,13186562
1,13100,区部,All ku,3358186,4109113,4986913,5895882,6778804,6558161,2777010,3442106,4177548,4555565,5385071,6969104,8310027,8893094,8840942,8646520,8351893,8354615,8163573,7967614,8134688,8489653,8652709,8736474,8802067,8945695,8966679
2,13101,千代田区,Chiyoda-ku,217682,184908,188687,197233,186699,150748,44412,57882,89681,98715,110348,122745,116944,93047,74185,61656,54801,50493,39472,34780,36035,41778,43951,44696,45761,47115,47751
2,13102,中央区,Chuo-ku,269812,225365,239533,261205,244046,188871,76220,103494,139179,150436,161925,171316,161299,128017,103850,90097,82700,79973,68041,63923,72526,98399,105815,112284,115693,122762,126082
2,13103,港区,Minato-ku,330004,320541,322487,337333,336312,291997,96604,124382,164966,183188,216120,254592,267024,241539,223978,209492,201257,194591,158499,144885,159398,185861,206569,211110,214449,205131,206486
2,13104,新宿区,Shinjuku-ku,290398,339360,357655,375848,394480,359601,83106,111318,153924,175890,246373,348675,413690,413910,390657,367218,343928,332722,296790,279048,286726,305716,310232,314456,317906,326309,324935
2,13105,文京区,Bunkyo-ku,282080,287699,288242,288350,300801,270993,92748,116701,144858,158649,190746,236971,259383,253449,234326,216250,202351,195876,181269,172474,176017,189632,195557,198059,199827,206626,208636
2,13106,台東区,Taito-ku,439596,404754,415672,464217,460254,403420,84569,118077,195943,220325,262159,310058,318889,286324,240769,207649,186048,176804,162969,153918,156325,165186,168416,171335,174228,175928,177570
2,13107,墨田区,Sumida-ku,320695,327604,390843,464892,479809,438114,77595,105614,173601,180606,236242,305590,331843,317856,281237,250714,232796,229986,222944,215681,215979,231173,238351,241558,244228,247606,247847
2,13108,江東区,Koto-ku,254324,273384,319786,385222,419154,396337,25208,45297,96870,118105,182489,277971,351053,359672,355835,355382,362270,388927,385159,365604,376840,420845,437327,446965,457335,460819,465527
