年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成23,2011,13350,,島部,All islands,37763,3400,209,20,11,328,1,-,101,81,10706,12,65,902,222,1803,149,11580,147,2,1712,2186,1657,2467
平成23,2011,13361,1,大島町,Oshima-machi,7303,941,67,6,3,97,1,-,33,21,2039,4,25,141,72,415,0,2566,7,0,48,181,279,357
平成23,2011,13362,2,利島村,Toshima-mura,1074,48,3,0,0,4,-,-,1,1,410,-,-,17,0,9,0,478,2,0,0,24,50,24
平成23,2011,13363,3,新島村,Niijima-mura,4188,349,20,2,1,37,-,-,10,9,1316,1,-,101,12,193,8,1325,43,1,134,290,78,258
平成23,2011,13364,4,神津島村,Kozushima-mura,2968,212,10,1,1,24,-,-,5,6,895,1,0,48,24,82,0,1250,22,0,37,89,72,190
平成23,2011,13381,5,三宅村,Miyake-mura,4899,366,21,2,1,30,-,-,10,7,1372,2,12,50,88,114,0,1445,21,0,382,49,819,106
平成23,2011,13382,6,御蔵島村,Mikurajima-mura,1198,55,2,0,0,4,-,-,1,3,377,-,1,53,0,11,0,425,1,-,120,24,92,29
平成23,2011,13401,7,八丈町,Hachijo-machi,10711,955,76,5,3,95,-,-,34,23,2492,4,26,217,8,672,0,2607,5,0,913,1295,69,1213
平成23,2011,13402,8,青ヶ島村,Aogashima-mura,1082,36,4,0,0,3,-,-,2,1,415,0,-,11,0,4,0,430,1,-,59,16,97,-
平成23,2011,13421,9,小笠原村,Ogasawara-mura,4341,439,8,3,2,35,-,-,4,8,1389,-,1,263,18,302,141,1054,45,1,19,217,103,289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成21～23年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2009-2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
