年次,Year ,地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
平成21,2009,0,13000,,総数,Tokyo-to　,16469,324995,149291223,458835443,802364710,328004609,994,58,692,113,398,694,3303,261,21,882,279,482,278,169,193,2151,520,1420,743,441,848,223,397,909,33929,1510,6483,1048,4254,8429,64149,11354,387,10618,4201,5595,5104,3727,2912,23374,10601,18590,16640,14286,24312,14559,26020,12913,73928870,13900631,7377525,1955633,7301707,15652670,131218975,37108457,2175672,13685884,8565655,10485168,17969618,17621580,8844113,31314480,28313829,28932200,35411262,42317102,62565642,75737617,101184675,28795745
平成22,2010,0,13000,,総数,Tokyo-to　,15082,310022,141301647,474449993,824217578,334155527,948,53,634,98,342,645,2962,254,18,826,258,415,246,144,196,1947,470,1336,712,404,801,208,355,810,33156,1434,6153,890,3782,8035,58237,10769,304,10078,4340,4951,4734,3451,3089,21645,10868,18031,16067,12023,24103,15474,26101,12307,70340184,17085566,7046615,1414394,7101224,15032867,123375491,39622703,1853039,13941661,9286525,9104392,17221195,18074894,10480338,29367994,28573385,30921753,34162187,34805366,64178715,74087645,135775173,31364272
平成22,2010,1,13100,,区部,All ku,11921,179052,77018661,190408951,352273627,154674914,653,23,550,76,277,593,2728,189,9,648,249,410,171,121,153,1620,353,982,475,159,492,98,226,666,14515,571,5134,716,2258,6895,52312,7993,183,7121,3090,4740,3193,2864,1839,16921,4783,11603,9379,2143,7351,2807,3127,7514,30036585,771238,5908897,1173067,3019715,13168699,110840342,25288362,957256,9349441,3796413,8755108,11075658,14499845,6291046,23018389,7593331,17869425,20013396,3421599,12827838,5498748,4988115,12111114
平成22,2010,2,13101,1,千代田区,Chiyoda-ku,144,2065,921491,1245992,3067648,1735650,4,-,6,-,-,6,115,-,-,1,1,-,-,-,-,1,-,1,-,2,1,1,-,5,23,-,35,-,-,45,1847,-,-,4,8,-,-,-,-,16,-,5,-,15,7,4,-,56,8356,-,22714,-,-,107601,2730133,-,-,x,x,-,-,-,-,x,-,x,-,x,x,x,-,112954
平成22,2010,2,13102,2,中央区,Chuo-ku,215,3189,1502223,2937867,6077101,3005060,28,-,13,-,2,10,141,1,-,-,1,1,1,-,-,2,2,2,1,1,-,1,-,8,419,-,115,-,13,83,2291,6,-,-,6,26,21,-,-,13,47,10,25,13,-,36,-,65,655249,-,139193,-,x,77451,4467323,x,-,-,x,x,x,-,-,x,x,x,x,x,-,x,-,134311
平成22,2010,2,13103,3,港区,Minato-ku,183,2576,1223034,3187319,5734171,2425938,15,2,3,-,7,2,107,1,-,4,-,-,4,-,1,8,7,5,3,3,3,2,3,3,362,17,39,-,42,12,1585,65,-,35,-,-,63,-,5,65,101,63,18,21,31,10,20,22,697034,x,35688,-,36614,x,3348709,x,-,54328,-,-,897069,-,x,88039,154728,94842,x,28287,x,x,12168,60108
平成22,2010,2,13104,4,新宿区,Shinjuku-ku,405,11515,5977936,14843808,23890730,8658284,21,2,18,1,3,16,287,1,-,6,-,1,-,-,2,7,1,6,8,3,5,4,-,13,416,41,322,14,13,181,9843,9,-,94,-,5,-,-,19,70,106,58,99,23,38,64,-,100,1463420,x,303765,x,5017,375348,20483051,x,-,153113,-,x,-,-,x,59415,x,64867,278934,23068,39526,260475,-,126780
平成22,2010,2,13105,5,文京区,Bunkyo-ku,388,7305,3255704,5815309,12405793,6285773,7,1,14,3,5,10,283,3,-,4,-,3,2,-,-,4,-,1,24,-,3,1,1,19,95,12,159,25,23,69,6106,33,-,23,-,72,31,-,-,20,-,5,391,-,39,8,6,188,74005,x,187231,27098,27997,65407,10582426,67576,-,17578,-,329021,x,-,-,13222,-,x,542193,-,54772,x,x,228150
平成22,2010,2,13106,6,台東区,Taito-ku,570,5390,1954568,4732819,8435396,3529114,34,1,46,6,19,57,115,3,-,10,11,111,5,-,2,44,3,7,7,-,4,1,3,81,439,6,340,31,180,454,1341,40,-,80,110,1050,59,-,15,337,16,46,62,-,27,16,19,722,529352,x,375004,18135,254100,918845,2002762,73301,-,82009,118728,2271385,112811,-,x,266103,15233,83968,84013,-,27926,x,14007,1030950
平成22,2010,2,13107,7,墨田区,Sumida-ku,1032,14306,6500521,10549869,27421286,16147030,45,4,85,9,17,71,177,17,2,57,61,84,13,7,6,187,18,62,15,5,14,3,11,62,657,285,697,56,124,653,2386,2410,33,653,627,1005,319,214,92,1676,210,796,447,72,147,29,112,606,994499,391091,1278121,50271,160708,759580,3296303,8875700,x,796616,742539,1954831,280389,889524,402277,2480565,353599,983186,1236527,87240,190505,x,142442,855064
平成22,2010,2,13108,8,江東区,Koto-ku,774,13003,5510718,16477804,30459329,13346703,63,1,36,29,22,54,275,9,3,33,7,6,30,22,7,70,14,34,9,2,10,1,12,25,2659,7,331,384,241,547,4421,614,72,326,72,95,428,453,174,759,185,325,164,64,128,18,336,200,6007458,x,471441,840122,396895,992899,8160114,2927493,396694,611033,116672,177525,1915529,2550353,748734,1750479,292468,568283,311410,x,251276,x,500467,280114
平成22,2010,2,13109,9,品川区,Shinagawa-ku,528,7201,3108804,5679862,11632847,5679921,24,1,7,2,7,12,82,7,-,48,4,2,6,2,7,64,25,84,30,20,56,7,14,17,331,7,51,9,54,98,1196,299,-,539,42,14,101,10,57,806,419,1022,490,153,721,76,332,374,407498,x,69821,x,67367,142385,1616657,582323,-,720047,49848,x,432623,x,52664,1220543,747670,1202719,755237,142308,1112663,138002,555742,1574362
平成22,2010,2,13110,10,目黒区,Meguro-ku,155,2931,1305545,2695656,4872315,2078382,18,-,3,-,1,2,13,6,-,6,-,-,1,1,2,23,9,13,8,10,21,4,6,8,557,-,13,-,4,13,242,81,-,44,-,-,21,17,30,291,145,258,196,344,356,38,60,221,753384,-,x,-,x,x,292976,154343,-,36585,-,-,x,x,x,542221,238628,504269,180697,630418,557972,29520,67592,637943
平成22,2010,2,13111,11,大田区,Ota-ku,1748,25314,10920279,25090796,47303499,21210975,59,3,19,2,14,19,94,22,1,126,16,2,24,40,57,335,125,337,108,50,144,28,81,42,1662,96,262,24,145,237,1409,803,38,1566,328,22,372,633,550,4230,1703,4065,1714,640,2315,1162,753,585,3878254,101613,614509,x,190598,388754,2673805,2263011,x,2143797,598184,x,1690256,2592413,2902957,5897709,2737806,6523025,2660820,1054440,4164532,1746324,1272355,825694
平成22,2010,2,13112,12,世田谷区,Setagaya-ku,202,2606,983948,1855906,3916903,1964672,31,-,11,-,8,9,26,10,-,4,2,1,5,-,6,14,7,10,17,6,21,8,-,6,478,-,76,-,75,54,376,129,-,54,11,4,90,-,85,136,102,117,270,109,217,140,-,83,728530,-,50881,-,98355,44449,613398,190104,-,60182,x,x,523570,-,60115,182817,155715,128344,399627,172716,225905,160974,-,117284
