年次,Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成19,2007,総数,Total,245,1727,475629039,2227902,160.81,1663.69,441.72,1.24
平成20,2008,総数,Total,245,1715,278988813,2210515,158.08,1187.82,308.05,1.93
平成21,2009,総数,Total,243,1684,302712168,2272011,154.34,869.33,245.11,2.24
平成22,2010,総数,Total,245,1670,305693030,2088554,135.69,885.43,240.36,1.91
平成23,2011,総数,Total,245,1672,251395748,2141414,139.94,820.8,228.49,2.03
平成23,2011,1,Jan.,19,1669,309780016,2295555,11.5,924.36,249.22,1.76
平成23,2011,2,Feb.,19,1673,324193339,2494383,12.48,948.61,255.91,1.72
平成23,2011,3,Mar.,22,1676,296474251,3332669,19.44,883.59,239.37,1.85
平成23,2011,4,Apr.,20,1675,290750796,2266103,12.08,843.89,231.83,1.89
平成23,2011,5,May,19,1672,286747580,2008010,10.15,837.02,230.9,2.01
平成23,2011,6,June,22,1672,290426163,1981790,11.6,822.06,228.99,2.07
平成23,2011,7,July,20,1669,287893290,1903213,10.13,861.29,238.7,1.99
平成23,2011,8,Aug.,23,1665,264457114,2209812,13.65,778.73,220,2.16
平成23,2011,9,Sept.,20,1663,261671225,2006290,10.87,753.81,216.89,2.19
平成23,2011,10,Oct.,20,1664,262775289,1805783,9.79,750.34,214.82,2.19
平成23,2011,11,Nov.,20,1665,250818599,1728818,9.38,730.12,208.41,2.26
平成23,2011,12,Dec.,21,1672,251395748,1597021,9.08,732.53,210.39,2.24
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成19～23年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2007-2011 ),,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
