年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成19,2007,移出 ,Leaving,,総数,Total,117921,15038,10535,3749,2262,13463,-,6522,7440,2016,23045,3472,1662,18880,9837
平成20,2008,移出 ,Leaving,,総数,Total,114695,13933,10493,3253,2186,12003,-,8434,1377,624,21110,9920,1574,20174,9614
平成21,2009,移出 ,Leaving,,総数,Total,162928,15403,5473,2491,2244,8512,-,8059,4511,3325,89600,709,1435,15816,5350
平成22,2010,移出 ,Leaving,,総数,Total,125545,18061,10805,5782,2402,14822,2804,3717,5802,3467,27919,1911,1416,17697,8940
平成23,2011,移出 ,Leaving,,総数,Total,135824,15675,11654,6129,2132,12828,11048,8037,5148,3179,28706,1001,1665,15842,12780
平成23,2011,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,20014,1951,4756,138,333,769,-,1185,492,21,7809,351,71,1583,555
平成23,2011,移出 ,Leaving,2,林産品,Forestry products,1137,-,-,166,4,-,-,-,-,4,186,18,8,475,276
平成23,2011,移出 ,Leaving,3,鉱産品,Mineral products,6024,35,-,74,-,1990,-,20,-,-,-,-,-,3,3902
平成23,2011,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,20264,3027,1638,1437,459,2108,-,1695,962,1308,1691,76,20,4014,1829
平成23,2011,移出 ,Leaving,5,化学工業品,Chemical industrial products,3433,212,363,634,67,916,-,79,3,32,808,38,7,199,75
平成23,2011,移出 ,Leaving,6,軽工業品,Light industrial products,2185,505,1,-,-,330,-,78,-,319,470,26,13,273,170
平成23,2011,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,8931,2560,2448,4,-,1296,-,269,870,110,-,-,3,1039,332
平成23,2011,移出 ,Leaving,8,特殊品,Special goods,60471,3546,947,3215,1269,4939,11048,4610,2224,1385,11544,304,1543,8256,5641
平成23,2011,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,13365,3839,1501,461,-,480,-,101,597,-,6198,188,-,-,-
平成19,2007,移入,Entering,,総数,Total,776357,130052,27778,45951,41026,123033,2624,27922,86185,14043,163767,25490,14480,56517,17489
平成20,2008,移入,Entering,,総数,Total,832821,119375,72811,75223,34880,90198,-,42219,64735,25558,174720,45671,19242,50891,17298
平成21,2009,移入,Entering,,総数,Total,837432,148303,54976,58553,48865,110467,1531,39567,60727,59208,160874,15829,24568,43801,10163
平成22,2010,移入,Entering,,総数,Total,818387,115340,39470,100751,11509,117050,-,21753,89446,63778,182636,10829,1656,49683,14486
平成23,2011,移入,Entering,,総数,Total,935320,102009,35707,94807,31303,105386,-,22587,82911,79259,272244,12948,26607,55671,13881
平成23,2011,移入,Entering,1,農水産品,Agricultural and aquatic products,23173,2062,3340,149,794,2932,-,742,780,161,8365,349,30,2916,553
平成23,2011,移入,Entering,2,林産品,Forestry products,4918,-,-,716,216,433,-,824,50,428,1186,49,9,871,136
平成23,2011,移入,Entering,3,鉱産品,Mineral products,519007,42483,15322,42870,24666,67238,-,320,48128,67520,157483,9215,22500,16833,4429
平成23,2011,移入,Entering,4,金属機械工業品,Metal and machinery products,76265,8603,2702,3755,1063,5252,-,5100,20502,2045,15594,624,72,8251,2702
平成23,2011,移入,Entering,5,化学工業品,Chemical industrial products,192423,30157,6118,45926,3006,16153,-,10606,7268,5721,48937,1021,3348,11496,2666
平成23,2011,移入,Entering,6,軽工業品,Light industrial products,20627,4870,2254,162,790,4621,-,566,1076,126,2484,103,207,2905,463
平成23,2011,移入,Entering,7,雑工業品,Miscellaneous industrial products,39748,9204,3584,907,290,6517,-,2847,3716,1389,6245,259,2,3885,903
平成23,2011,移入,Entering,8,特殊品,Special goods,50703,1775,1066,85,478,787,-,584,615,1054,31950,1328,438,8514,2029
平成23,2011,移入,Entering,9,分類不能のもの,Unclassifiable goods,8456,2855,1321,237,-,1453,-,998,776,815,-,-,1,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成19～23年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
