行為　Offenses,平成22年 2010,平成23年 2011,14歳未満 under 14 years,14歳 years,15歳 years,16歳 years,17歳 years,18歳 years,19歳 years,20歳 years,不明 Unreported
総数 Total,6534,6072,6,746,1151,1179,905,854,1231, -, -
刑法犯 Criminal offenses,5964,5470,3,678,1042,1076,817,751,1103, -, -
刑法犯 Criminal offenses／窃盗 Larceny,3256,2950, -,468,699,698,430,289,366, -, -
刑法犯 Criminal offenses／強盗 Robbery,19,6, -, -, -, -, -,4,2, -, -
刑法犯 Criminal offenses／詐欺 Fraud,108,99, -, -,3,11,25,25,35, -, -
刑法犯 Criminal offenses／恐喝 Extortion,61,84, -,12,7,21,20,14,10, -, -
刑法犯 Criminal offenses／横領 Embezzlement,976,932, -,97,135,147,129,161,263, -, -
刑法犯 Criminal offenses／盗品譲受け等 Receipt of stolen property， etc.,66,58, -,5,14,10,18,7,4, -, -
刑法犯 Criminal offenses／傷害，傷害致死 Bodily injury or death through bodily injury,345,321, -,49,92,78,23,41,38, -, -
刑法犯 Criminal offenses／暴行 Violence,42,52, -,7,6,6,8,9,16, -, -
刑法犯 Criminal offenses／脅迫 Intimidation,12,6, -,1,1, -,1,2,1, -, -
刑法犯 Criminal offenses／殺人 Homicides,2,3, -,2, -, -,1, -, -, -, -
刑法犯 Criminal offenses／強盗殺傷人 Robbery and homicides,21,19, -, -,4,3,7,3,2, -, -
刑法犯 Criminal offenses／強かん Rape,9,3, -, -,1, -,1,1, -, -, -
刑法犯 Criminal offenses／わいせつ Indecency,29,21, -,3,3,3,3,4,5, -, -
刑法犯 Criminal offenses／とばく Gambling,2,1, -, -, -, -, -, -,1, -, -
刑法犯 Criminal offenses／住居侵入 Intrusion upon habitation,79,88, -,7,18,17,23,8,15, -, -
刑法犯 Criminal offenses／放火 Arson,4,1, -,-, -, -, -,1, -, -, -
刑法犯 Criminal offenses／失火 Negligent burning,-,1, -,-, -, -,1, -, -, -, -
刑法犯 Criminal offenses／業務上過失致死傷 Professional negligence resulting in death or bodily injury,r 775,733, -,17,40,65,110,174,327, -, -
刑法犯 Criminal offenses／公務妨害 Obstruction of official duties,24,11, -,1,1, -,2,3,4, -, -
刑法犯 Criminal offenses／危険運転致死傷 Unsafe driving resulting in death or injury,4,3, -,1, -,1,1, -, -, -, -
刑法犯 Criminal offenses／その他 Others,130,78,3,8,18,16,14,5,14, -, -
特別法犯 Crimes other than penal offenses,470,523, -,48,95,92,75,90,123, -, -
特別法犯 Crimes other than penal offenses／暴力行為 Physical violence,15,16, -,-,7,6, -,1,2, -, -
特別法犯 Crimes other than penal offenses／銃砲刀剣 Firearms and swords,21,15, -,3,3,1,1,2,5, -, -
特別法犯 Crimes other than penal offenses／軽犯罪 Minor offense,182,190, -,28,51,34,27,26,24, -, -
特別法犯 Crimes other than penal offenses／売春 Prostitution,8,22, -,-,3,4,2,4,9, -, -
特別法犯 Crimes other than penal offenses／風俗営業 Adult entertainment,4,17, -,-, -, -, -,7,10, -, -
特別法犯 Crimes other than penal offenses／麻薬 Narcotics,17,9, -,-, -,1,1,6,1, -, -
特別法犯 Crimes other than penal offenses／覚せい剤 Stimulants,22,20, -,1,4,1,2,4,8, -, -
特別法犯 Crimes other than penal offenses／出入国管理及び難民認定法 Immigration Control and Refugees Recognition Act,9,7, -,-, -,1, -, -,6, -, -
特別法犯 Crimes other than penal offenses／毒物劇薬 Poisonous and deleterious substances,-, -, -,-, -, -, -, -, -, -, -
特別法犯 Crimes other than penal offenses／その他 Others,192,227, -,16,27,44,42,40,58, -, -
ぐ犯 Pre-delinquency,100,79,3,20,14,11,13,13,5, -, -
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,
20-9  少年保護事件 (2)  年齢、行為別人員 （平成22， 23年） 20-9  PERSONS BY AGE AND OFFENSE ( 2010 and 2011 ),,,,,,,,,,,
この表は本庁分のみである。,,,,,,,,,,,
Data relate only to the cases of general protection handled by the Main Court.,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,
