年次,Year,月次 ,Month,総数 Total,売買立会による取引 Ordinary Trades／計 Total,売買立会による取引 Ordinary Trades／普通取引 Regular way,売買立会による取引 Ordinary Trades／発行日取引 When-issued,売買立会による取引 Ordinary Trades／立会外分売 1) Off-floor sell,過誤訂正立会外取引　Special Trades
平成19,2007,総数,Total,15146248,14739445,14739445,-,-,406802
平成20,2008,総数,Total,11775067,11566270,11564805,-,1464,208797
平成21,2009,総数,Total,10202351,9993128,9988059,-,5068,209223
平成22,2010,総数,Total,7315086,7061420,7060290,-,1130,253666
平成23,2011,総数,Total,9850350,9750694,9748847,-,1847,99656
平成23,2011,1,Jan.,722073,713044,712844,-,200,9028
平成23,2011,2,Feb.,865450,856711,856195,-,516,8738
平成23,2011,3,Mar.,1361078,1352459,1351959,-,500,8619
平成23,2011,4,Apr.,1030184,1025736,1025736,-,-,4448
平成23,2011,5,May,702432,691332,691332,-,-,11099
平成23,2011,6,June,884187,879625,879625,-,-,4561
平成23,2011,7,July,1305600,1294711,1294511,-,200,10889
平成23,2011,8,Aug.,826244,814228,814228,-,-,12015
平成23,2011,9,Sept.,563456,556209,556209,-,-,7246
平成23,2011,10,Oct.,415395,409435,409143,-,291,5959
平成23,2011,11,Nov.,432939,422494,422444,-,50,10444
平成23,2011,12,Dec.,741308,734704,734614,-,89,6603
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (2) 第二部 (平成19～23年) 15-7  SALES VOLUME BY TYPE OF TRADING (2) THE 2nd SECTION ( 2007-2011 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注1) 平成19年までは過誤訂正立会外取引に含む。,,,,,,,,,
"Note1: Included in ""Special Trades"" until 2007.",,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」・統計資料 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
