年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人 (業種別)  of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別)  of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別)  of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別)  of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別)  of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別)  of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別)  of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別)  of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成19,2007,総数,Total,1330,1200,21,79,31,18,155,125,207,302,158,36,45,23,3256,5516089
平成20,2008,総数,Total,1371,1291,27,85,41,21,155,164,208,307,167,49,52,15,3619,8126607
平成21,2009,総数,Total,1233,1127,19,82,46,37,174,113,161,254,125,49,50,17,3505,9674286
平成22,2010,総数,Total,882,818,15,61,32,8,108,99,133,214,77,13,48,10,2136,11430934
平成23,2011,総数,Total,665,626,15,59,28,19,89,69,72,164,69,7,27,8,1821,6260431
平成23,2011,1,Jan.,49,46,4,7,3,1,4,3,6,9,7,1,-,1,134,139798
平成23,2011,2,Feb.,58,53,3,5,3,2,8,3,11,11,4,1,1,1,152,199043
平成23,2011,3,Mar.,63,55,1,6,2,1,10,4,8,12,10,-,-,1,290,606635
平成23,2011,4,Apr.,60,57,1,5,3,2,12,6,6,13,3,1,5,-,130,461976
平成23,2011,5,May,49,49,1,1,3,-,6,8,8,9,8,1,4,-,121,127237
平成23,2011,6,June,58,57,-,4,1,1,6,8,6,19,8,1,3,-,141,576774
平成23,2011,7,July,60,56,1,3,3,2,10,7,3,17,8,1,-,1,181,3016787
平成23,2011,8,Aug.,55,53,-,5,-,3,3,3,6,23,6,-,2,2,125,260300
平成23,2011,9,Sept.,58,55,1,8,5,1,5,9,4,15,2,1,3,1,106,152110
平成23,2011,10,Oct.,49,45,1,4,-,1,15,4,5,9,3,-,2,1,128,163683
平成23,2011,11,Nov.,52,49,-,4,3,4,4,7,4,13,7,-,3,-,113,306704
平成23,2011,12,Dec.,54,51,2,7,2,1,6,7,5,14,3,-,4,-,200,249384
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成19～23年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2007-2011)  ,,,,,,,,,,,,,,,,,,,
資料：全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
