年次,Year,総数 Total／建築物の数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,居住専用住宅 Exclusively for dwelling／建築物の数 Number,居住専用住宅 Exclusively for dwelling／床面積の合計 Total floor space,居住専用住宅 Exclusively for dwelling／工事費予定額 Estimated construction cost,居住専用準住宅 Dormitories／建築物の数 Number,居住専用準住宅 Dormitories／床面積の合計 Total floor space,居住専用準住宅 Dormitories／工事費予定額 Estimated construction cost,居住産業併用 Dwelling and business mixed use／建築物の数 Number,居住産業併用 Dwelling and business mixed use／床面積の合計 Total floor space,居住産業併用 Dwelling and business mixed use／工事費予定額 Estimated construction cost,農林水産業用 Agriculture，forestry and fisheries／建築物の数 Number,農林水産業用 Agriculture，forestry and fisheries／床面積の合計 Total floor space,農林水産業用 Agriculture，forestry and fisheries／工事費予定額 Estimated construction cost,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／建築物の数 Number,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／床面積の合計 Total floor space,鉱・採石・砂利採取・建設業用 Mining，quarrying of stone，gravel and construction／工事費予定 額Estimated construction cost,製造業用 Manufacturing／建築物の数 Number,製造業用 Manufacturing／床面積の合計 Total floor space,製造業用 Manufacturing／工事費予定額 Estimated construction cost,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／建築物の数 Number,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／床面積の合計 Total floor space,電気・ｶﾞｽ・熱供給・水道業用 Electricity，gas，heat supply and water／工事費予定額 Estimated construction cost,情報通信業用 Information and communications／建築物の数 Number,情報通信業用 Information and communications／床面積の合計 Total floor space,情報通信業用 Information and communications／工事費予定額 Estimated construction cost,運輸業用 Transport／建築物の数 Number,運輸業用 Transport／床面積の合計 Total floor space,運輸業用 Transport／工事費予定額 Estimated construction cost,卸売・小売業用 Wholesale and retail trade／建築物の数 Number,卸売・小売業用 Wholesale and retail trade／床面積の合計 Total floor space,卸売・小売業用 Wholesale and retail trade／工事費予定額 Estimated construction cost,金融・保険業用 Finance and Insurance／建築物の数 Number,金融・保険業用 Finance and Insurance／床面積の合計 Total floor space,金融・保険業用 Finance and Insurance／工事費予定額 Estimated construction cost,不動産業用 Real estate／建築物の数 Number,不動産業用 Real estate／床面積の合計 Total floor space,不動産業用 Real estate／工事費予定額 Estimated construction cost,宿泊・飲食サービス業用 Accommodations，eating and drinking services／建築物の数 Number,宿泊・飲食サービス業用 Accommodations，eating and drinking services／床面積の合計 Total floor space,宿泊・飲食サービス業用 Accommodations，eating and drinking services／工事費予定額 Estimated construction cost,医療，福祉用 Medical，healthcare and welfare／建築物の数 Number,医療，福祉用 Medical，healthcare and welfare／床面積の合計 Total floor space,医療，福祉用 Medical，healthcare and welfare／工事費予定額 Estimated construction cost,教育，学習支援業用 Education，learning support／建築物の数 Number,教育，学習支援業用 Education，learning support／床面積の合計 Total floor space,教育，学習支援業用 Education，learning support／工事費予定額 Estimated construction cost,その他のサービス業用 Other services／建築物の数 Number,その他のサービス業用 Other services／床面積の合計 Total floor space,その他のサービス業用 Other services／工事費予定額 Estimated construction cost,公務用 Government／建築物の数 Number,公務用 Government／床面積の合計 Total floor space,公務用 Government／工事費予定額 Estimated construction cost,他に分類されない Industries unable to classify／建築物の数 Number,他に分類されない Industries unable to classify／床面積の合計 Total floor space,他に分類されない Industries unable to classify／工事費予定額 Estimated construction cost
平成19,2007,43884,14750998,306863377,39180,8879874,179666883,46,31820,632607,1134,1444384,35224773,18,2788,36450,88,100121,1928968,344,420469,7596924,41,62012,2112380,49,131522,4728324,219,309077,5407384,679,844093,14633788,43,288105,8317246,557,566910,11476338,165,172774,3577216,280,413234,9174644,334,525797,11292903,445,331908,5211202,205,183796,4926185,57,42314,919162
平成20,2008,46518,17151718,399746384,41478,9971884,212135072,48,38300,1010607,1122,1649572,49154811,25,5710,80953,94,53873,1681212,264,342570,6827812,74,64697,1293246,100,306020,12337208,248,388618,6271760,788,1197342,27364398,36,39782,1136381,533,885285,21117949,177,274728,7011475,315,447965,11398574,419,632799,15890099,502,362876,9468006,223,482008,15418187,72,7689,148634
平成21,2009,40943,13842255,353915921,36248,6797336,144881422,67,75184,1894848,940,1227854,35636962,13,4773,60660,86,61337,1869634,217,303284,8312202,59,42007,1383419,89,115798,3750194,240,375381,9915236,625,649776,13681247,25,294404,10055690,430,1654986,56720253,159,252316,8877766,321,436442,11960728,524,762106,20145131,471,538839,16244496,300,225032,7325480,129,25400,1200553
平成22,2010,48170,14095589,323938484,43502,8189982,166933294,65,62887,1431577,796,868406,23106531,11,2844,51266,83,27577,528215,167,280731,8385051,64,28614,960515,83,61908,1895735,280,134247,4624242,558,615671,9952957,37,97455,3374447,389,1641938,49023498,197,146523,3465193,402,391465,9708940,551,863014,22715461,520,404981,9319149,364,241732,7675151,101,35614,787262
平成23,2011,49788,14293816,323746595,45101,8971420,180483257,121,78726,1565019,949,773018,17531733,24,2720,38743,77,67066,1757415,159,169669,3698358,38,40674,1254380,36,204461,10364767,234,368285,7961693,499,415619,7141202,46,73563,2069355,415,806776,26535067,206,102344,2576085,450,730705,17952336,622,962166,24928382,519,300317,8910341,252,222539,8807559,40,3748,170903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9  用 途 別 着 工 建 築 物 （平成19年～23年） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：国土交通省 「建築着工統計調査報告」 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9  BUILDING CONSTRUCTION STARTS BY BUILDING USE (2007～2011) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Space in m2，Value in 10 thousand of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ministry of Land，Infrastructure，Transport and Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
