産業 1,Industry 1,産業 2,Industry 2,平成22年 2010,平成23年 2011
総額,Total,,,11155938,10277016
農業,Agriculture,,,-,-
林業,Forestry,,,-,-
漁業,Fishery,,,-,-
鉱業,Mining,,,32416,30535
製造業,Manufacturing Industries,,,3135983,2808921
製造業,Manufacturing Industries,食料品製造業 1),Food and kindred products,428475,396304
製造業,Manufacturing Industries,繊維工業 2),Textile mill products,2,-
製造業,Manufacturing Industries,パルプ，紙，紙加工品製造業,Pulp， paper and paper worked products,93999,91429
製造業,Manufacturing Industries,化学工業,Chemical and allied industries,218118,199490
製造業,Manufacturing Industries,石油製品，石炭製品製造業,Petroleum and coal products,2682,2626
製造業,Manufacturing Industries,ゴム製品製造業,Rubber products,96988,85223
製造業,Manufacturing Industries,窯業，土石製品製造業,Ceramic， clay and stone products,111448,106567
製造業,Manufacturing Industries,鉄鋼業,Iron and steel ,292221,298874
製造業,Manufacturing Industries,非鉄金属製造業,Non-ferrous metals and products,23633,22028
製造業,Manufacturing Industries,機械器具製造業 3),Machinery  ,1247382,1070224
製造業,Manufacturing Industries,その他の製造業 4),Miscellaneous manufacturing industries,621036,536157
鉄道業,Railway ｔｒansport,,,2307352,2221966
その他の産業 5),Other industries,,,5680187,5215594
,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,
6-2  産業別電力使用量 （平成22，23年） 6-2  DEMAND FOR ELECTRIC POWER BY INDUSTRY ( Fiscal Years 2010 and 2011 ),,,,,
契約電力500kW以上,,,,,
Figures refer to contracts not less than 500kW. ,,,,,
注 1)  「飲料・飼料製造業」を含む。,,,,,
2）「衣服・その他の繊維製品製造業」を含む。,,,,,
3）「電気機械器具製造業」，「輸送用機械器具製造業」，「機械その他」を含む。,,,,,
4）「木材，木製品製造業」，「出版，印刷，同関連産業」，「プラスチック製品製造業」，「金属製品製造業」を含む。,,,,,
5） 「建設業」，「電気・ガス・熱供給・水道業」，「 運輸・通信業」を含む。,,,,,
Note: 1） Including “Manufacture of beverage and feed”.,,,,,
2) Including  “Manufacture of apparel and other finished products made from fabrics and similar materials”.,,,,,
3)Including “Electrical machinery，equipment and supplies”， “Transportation equipment” and  “Machinery and others”.,,,,,
4) Including “Lumber and wood  products”， “Publishing， printing and allied industries”， “Plastic products”  and “Fabricated metal products”.,,,,,
5) Including　“Construction”， “ Electricity， gas， heat supply and water”，“Transport and communication”.,,,,,
資料 ： 東京電力株式会社 Source : Tokyo Electric Power Co.， Ltd.,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,
