年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成21,2009,総数,Total,27000310,13467778,9045665,4301419,120694,13532532,9060791,4353673,118068
平成22,2010,総数,Total,29992096,14972067,9902665,4947685,121717,15020029,9908472,4992725,118832
平成23,2011,総数,Total,28066978,13990360,10140563,3728570,121227,14076618,10196224,3763993,116401
平成23,2011,東京,Tokyo,979,611,297,314,-,368,307,54,7
平成23,2011,羽田（空港）,Haneda(Airport),7049210,3508569,2593213,908349,7007,3540641,2605668,927652,7321
平成23,2011,成田（空港）,Narita(Airport),21016789,10481180,7547053,2819907,114220,10535609,7590249,2836287,109073
,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成21～23年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2009-2011 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
