年次,Year,総数 Total／隻数 Number,総数 Total／総トン数 GT,外航船 Seagoing ships／計 Total／隻数 Number,外航船 Seagoing ships／計 Total／総トン数 GT,外航船 Seagoing ships／外国船 Foreign ships／隻数 Number,外航船 Seagoing ships／外国船 Foreign ships／総トン数 GT,外航船 Seagoing ships／日本船 Japanese ships／隻数 Number,外航船 Seagoing ships／日本船 Japanese ships／総トン数 GT,内航船 Coasters／隻数 Number,内航船 Coasters／総トン数 GT
平成19,2007,31322,174532001,6460,132960502,6427,131654989,33,1305513,24862,41571499
平成20,2008,30244,168816407,6071,130027830,6025,128344858,46,1682972,24173,38788577
平成21,2009,28118,160782381,5925,124578247,5893,123551773,32,1026474,22193,36204134
平成22,2010,26411,163951676,6128,127905291,6120,127406409,8,498882,20283,36046385
平成23,2011,26358,167762720,6157,129045754,6147,128504304,10,541450,20201,38716966
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-19  入港船舶隻数及び総トン数 （平成19～23年）（東京港） 4-19 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2007-2011 )( Port of Tokyo ),,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,
