海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,3317418
総数,Total,魚類,Fish,総数,Total,2629275
総数,Total,魚類,Fish,きんめだい,Alfonsino,791920
総数,Total,魚類,Fish,かじき類,Swordfish,231059
総数,Total,魚類,Fish,いさき,Grunt,60123
総数,Total,その他の水産動物,Other marine animals,総数,Total,327138
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,185154
総数,Total,その他の水産動物,Other marine animals,いか類,Squid,127003
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,9126
総数,Total,貝類,Shellfish,総数,Total,123080
総数,Total,貝類,Shellfish,さざえ,Top shell,28447
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,26568
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,26841
総数,Total,藻類,Seaweed,総数,Total,237926
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,97012
総数,Total,藻類,Seaweed,とさかのり,Comb paste,137208
東京湾海区,Tokyo bay area,総数,Total,,,247365
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,195681
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,58469
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,54678
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,31354
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,1483
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,さんご, Coral,-
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,50201
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,26568
東京湾海区,Tokyo bay area,貝類,Shellfish,その他,Other,23633
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,-
大島海区,Oshima sea area,総数,Total,,,1426701
大島海区,Oshima sea area,魚類,Fish,総数,Total,871485
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,485764
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,59924
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,110825
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,262287
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,153488
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squid,106232
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,65291
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,26578
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,21921
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,7571
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,227638
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,87430
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,137208
三宅海区,Miyake sea area,総数,Total,,,172488
三宅海区,Miyake sea area,魚類,Fish,総数,Total,130260
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,12068
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,39553
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,32648
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,25669
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,18286
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか類,Squid,7013
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,6283
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,1869
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,3615
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,10276
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,9582
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,255
八丈海区,Hachijo sea area,総数,Total,,,983083
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,974067
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,294003
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,88032
八丈海区,Hachijo sea area,魚類,Fish,かつお類,Skipjack,316292
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,7700
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか類,Squid,5656
