年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成20,2008,0,13000,,総数,Tokyo-to,24255,179403,17804,160947,314,12223,957,25765,6172,66402,10361,56557,6452,18457,59,586,433,2277,5960,15594,
平成21,2009,0,13000,,総数,Tokyo-to,24316,181134.05,17897,162755,313,11943,969,26618,6194,66932,10420,57261,6419,18379,58,585,433,2276,5928,15518,
平成22,2010,0,13000,,総数,Tokyo-to,24328,181968,17974,163735,324,12610,982,26628,6214,67100,10454,57398,6354,18232,60,594,461,2219,5834,15420,
平成23,2011,0,13000,,総数,Tokyo-to,24341.542,182542.404,18029.761,164431.192,319.99,12515.138,991.361,26907.903,6218.272,67328.289,10500.138,57679.862,6311.781,18111.212,59.219,593.077,458.944,2211.2,5793.618,15307,
平成24,2012,0,13000,,総数,Tokyo-to,24405.94455,183598.9905,18133.45655,165571.8245,322.32736,12661.52149,1006.13975,27190.73596,6235.69204,67638.01777,10569.2974,58081.54928,6272.488,18027.166,59.274,593.745,456.707,2200.508,5756.507,15233,
平成24,2012,1,13100,,区部,All ku,11863.27155,101687.7615,10176.64855,95562.4515,297.42336,11635.17349,749.43375,19151.88296,3875.12804,37698.03177,5254.6634,27077.36328,1686.623,6125.31,26.033,309.983,223.756,997.851,1436.834,4817.476,
平成24,2012,5,13101,1,千代田区,Chiyoda-ku,176.188,2792.224,176.188,2792.224,20.907,836.324,33.939,877.647,69.526,803.992,51.816,274.261,-,-,-,-,-,-,-,-,
平成24,2012,5,13102,2,中央区,Chuo-ku,195.295,2991.989,186.535,2947.09,15.329,620.747,31.333,922.228,101.155,1175.995,38.718,228.12,8.76,44.899,1.141,15.149,0.656,7.371,6.963,22.379,
平成24,2012,5,13103,3,港区,Minato-ku,304.79,4393.789,284.464,4328.127,30.162,1251.963,50.993,1331.776,86.512,1087.993,116.797,656.395,20.326,65.662,0.11,0.826,0.043,0.182,20.173,64.654,
平成24,2012,5,13104,4,新宿区,Shinjuku-ku,354.902,3355.655,354.902,3355.655,11.754,406.807,35.916,981.186,80.268,942.313,226.964,1025.349,-,-,-,-,-,-,-,-,
