年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成19,2007,13100,,区部,All ku,13485742,12881677,28633601,9832987,15637564,2874293,167529,6867,604065,1651619,371536,598077,133618,2032,71902,24978
平成20,2008,13100,,区部,All ku,14340829,13712194,28867906,10650708,15716257,2871614,182845,7028,628635,1588754,386231,647207,142633,1851,72929,24990
平成21,2009,13100,,区部,All ku,14370058,13738870,29007070,10758962,15900066,2799367,180162,381,631191,1672484,413560,632641,123037,745,68856,24992
平成22,2010,13100,,区部,All ku,13939028,13315003,29032350,10469134,15962398,2666695,173134,6043,624022,1688889,431845,679814,123011,837,68332,-
平成23,2011,13100,,区部,All ku,13584767,12902171,29112977,10074853,15969720,2647061,172895,7367,682596,1764371,463196,695435,126135,854,67405,25007
平成23,2011,13101,1,千代田区,Chiyoda-ku,368251,321285,196682,248060,310726,72544,682,-,46966,43575,35350,61269,5398,-,6217,-
平成23,2011,13102,2,中央区,Chuo-ku,478139,454275,391213,325262,498984,124284,4507,223,23864,39781,20960,10334,1578,0,1326,-
平成23,2011,13103,3,港区,Minato-ku ,787073,752413,687589,591251,646593,157209,3954,-,34659,101164,32660,9364,455,12,1533,-
平成23,2011,13104,4,新宿区,Shinjuku-ku,590779,531911,968816,446293,565371,84924,694,-,58868,82669,26844,44907,6164,-,854,25007
平成23,2011,13105,5,文京区,Bunkyo-ku,406558,387245,727565,299599,399256,87646,-,-,19313,19266,9535,41008,9548,-,230,-
平成23,2011,13106,6,台東区,Taito-ku,244025,222828,396184,105044,444380,109407,8376,-,21197,42490,7916,26833,2351,63,10867,-
平成23,2011,13107,7,墨田区,Sumida-ku,241244,224835,608045,77422,538604,139811,7602,-,16410,148315,7752,7243,3178,-,5480,-
平成23,2011,13108,8,江東区,Koto-ku,552951,529155,1369425,399651,833481,124767,4727,11,23796,47825,14071,34270,8736,65,923,-
平成23,2011,13109,9,品川区,Shinagawa-ku,748811,702619,1131077,574360,724583,118774,8185,1300,46192,91345,36278,42271,5147,24,4743,-
平成23,2011,13110,10,目黒区,Meguro-ku,426758,419764,786642,333522,518489,82007,4236,-,6994,56396,4819,8422,1294,10,871,-
平成23,2011,13111,11,大田区,Ota-ku,1068573,1048017,2438397,963043,1229659,75465,9469,41,20555,45216,17995,22220,1564,19,978,-
平成23,2011,13112,12,世田谷区,Setagaya-ku,1241126,1183661,2284620,865694,1178058,287093,30874,-,57465,83702,49872,14243,4087,179,3327,-
平成23,2011,13113,13,渋谷区,Shibuya-ku ,925967,874204,515932,776062,449308,94124,4018,-,51763,24872,27214,56119,19551,6,4993,-
平成23,2011,13114,14,中野区,Nakano-ku,208218,191990,942063,120560,468266,71430,-,-,16228,49234,8904,32328,5430,-,1893,-
平成23,2011,13115,15,杉並区,Suginami-ku,588078,564675,1533595,391388,781202,169620,3668,-,23403,272220,16454,46256,5547,0,1402,-
平成23,2011,13116,16,豊島区,Toshima-ku,477736,426280,664495,354291,376790,69853,2135,-,51457,94519,33695,46875,17147,16,600,-
平成23,2011,13117,17,北区,Kita-ku,584792,568473,1144281,477336,662390,91137,-,-,16319,74802,15243,17285,744,-,332,-
平成23,2011,13118,18,荒川区,Arakawa-ku,197489,184983,523921,76389,413968,94199,8604,5792,12506,71218,9990,12302,2516,-,-,-
平成23,2011,13119,19,板橋区,Itabashi-ku,708015,697903,1842244,593499,852702,103004,1400,-,10112,44140,5703,13311,3017,2,1389,-
平成23,2011,13120,20,練馬区,Nerima-ku,998384,956572,2805256,799602,1121883,142424,14545,-,41812,88119,32708,45416,8511,45,548,-
平成23,2011,13121,21,足立区,Adachi-ku,861087,804680,3202708,596178,1162239,192706,15796,-,56407,143257,33874,29043,3637,278,18617,-
平成23,2011,13122,22,葛飾区,Katsushika-ku,403951,385554,1645136,311620,761252,61073,12861,-,18397,71497,11546,55906,6676,66,109,-
平成23,2011,13123,23,江戸川区,Edogawa-ku,476762,468849,2307091,348727,1031536,93560,26562,-,7913,28749,3813,18210,3859,69,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成19～平成23年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2007-2011 ) ,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
