品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,14063003,,4709608,,9353395
食料品及び動物,Foodstuffs and animals,,,,,,,,,,67403,,52805,,14598
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,110,21517,110,20831,0,686
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,11460,,11116,,345
食料に適さない原材料,No beverage Raw material,,,,,,,,,,132949,,104839,,28110
食料に適さない原材料,No beverage Raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,2131,39636,2131,39636,-,-
食料に適さない原材料,No beverage Raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,461,50159,461,27391,0,22768
鉱物性燃料,Mineral fuels,,,,,,,,,,4099,,3778,,321
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,7,1100,7,840,0,260
化学製品,Chemical products,,,,,,,,,,1268678,,478807,,789871
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,93240,,33951,,59288
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,855,392768,834,252373,20,140395
原料別製品,Manufactured goods by raw materials,,,,,,,,,,991739,,452288,,539451
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,100,90768,97,70899,2,19869
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,191113,,67008,,124105
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,,,,98805,,38923,,59882
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,265,55952,262,47200,3,8752
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,91,348633,81,102013,10,246620
