年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
令和23,2011,ＯＡソフト管理,OA software management,117,91,35,-,38.5
令和23,2011,ネットワーク構築,Network construction,59,44,24,1,56.8
令和23,2011,配    管,Plumbing,37,33,25,1,78.8
令和23,2011,物流管理実務,Logistics management,93,68,37,4,60.3
令和23,2011,ファッションリテール,Fashion retail,33,19,10,2,63.2
令和23,2011,調    理,Cooking,56,46,31,-,67.4
令和23,2011,介護サービス,Nursing services,325,293,277,-,94.5
令和23,2011,ビルクリーニング管理,Building custodian services,36,29,29,-,100
令和23,2011,ビルクリーニング管理 （高年齢者向）,Building custodian services (for elderly people),39,36,31,-,86.1
令和23,2011,福祉調理,Cooking for welfare institutions,59,49,35,-,71.4
令和23,2011,D I Yアドバイザー,DIY general management,60,59,26,5,52.5
令和23,2011,三次元ＣＡＤ,3D CAD,109,93,43,2,48.4
令和23,2011,マンション維持管理,Condominium maintenance and management,68,61,32,1,54.1
令和23,2011,パソコン実践,Practical computer operation,248,229,90,1,39.7
令和23,2011,インテリアリフォーム,Interior reform,59,55,28,9,67.3
令和23,2011,ビル管理,Building management,177,168,138,1,82.7
令和23,2011,電気設備管理,Electric facility maintenance,64,58,49,-,84.5
令和23,2011,電気設備管理（高年齢者向）,Electric facility maintenance (for elderly people),78,62,54,-,87.1
令和23,2011,電気設備保全,Electrical facility maintenance,57,53,38,-,71.7
令和23,2011,経営管理実務,Business management,111,100,26,1,27
令和23,2011,ビジネス経理,Business accounting,56,51,8,-,15.7
令和23,2011,庭園施工管理,Gardening,60,58,53,2,94.8
令和23,2011,ホテル・レストランサービス,Hotel and restaurant services,59,53,30,-,56.6
令和23,2011,設備保全,Facility maintenance,57,50,20,1,42
令和23,2011,板金溶接,Sheet metal and welding,27,26,14,-,53.8
令和23,2011,施　設　警　備,Facility security,55,49,40,1,83.7
令和23,2011,自動車運転（足立）,Car driving,-,-,-,-,-
7-2  都立職業能力開発センター(職業訓練校）修了者就職状況 （平成22，23年度） ,,,,,,,,
PLACEMENT OF TRAINEES OF　ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTER ,,,,,,,,
(VOCATIONAL TRAINING FACILITY) (Fiscal Years 2010 and 2011) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
