地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,9614400,130700,9481820,19160,2253838,49009,2159769,1022,78008,61509,4990205,1763,132580,345,14752,442,11729,971,105953,5,146
1,13100,,区部,All ku,6701858,95274,6628711,11782,1404461,37622,1650818,566,44850,45304,3528582,880,73147,147,6211,186,5833,543,60983,4,120
5,13101,1,千代田区,Chiyoda-ku,149856,1719,149113,12,1713,401,20095,4,1042,1302,126263,10,743,-,-,-,-,9,709,1,34
5,13102,2,中央区,Chuo-ku,204913,2550,204913,17,2266,684,32921,5,698,1844,169028,-,-,-,-,-,-,-,-,-,-
5,13103,3,港区,Minato-ku,280322,3213,279359,123,20090,688,58838,54,3380,2348,197051,12,963,-,-,2,67,9,872,1,24
5,13104,4,新宿区,Shinjuku-ku,314404,4532,314064,309,37609,1665,68401,6,977,2552,207077,12,340,2,29,1,65,9,246,-,-
5,13105,5,文京区,Bunkyo-ku,157885,2233,157265,307,38413,985,47352,6,889,935,70611,13,620,7,481,1,13,5,126,-,-
5,13106,6,台東区,Taito-ku,171255,2805,171137,166,20079,1020,45974,3,613,1616,104471,2,118,-,-,-,-,2,118,-,-
5,13107,7,墨田区,Sumida-ku,208974,3581,208658,245,29088,1496,67823,9,996,1831,110751,12,316,2,26,3,107,7,183,-,-
5,13108,8,江東区,Koto-ku,317582,4574,314000,304,34319,1300,52421,82,7561,2888,219699,83,3582,2,86,4,51,75,3383,2,62
5,13109,9,品川区,Shinagawa-ku,233653,3395,231404,508,58184,1141,60971,-,-,1746,112249,20,2249,6,229,-,-,14,2020,-,-
5,13110,10,目黒区,Meguro-ku,222625,2772,222286,549,73866,1096,50378,38,2178,1089,95864,13,339,5,146,2,78,6,115,-,-
5,13111,11,大田区,Ota-ku,506154,8518,501709,1098,124197,3493,140307,21,1810,3906,235395,52,4445,17,683,3,79,32,3683,-,-
5,13112,12,世田谷区,Setagaya-ku,701794,8396,680491,1866,229893,2721,120472,62,3734,3747,326392,67,21303,28,1178,12,535,27,19590,-,-
5,13113,13,渋谷区,Shibuya-ku,205811,2818,205621,258,33614,1222,55798,7,452,1331,115757,5,190,4,170,1,20,-,-,-,-
5,13114,14,中野区,Nakano-ku,216208,3477,216130,390,47342,1823,68996,44,2167,1220,97625,5,78,2,25,3,53,-,-,-,-
5,13115,15,杉並区,Suginami-ku,337479,5009,335978,1017,113251,2394,92859,4,799,1594,129069,53,1501,18,623,15,448,20,430,-,-
5,13116,16,豊島区,Toshima-ku,197898,3439,196657,351,41000,1420,56976,-,-,1668,98681,9,1241,3,105,-,-,6,1136,-,-
5,13117,17,北区,Kita-ku,225791,3483,220256,379,43353,1638,68479,202,15604,1264,92820,37,5535,3,61,4,278,30,5196,-,-
5,13118,18,荒川区,Arakawa-ku,123453,1813,122557,208,24025,710,26012,4,267,891,72253,27,896,1,13,3,48,23,835,-,-
5,13119,19,板橋区,Itabashi-ku,383753,5602,373443,476,58288,2551,104706,1,145,2574,210304,113,10310,6,213,19,379,88,9718,-,-
5,13120,20,練馬区,Nerima-ku,440194,6388,436391,959,113819,2361,102482,2,159,3066,219931,107,3803,13,1059,33,1139,61,1605,-,-
5,13121,21,足立区,Adachi-ku,401932,5684,398349,904,102759,3067,140923,9,875,1704,153792,103,3583,16,557,45,1680,42,1346,-,-
5,13122,22,葛飾区,Katsushika-ku,336237,4359,326971,545,63334,1266,49377,-,-,2548,214260,61,9266,4,227,9,207,48,8832,-,-
5,13123,23,江戸川区,Edogawa-ku,363685,4914,361959,791,93959,2480,118257,3,504,1640,149239,64,1726,8,300,26,586,30,840,-,-
2,13200,,市部,All shi,2864992,34914,2806481,7144,823725,11221,498677,454,33020,16095,1451059,859,58511,185,8020,246,5694,427,44771,1,26
5,13201,1,八王子市,Hachioji-shi,322918,3760,314264,920,110372,1442,58453,29,1166,1369,144273,107,8654,32,989,34,504,41,7161,-,-
5,13202,2,立川市,Tachikawa-shi,99418,1176,98698,272,30147,217,9976,5,451,682,58124,25,720,8,297,4,57,13,366,-,-
5,13203,3,武蔵野市,Musashino-shi,130820,1610,128937,256,33511,458,17402,8,816,888,77208,17,1883,8,534,1,149,7,1174,1,26
5,13204,4,三鷹市,Mitaka-shi,100722,1374,99420,292,33795,641,28366,-,-,441,37259,39,1302,7,245,15,567,17,490,-,-
5,13205,5,青梅市,Ome-shi,74367,778,73807,238,28913,161,8460,-,-,379,36434,22,560,13,424,8,120,1,16,-,-
5,13206,6,府中市,Fuchu-shi,200066,2645,198670,433,49588,907,40314,1,99,1304,108669,44,1396,5,251,17,261,22,884,-,-
5,13207,7,昭島市,Akishima-shi,51617,656,50532,186,20768,262,10241,-,-,208,19523,22,1085,6,187,6,122,10,776,-,-
5,13208,8,調布市,Chofu-shi,176003,2427,173582,353,38855,933,39656,1,128,1140,94943,54,2421,6,281,11,189,37,1951,-,-
5,13209,9,町田市,Machida-shi,262905,2857,255274,832,98246,755,37282,-,-,1270,119746,87,7631,21,761,23,470,43,6400,-,-
5,13210,10,小金井市,Koganei-shi,127594,1832,126906,321,36160,948,41566,-,-,563,49180,32,688,5,171,12,248,15,269,-,-
5,13211,11,小平市,Kodaira-shi,130710,1691,129733,339,37652,536,20335,-,-,816,71746,29,977,9,566,12,185,8,226,-,-
5,13212,12,日野市,Hino-shi,118431,1406,117079,362,42877,517,24329,-,-,527,49873,37,1352,5,448,22,561,10,343,-,-
5,13213,13,東村山市,Higashimurayama-shi,78781,961,77945,181,19291,225,9082,2,560,553,49012,24,836,5,223,1,19,18,594,-,-
5,13214,14,国分寺市,Kokubunji-shi,69324,898,68919,204,22487,376,16015,-,-,318,30417,13,405,3,96,10,309,-,-,-,-
5,13215,15,国立市,Kunitachi-shi,51860,608,51354,143,17330,181,8885,-,-,284,25139,11,506,4,239,1,16,6,251,-,-
5,13218,16,福生市,Fussa-shi,27131,350,25514,85,9685,181,7912,1,230,83,7687,14,1617,3,160,4,428,7,1029,-,-
5,13219,17,狛江市,Komae-shi,51908,731,51571,122,13344,271,11950,-,-,338,26277,7,337,3,257,4,80,-,-,-,-
5,13220,18,東大和市,Higashiyamato-shi,92408,1153,90645,104,11415,145,6397,406,29469,498,43364,44,1763,4,144,4,58,36,1561,-,-
5,13221,19,清瀬市,Kiyose-shi,66490,823,66304,193,22425,308,13808,-,-,322,30071,12,186,2,33,6,80,4,73,-,-
5,13222,20,東久留米市,Higashikurume-shi,70040,859,68774,209,22615,283,12947,-,-,367,33212,51,1266,2,231,7,119,42,916,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,49216,562,48876,160,16635,133,7461,-,-,269,24780,11,340,3,79,8,261,-,-,-,-
5,13224,22,多摩市,Tama-shi,221813,2353,201903,122,14858,298,12827,-,-,1933,174218,72,19910,5,267,6,131,61,19512,-,-
5,13225,23,稲城市,Inagi-shi,57342,634,56745,133,16376,189,10771,-,-,312,29598,15,597,5,281,6,221,4,95,-,-
5,13227,24,羽村市,Hamura-shi,28694,305,28455,114,13357,64,3211,-,-,127,11887,10,239,4,146,6,93,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,64401,695,63573,260,27880,130,6523,1,101,304,29069,26,828,14,628,12,200,-,-,-,-
5,13229,26,西東京市,Nishitokyo-shi,140013,1770,139001,310,35143,660,34508,-,-,800,69350,34,1012,3,82,6,246,25,684,-,-
3,13300,,郡部,All gun,39776,417,39114,176,20519,131,8031,-,-,110,10564,21,662,11,460,10,202,-,-,-,-
3,13350,,島部,All islands,7774,95,7514,58,5133,35,2243,2,138,-,-,3,260,2,61,-,-,1,199,-,-
4,13360,1,大島支庁,Oshima-shicho,3217,36,3217,25,2524,10,581,1,112,-,-,-,-,-,-,-,-,-,-,-,-
4,13380,2,三宅支庁,Miyake-shicho,803,6,604,6,604,-,-,-,-,-,-,1,199,-,-,-,-,1,199,-,-
4,13400,3,八丈支庁,Hachijo-shicho,3432,42,3371,21,1815,21,1556,-,-,-,-,2,61,2,61,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,322,11,322,6,190,4,106,1,26,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地  域  別  着  工  住  宅  数 （平成23年） ,,,,,,,,,,,,,,,,,,,,,,,,,
　この表は， 建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので， 「新設」 ,,,,,,,,,,,,,,,,,,,,,,,,,
とは建築物の新築， 増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで， ,,,,,,,,,,,,,,,,,,,,,,,,,
住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  DWELLING  CONSTRUCTION STARTS BY DISTRICT (2011) ,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to the number of dwelling constructions started after submission of construction notification to the ,,,,,,,,,,,,,,,,,,,,,,,,,
Governor by the builders as prescribed in the Building Standards Act which have been classified by type of construction.,,,,,,,,,,,,,,,,,,,,,,,,,
Newly constructed refers to the building of a new dwelling unit through new construction extension orreconstruction,,,,,,,,,,,,,,,,,,,,,,,,,
"and ""Others"" refers to extension or reconstruction that does not result in an increase of dwelling units. ",,,,,,,,,,,,,,,,,,,,,,,,,
(Space in m2) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,,,,,,,,,
