観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1479.5,3.5,151,74,96,213.5,116.5,54.5,244,235,119.5,112.5,59.5
江戸川臨海,Edogawarinkai,1235.5,5,132,70.5,54.5,191,122.5,42.5,200,124,141.5,103,49
練馬,Nerima,1553.5,1.5,136,72,75,259,133,66,280.5,234,123.5,107.5,65.5
世田谷,Setagaya,1439,0.5,150.5,71.5,73.5,227,117,73.5,201.5,226,120,112.5,65.5
府中,Fuchu,1427.5,1,123,75.5,54.5,248.5,117.5,94,156.5,281.5,135,74.5,66
八王子,Hachioji,1672,0.5,90,67.5,44,237.5,119,244,278,336.5,125.5,51.5,78
小沢,Ozawa,2014,0.5,75,68.5,47,237,147.5,327,282.5,619.5,99,56,54.5
青梅,Ome,1755.5,0,78,68,56,253.5,131.5,378,238.5,346,95.5,44.5,66
小河内,Ogochi,1720.5,1,72.5,60,46,270,113,163.5,223.5,582.5,86.5,43,59
羽田,Haneda,1229.5,0,131.5,65,61.5,214,122.5,27,217.5,150,72.5,122.5,45.5
大島,Oshima,2210.5,9.5,306.5,118.5,131.5,308,160,163,122.5,273.5,291.5,213.5,112.5
新島,Niijima,1855,9.5,209.5,69.5,114,219,221.5,51,204,87,318.5,204,147.5
三宅島,Miyakejima,2726,15,308.5,128.5,187.5,326,228.5,128,199.5,226.5,336.5,297.5,344
八丈島,Hachijojima,3037.5,130,233,165.5,150,431,298.5,154.5,375.5,249,355,231.5,264
父島,Chichijima,942,23.5,50,30.5,53,55.5,6,61.5,168.5,243.5,130,26,94
,,,,,,,,,,,,,,
東京都統計年鑑 （平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成23年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2011 ),,,,,,,,,,,,,,
注1) 記号）: 欠測等により資料の一部が欠けていてその割合が20％以下の値。,,,,,,,,,,,,,,
2) 記号］：欠測等により資料の一部が欠けていてその割合が20％以上の値。,,,,,,,,,,,,,,
Note:1) Mark ）:  Figures derived from a source with incomplete data due to lack of observation etc.， and for which this rate is 20% or less.,,,,,,,,,,,,,,
2) Mark ］： Figures derived from a source with incomplete data due to lack of observation， etc.， and for which this rate is 20% or more.,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
