年次,Year,地域階層,地域コード,地域，産業 (大分類）,地域，産業 (大分類）,District and industry (Division),事業所数 Number of establishments,従業者数 Number of employees,従業者数 Number of employees ／（うち） 常雇 (of which) Regular employees
平成21,2009,0,13000,,東京都,Tokyo-to,866,25842,25081
平成21,2009,1,13100,,区部,All ku,843,22780,22073
平成21,2009,2,13101,,千代田区,Chiyoda-ku,254,6594,6417
平成21,2009,2,13102,,中央区,Chuo-ku,114,1563,1454
平成21,2009,2,13103,,港区,Minato-ku,277,6346,6173
平成21,2009,2,13104,,新宿区,Shinjuku-ku,37,1692,1645
平成21,2009,2,,,その他,Others,161,6585,6384
平成21,2009,1,13200,,市部,All shi,23,3062,3008
平成21,2009,1,13300,,郡部,All gun,-,-,-
平成21,2009,1,13350,,島部,All islands,-,-,-
平成21,2009,,,A,農業，林業    ,Agriculture and Forestry,-,-,-
平成21,2009,,,B,漁業    ,Fisheries,-,-,-
平成21,2009,,,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,-,-,-
平成21,2009,,,D,建設業,Construction,3,26,24
平成21,2009,,,E,製造業    ,Manufacturing,21,508,488
平成21,2009,,,F,電気・ガス・熱供給・水道業 ,Electricity， gas， heat supply and water,1,21,21
平成21,2009,,,G,情報通信業    ,Information and communications,124,1439,1379
平成21,2009,,,H,運輸業，郵便業,Transport and postal activities,73,1978,1934
平成21,2009,,,I,卸売業，小売業    ,Wholesale and retail trade,214,2949,2810
平成21,2009,,,J,金融業，保険業    ,Finance and insurance,190,15654,15404
平成21,2009,,,K,不動産業，物品賃貸業    ,Real estate and goods rental and leasing,13,387,357
平成21,2009,,,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,95,1831,1683
平成21,2009,,,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,9,77,75
平成21,2009,,,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,30,197,184
平成21,2009,,,O,教育，学習支援業,Education， learning support,4,46,43
平成21,2009,,,P,医療，福祉,Medical， health care and welfare,1,5,4
平成21,2009,,,Q,複合サービス事業,Compound services,-,-,-
平成21,2009,,,R,サービス業（他に分類されないもの）   ,Services， n.e.c.,88,724,675
平成21,2009,,,S,公務（他に分類されるものを除く）   ,Government， except elsewhere classified ,-,-,-
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,
8-3  外国の会社の地域，産業 （大分類） 別事業所数及び従業者数 （平成21年） 8-3  FOREIGN ENTERPRISE ESTABLISHMENTS AND WORKERS BY INDUSTRY (DIVISION) AND DISTRICT  (2009),,,,,,,,,
外国の会社とは， 外国で設立された法人の支店， 営業所などのうち，会社法の規定により日本に営業所などの所在地を登録したものをいう。,,,,,,,,,
Foreign enterprises are branches or offices of foreign-established corporations that have a registered address in Japan under the regulations of the Companies Act,,,,,,,,,
資料：都総務局統計部産業統計課 「平成２１年経済センサス-基礎調査報告」 Source: Bureau of General Affairs， T.M.G.,,,,,,,,,
