年次,Year,調査世帯数 Num. of households surveyed,世帯人員 Num. of persons per household,有業人員 Num. of earners per household,世帯主平均年齢 Average age of household head,生計支出 Living expenses,生計支出 Living expenses／消費支出 Consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／穀類 Cereals,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／魚介類 Fish & shellfish,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／肉類 Meat,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／乳卵類 Dairy products & eggs,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／野菜・海藻 Vegetables & seaweeds,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／果物 Fruits,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／油脂・調味料 Oils， fats & seasonings,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／菓子類 Cakes & candies,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／調理食品 Cooked food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／飲料 Beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／酒類 Alcoholic beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／外食 Meals outside the home,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／家賃地代 Rents for dwelling & land,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／設備修繕・維持 Repairs & maintenance,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／電気代 Electricity,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／ガス代 Gas,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／他の光熱 Other fuel & light,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／上下水道料 Water & sewerage charges,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家庭用耐久財 Household durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／室内装備・装飾品 Interior furnishings & decorations,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／寝具類 Bedding,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事雑貨 Domestic utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事用消耗品 Domestic non-durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事サービス Domestic services,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／和服 Japanese clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／洋服 Clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／シャツ・セーター類 Shirts & sweaters,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／下着類 Underwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／生地・糸類 Cloth & thread,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／他の被服 Other clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／履物類 Footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／被服関連サービス Services related to clothing,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／医薬品 Medicines,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／健康保持用摂取品 Health fortification,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療用品・器具 Medical supplies & appliances,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療サービス Medical services,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／交通 Public transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／自動車等関係費 Private transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／通信 Communication,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／授業料等 School fees,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／教科書・学習参考教材 School textbooks & reference books for study,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／補習教育 Tutorial fees,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用耐久財 Recreational durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用品 Recreational goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／書籍・他の印刷物 Books & other reading materials,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽サービス Recreational services,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／諸雑費 Miscellaneous,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／こづかい Pocket money,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／交際費 Social expenses,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／仕送り金 Remittance,生計支出 Living expenses／土地家屋購入 Purchase of house and land
平成19,2007,744,3.02,1.3,55.2,371887,326710,77223,6623,7343,6315,3522,9809,3054,3153,5133,8891,3988,3475,15919,25477,18933,6545,21038,9010,6231,392,5405,10129,3060,857,805,2379,2280,750,16182,301,6799,3121,1291,214,1161,1991,1304,15559,1685,1037,2510,10328,33485,8967,13322,11196,18750,14023,300,4427,39224,3958,7008,4903,23355,69642,24835,16047,26855,1906,45177
平成20,2008,727,3.01,1.31,55.7,328068,320583,78414,6831,7210,6808,3549,10178,3099,3323,5317,8863,3824,3335,16077,22873,16291,6582,22344,9798,6712,417,5417,10216,3303,746,731,2426,2317,694,14999,204,6262,2913,1198,172,1116,1789,1346,14522,1788,1123,2233,9379,33552,8907,13497,11149,19551,14665,271,4615,39416,3392,6950,4981,24093,64696,22787,14331,24763,2815,7485
平成21,2009,750,3.03,1.31,56.2,339130,332439,80851,7113,7198,6690,3720,10097,3143,3425,5530,9229,4070,3601,17035,25678,17218,8461,21846,9373,6797,309,5368,11128,3622,945,841,2470,2393,858,15868,378,6486,3035,1178,169,1242,1987,1394,15466,2230,1110,2683,9443,35246,9057,14175,12014,18962,13979,270,4713,40374,4088,6976,5082,24228,67019,24364,13762,25685,3207,6692
平成22,2010,759,3.03,1.33,56.3,337735,331740,78774,6746,6754,6619,3679,10088,3094,3298,5567,9271,4015,3299,16345,25287,16589,8698,22403,9983,6525,378,5517,11136,3936,691,555,2489,2390,1075,15681,219,6684,2979,1175,143,1164,1978,1339,15099,2500,1335,2400,8864,35925,9390,14409,12127,19395,13802,393,5200,42823,5481,7029,5091,25223,65217,25458,13498,23384,2877,5996
平成23,2011,760,3.01,1.3,57,328226,314480,77905,6671,6596,6560,3562,9882,3071,3385,5462,9296,4321,3185,15914,23660,16825,6835,21230,9272,6246,397,5315,10721,3538,800,797,2357,2434,795,13954,174,5693,2721,1168,184,1116,1796,1103,15528,2466,1220,2298,9545,33516,8240,13664,11613,19827,14782,274,4771,36664,3160,6540,4673,22291,61475,23613,12028,23676,2158,13746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 14 家計 14 FAMILY INCOME AND EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1  １世帯当たり年平均１か月間の用途別生計支出（全世帯）（平成19～23年） 14-1 MONTHLY AVERAGE OF LIVING EXPENSES BY USE PER HOUSEHOLD ( ALL HOUSEHOLDS ) ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部社会統計課 「都民のくらしむき（東京都生計分析調査）年報」 Source: Bureau of General Affairs，T，M，G，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　円) (Value in yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
