年次,Year,委員総会 General committee meetings,公益委員会議 Public utilities commission conferences,委員・あっせん員の会合 Meeting of members and mediators／総数 Total,委員・あっせん員の会合 Meeting of members and mediators／調整 Adjustment,委員・あっせん員の会合 Meeting of members and mediators／不当労働行為 Unfair labor practice,委員・あっせん員の会合 Meeting of members and mediators／資格審査 Examination of qualification,取扱新規件数 Number of new cases／総数 Total,取扱新規件数 Number of new cases／調整 Adjustment,取扱新規件数 Number of new cases／不当労働行為 Unfair labor practice,取扱新規件数 Number of new cases／資格審査 Examination of qualification
平成19,2007,25,24,1139,521,618,-,374,120,100,154
平成20,2008,24,24,1223,628,595,-,371,145,92,134
平成21,2009,25,24,1596,936,660,-,506,209,119,178
平成22,2010,24,24,1497,664,833,-,450,153,125,172
平成23,2011,25,24,1572,545,1027,-,445,147,115,183
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,
7-6  東京都労働委員会活動状況 (平成19～23年) 7-6  ACTIVITIES OF THE TOKYO LABOR RELATIONS COMMISSION ( 2007-2011 ),,,,,,,,,,,
資料：都労働委員会事務局総務課 Source: Secretariat to Labor Relations Commission， TMG　　　　　,,,,,,,,,,,
