男女,Gender,年齢階層,年齢 (歳) ,Age groups(years old),10歳以上推定人口 Population 10 years and over,行動者数 Paticipants／総数 Total,行動者数 Paticipants／電子メール E-mail,行動者数 Paticipants／掲示板・チャット Bulletin board ／ chat service,行動者数 Paticipants／ホームページ・ブログの開設・更新 Building or updating website or blog ,行動者数 Paticipants／情報検索及びニュース等の情報入手 Information retrieval and acquisition of information such as news,行動者数 Paticipants／画像・動画・音楽データ・ソフトウェアの入手Acquisition of images， moving images， music data of software ,行動者数 Paticipants／商品やサービスの予約・購入・支払い等の利用Reservations， purchases ， payments for goods or services,行動者数 Paticipants／その他 Other
男,Male,0,総数,Total,5718,4210,3643,1094,617,3476,2212,2019,1296
男,Male,1,10～14,10月14日,250,190,112,38,8,153,98,17,63
男,Male,1,15～24,15-24,725,686,620,318,157,558,535,350,271
男,Male,1,25～34,25-34,1070,989,897,310,186,873,637,524,312
男,Male,1,35～39,35-44,1032,911,826,241,133,778,493,537,301
男,Male,1,45～54,45-54,771,631,566,114,41,523,251,322,187
男,Male,1,55～64,55-64,866,500,401,53,52,397,147,180,98
男,Male,1,65～74,65-74,627,226,167,19,36,159,42,67,49
男,Male,1,75～,75 and over,377,77,55,1,3,34,9,21,16
女,Female,0,総数,Total,5770,3928,3525,956,625,2989,1606,1899,1218
女,Female,1,10～14,10月14日,238,202,128,46,27,137,54,23,52
女,Female,1,15～24,15-24,673,639,606,313,198,563,475,313,264
女,Female,1,25～34,25-34,1007,958,928,339,234,855,526,655,394
女,Female,1,35～39,35-44,963,878,814,152,98,702,322,474,274
女,Female,1,45～54,45-54,730,581,509,58,40,412,154,251,110
女,Female,1,55～64,55-64,877,432,345,37,22,260,66,146,73
女,Female,1,65～74,65-74,714,193,158,12,5,55,7,32,34
女,Female,1,75～,75 and over,567,44,36,-,-,5,3,6,17
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,
5-5  男女、年齢階級別インターネットの利用状況(平成18年) 5-5　PARTICIPANTS IN INTERNET USE BY GENDER AND AGE GROUP (2006),,,,,,,,,,,,,
資料：都総務局統計部人口統計課「社会生活基本調査結果概要-都民の生活行動と生活時間-」　Source :  Bureau of General Affairs ， TMG,,,,,,,,,,,,,
年齢階層 (0:総数　1:各年齢）,,,,,,,,,,,,,
（単位　千人）(In thousands of persons),,,,,,,,,,,,,
