年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成19,2007,0,13000,,東京都,Tokyo-to,190792,2065,8033,139421,57,6127,6543,1853,7495,8183,11015,1965,28097,33180,13766,13370,29549,21619,28315,13795
平成20,2008,0,13000,,東京都,Tokyo-to,190012,2027,8254,138004,50,5941,6407,1816,7335,8336,11842,2004,29759,32175,13859,13325,29255,21605,28433,13778
平成21,2009,0,13000,,東京都,Tokyo-to,189021,1960,8541,137246,45,5703,6210,1782,7224,8205,12105,2009,29946,31475,13505,13234,28588,21572,28472,13791
平成22,2010,0,13000,,東京都,Tokyo-to,188349,1935,8852,136597,42,5456,6068,1752,7203,8110,12334,2050,28202,30527,13378,13058,28387,20475,27169,13422
平成23,2011,0,13000,,東京都,Tokyo-to,188622,1888,9318,136780,41,5309,5912,1723,7126,8117,12408,2116,26664,29920,13556,14161,28941,20528,27265,13449
平成23,2011,1,13100,,区部,All ku,153832,1095,8420,113161,41,4329,4784,1299,5431,6457,8815,1671,21139,22033,10174,10823,22030,13294,19405,7923
平成23,2011,2,13101,1,千代田区,Chiyoda-ku,7581,55,162,5864,-,211,338,11,230,294,416,217,2606,1457,318,316,1565,188,625,145
平成23,2011,2,13102,2,中央区,Chuo-ku,10967,65,1906,7272,1,459,284,33,273,204,470,200,1908,1004,462,1407,1461,293,696,169
平成23,2011,2,13103,3,港区,Minato-ku,15310,62,1454,11531,1,410,358,77,249,519,649,133,3412,1831,608,583,1672,427,453,426
平成23,2011,2,13104,4,新宿区,Shinjuku-ku,14501,158,1824,11129,-,261,257,58,148,183,483,101,1419,1415,595,566,1270,608,1263,290
平成23,2011,2,13105,5,文京区,Bunkyo-ku,3565,39,67,2757,2,93,147,36,147,78,199,30,433,638,209,214,595,341,526,177
平成23,2011,2,13106,6,台東区,Taito-ku,7328,202,311,5191,5,224,264,46,222,216,647,86,522,641,325,310,795,633,1075,259
平成23,2011,2,13107,7,墨田区,Sumida-ku,4489,34,434,2940,9,121,163,47,185,197,359,41,348,595,327,303,607,1265,1112,533
平成23,2011,2,13108,8,江東区,Koto-ku,5619,21,26,4202,4,148,180,71,289,221,457,77,1444,1184,516,532,1077,559,869,397
平成23,2011,2,13109,9,品川区,Shinagawa-ku,6125,58,185,4517,5,222,206,59,161,344,368,35,1405,1026,403,382,821,413,304,320
平成23,2011,2,13110,10,目黒区,Meguro-ku,3662,9,65,2785,-,112,105,52,123,226,185,57,274,500,243,216,464,132,379,104
