年次,Year,産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～299人 100-299 Persons／事業所数 Number of establishments,100～299人 100-299 Persons／従業者数 Number of employees 1),300～499人 300-499 Persons／事業所数 Number of establishments,300～499人 300-499 Persons／従業者数 Number of employees 1) ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees 1) ,派遣従業者のみの事業所数 Number of establishments where all workers are dispatched from other places
平成21,2009,,総数,Total,,,,694212,9520835,381505,861657,144039,939555,83317,1123174,31317,745810,24731,931224,15329,1048034,8921,1435442,1508,573847,1530,1862092,2015
平成21,2009,,男,Male,,,,-,5791957,-,475994,-,521676,-,664140,-,441998,-,538227,-,647040,-,940842,-,378118,-,1183922,-
平成21,2009,,女,Female,,,,-,3702902,-,385570,-,417660,-,456009,-,302170,-,391723,-,399907,-,492368,-,193941,-,663554,-
平成21,2009,Ａ,農業，林業,Agriculture and forestry,,,,477,3851,211,556,147,948,89,1156,19,459,5,183,4,256,1,293,-,-,-,-,1
平成21,2009,Ａ,農業，林業,Agriculture and forestry,1,農業,Agriculture,433,3498,190,506,140,906,76,984,17,409,4,144,4,256,1,293,-,-,-,-,1
平成21,2009,Ａ,農業，林業,Agriculture and forestry,2,林業,Forestry,44,353,21,50,7,42,13,172,2,50,1,39,-,-,-,-,-,-,-,-,-
平成21,2009,Ｂ,漁業,Fisheries,,,,21,152,11,34,4,26,5,67,1,25,-,-,-,-,-,-,-,-,-,-,-
平成21,2009,Ｂ,漁業,Fisheries,1,漁業 (水産養殖業を除く) ,Fisheries， except aquaculture,13,66,8,23,3,20,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-
平成21,2009,Ｂ,漁業,Fisheries,2,水産養殖業,Aquaculture,8,86,3,11,1,6,3,44,1,25,-,-,-,-,-,-,-,-,-,-,-
平成21,2009,Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,,,,77,2284,33,68,11,75,11,139,8,187,8,290,1,72,2,305,-,-,2,1148,1
平成21,2009,Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,77,2284,33,68,11,75,11,139,8,187,8,290,1,72,2,305,-,-,2,1148,1
平成21,2009,Ｄ,建設業,Construction,,,,47235,500812,24553,59562,12266,80264,6226,82026,1725,40896,1185,44867,735,50178,420,66232,56,20884,46,55903,23
平成21,2009,Ｄ,建設業,Construction,1,総合工事業,Construction work， general including public and private construction work,14822,193908,7702,18680,3766,24624,1868,24574,588,13918,397,15253,260,17709,170,28151,27,10356,33,40643,11
平成21,2009,Ｄ,建設業,Construction,2,職別工事業 (設備工事業を除く),Construction work by specialist contractors， except equipment installation work,17734,125886,9997,23712,4460,29130,2182,28622,538,12755,347,12838,148,10073,55,8030,2,726,-,-,5
平成21,2009,Ｄ,建設業,Construction,3,設備工事業,Equipment installation work,14679,181018,6854,17170,4040,26510,2176,28830,599,14223,441,16776,327,22396,195,30051,27,9802,13,15260,7
平成21,2009,Ｅ,製造業,Manufacturing,,,,59852,921524,33527,79354,12689,82361,6791,90617,2513,59846,1873,70778,1260,86322,760,126161,178,68743,195,257342,66
平成21,2009,Ｅ,製造業,Manufacturing,1,食料品製造業,Food,2816,83073,980,2443,693,4581,467,6184,200,4829,193,7392,132,8848,95,16029,34,12832,18,19935,4
平成21,2009,Ｅ,製造業,Manufacturing,2,飲料・たばこ・飼料製造業　　　　,Beverage， tobacco and feed,260,11301,98,237,59,374,33,461,13,311,21,807,12,874,11,1884,4,1812,4,4541,5
平成21,2009,Ｅ,製造業,Manufacturing,3,繊維工業　　,Textile mill products,4656,34708,3173,7237,829,5345,397,5072,120,2865,63,2273,39,2714,28,4445,3,1124,3,3633,1
平成21,2009,Ｅ,製造業,Manufacturing,4,木材・木製品製造業 (家具を除く),Lumber and wood products， except furniture,543,3329,358,795,108,681,48,620,17,411,7,283,3,257,2,282,-,-,-,-,-
平成21,2009,Ｅ,製造業,Manufacturing,5,家具・装備品製造業,Furniture and fixtures,1715,12023,1175,2689,372,2359,106,1390,24,572,13,499,12,816,9,1825,2,660,1,1213,1
平成21,2009,Ｅ,製造業,Manufacturing,6,パルプ・紙・紙加工品製造業,Pulp， paper and paper products,1963,19863,1022,2542,461,3035,292,3901,86,2032,45,1695,35,2468,19,3407,2,783,-,-,1
平成21,2009,Ｅ,製造業,Manufacturing,7,印刷・同関連業,Printing and allied industries,10226,124338,5599,13777,2249,14597,1226,16387,464,11051,330,12410,224,15430,96,14780,14,5252,18,20654,6
平成21,2009,Ｅ,製造業,Manufacturing,8,化学工業,Chemical and allied products,1421,78907,388,945,268,1814,229,3140,112,2714,138,5321,132,8924,76,13429,27,10572,30,32048,21
平成21,2009,Ｅ,製造業,Manufacturing,9,石油製品・石炭製品製造業　　,Petroleum and coal products,80,5462,10,19,24,161,14,190,9,206,7,272,7,451,6,832,1,462,2,2869,-
平成21,2009,Ｅ,製造業,Manufacturing,10,プラスチック製品製造業（別掲を除く）,Plastic products， except otherwise classified,2706,30058,1494,3619,603,3923,330,4413,116,2709,76,2882,51,3407,28,4222,2,799,4,4084,2
