年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成21,2009,13200,,市部,All shi,1364954,9443,230606,509031,122099,7065,2746,21816,138379,50623,174258,101,97417,1369
平成22,2010,13200,,市部,All shi,1401663,9260,188896,604950,121907,8650,2713,7714,137579,52292,171414,52,94383,1853
平成23,2011,13200,,市部,All shi,1398417,11968,172339,624371,120609,10756,2826,8255,131238,52691,167685,963,94558,158
平成23,2011,13201,1,八王子市,Hachioji-shi,179981,841,15250,87485,15653,911,328,1329,16056,6956,19702,327,15143,-
平成23,2011,13202,2,立川市,Tachikawa-shi,66422,550,6835,33814,4470,751,130,341,5155,2235,7694,7,4438,-
平成23,2011,13203,3,武蔵野市,Musashino-shi,56937,516,10070,21098,5651,418,61,362,6278,2056,7721,172,2531,-
平成23,2011,13204,4,三鷹市,Mitaka-shi,62625,571,7723,29981,4605,349,145,367,4784,2297,7190,11,4526,76
平成23,2011,13205,5,青梅市,Ome-shi,49636,486,6002,20861,4974,227,190,446,5135,1918,6901,24,2442,30
平成23,2011,13206,6,府中市,Fuchu-shi,91018,587,10045,40431,7515,574,110,758,9927,3161,13352,-,4558,-
平成23,2011,13207,7,昭島市,Akishima-shi,37625,418,3605,17919,3275,552,34,181,2941,1447,4894,23,2336,-
平成23,2011,13208,8,調布市,Chofu-shi,76389,564,9507,33874,7463,487,103,391,8887,2730,8179,23,4181,-
平成23,2011,13209,9,町田市,Machida-shi,145038,792,28842,60701,12081,565,285,779,10842,5052,19008,89,5949,53
平成23,2011,13210,10,小金井市,Koganei-shi,41554,427,9157,14808,4226,602,32,175,4279,1600,3438,-,2811,-
平成23,2011,13211,11,小平市,Kodaira-shi,56356,546,6494,26059,5033,382,97,194,4469,2347,6246,42,4447,-
平成23,2011,13212,12,日野市,Hino-shi,59377,480,6470,25905,4807,743,154,364,7387,2130,7255,12,3671,-
平成23,2011,13213,13,東村山市,Higashimurayama-shi,48097,420,4716,23375,4243,629,99,126,2907,1818,5994,-,3771,-
平成23,2011,13214,14,国分寺市,Kokubunji-shi,41665,395,5768,15092,3319,305,89,103,7227,1624,3892,12,3838,-
平成23,2011,13215,15,国立市,Kunitachi-shi,25364,383,2349,11481,2034,259,41,211,2896,1075,2730,-,1905,-
平成23,2011,13218,16,福生市,Fussa-shi,21730,335,2622,10116,2639,299,44,139,1308,951,2035,20,1222,-
平成23,2011,13219,17,狛江市,Komae-shi,25168,367,2776,10631,1980,449,26,96,1754,1146,3352,2,2589,-
平成23,2011,13220,18,東大和市,Higashiyamato-shi,27548,363,3028,14170,1969,94,47,84,1614,1123,3052,-,2003,-
平成23,2011,13221,19,清瀬市,Kiyose-shi,26497,286,2608,13080,1757,208,49,78,1077,1036,3258,7,3053,-
平成23,2011,13222,20,東久留米市,Higashikurume-shi,36782,364,3685,16828,2886,273,60,144,3663,1675,4131,3,3070,-
平成23,2011,13223,21,武蔵村山市,Musashimurayama-shi,26539,305,2529,13358,1758,95,36,107,1886,969,3932,-,1565,-
平成23,2011,13224,22,多摩市,Tama-shi,48146,466,6344,22086,3664,492,50,570,2877,1883,6858,56,2800,-
平成23,2011,13225,23,稲城市,Inagi-shi,32549,355,2692,11054,3604,145,56,96,6832,911,4851,-,1952,-
平成23,2011,13227,24,羽村市,Hamura-shi,20275,284,2603,9062,2264,155,30,221,1772,834,1841,-,1209,-
平成23,2011,13228,25,あきる野市,Akiruno-shi,28427,331,3129,11497,3045,374,438,273,2181,1190,3283,24,2663,-
平成23,2011,13229,26,西東京市,Nishitokyo-shi,66674,537,7491,29606,5693,420,91,320,7103,2525,6895,107,5885,-
平成21,2009,13300,,郡部,All gun,30531,446,5746,8086,3256,279,1216,1327,3868,1200,3315,114,1676,-
平成22,2010,13300,,郡部,All gun,33310,456,6949,9518,2998,349,1282,702,4641,1340,3281,13,1781,-
平成23,2011,13300,,郡部,All gun,31246,586,5608,8918,3179,389,1229,931,4268,1248,3288,62,1541,-
平成23,2011,13303,1,瑞穂町,Mizuho-machi,13340,198,2389,4187,1563,122,52,81,2009,582,1734,3,419,-
平成23,2011,13305,2,日の出町,Hinode-machi,8481,173,1440,3168,679,157,209,109,863,314,736,3,630,-
平成23,2011,13307,3,檜原村,Hinohara-mura,3417,91,802,614,338,51,381,174,449,131,258,19,111,-
平成23,2011,13308,4,奥多摩町,Okutama-machi,6008,124,977,948,599,59,587,568,947,220,559,36,381,-
