年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total 1),住宅の種類 Type of dwelling／専用住宅 Used exclusively for living,住宅の種類 Type of dwelling／店舗，その他の併用住宅 Used also for commerce or other purposes,所有関係 Tenure of dwelling／持ち家 Owned houses,所有関係 Tenure of dwelling／借家 Rented houses／計 Total,所有関係 Tenure of dwelling／借家 Rented houses／公営の借家 Owned by local government,所有関係 Tenure of dwelling／借家 Rented houses／公団・公社の借家 Owned by or public corporation,所有関係 Tenure of dwelling／借家 Rented houses／民営借家 Owned privately,所有関係 Tenure of dwelling／借家 Rented houses／給与住宅 Issued houses,建て方 Type of building／一戸建 Detached houses,建て方 Type of building／長屋建 Tenement houses,建て方 Type of building／共同住宅 Apartments／計 Total,建て方 Type of building／共同住宅 Apartments／1～2階 1-2 Stories,建て方 Type of building／共同住宅 Apartments／3～5階 3-5 Stories,建て方 Type of building／共同住宅 Apartments／6階以上 6 Stories and higher,建て方 Type of building／共同住宅 Apartments／その他 Others,構造 Construction material／木造Wooden ,構造 Construction material／防火木造 Wooden and fire-proofed,構造 Construction material／非木造 Non-wooden
平成10,1998,0,13000,,東京都,Tokyo-to,4941700,4681900,259800,2051300,2743300,252800,195300,2054200,300000,1445200,126500,3044000,1118800,1235100,690100,44600,675000,1678700,2306600
平成15,2003,0,13000,,東京都,Tokyo-to,5434100,5273000,161100,2432900,2719100,277200,220300,2015200,206500,1608700,101100,3697600,967900,1506300,1223500,26700,627800,1645300,3161000
平成20,2008,0,13000,,東京都,Tokyo-to,5939900,5799900,140000,2650900,2909300,274600,225900,2206300,202500,1686500,93700,4134900,952400,1619700,1562800,24900,538600,1668200,3733200
平成20,2008,1,13100,,区部,All ku,4177680,4062980,114700,1768720,2092900,176560,131690,1631110,153540,1012160,61630,3082640,650610,1157320,1274710,21250,350830,1028690,2798160
平成20,2008,2,13101,1,千代田区,Chiyoda-ku,22870,20600,2270,9100,11180,1020,280,6860,3020,2050,80,19740,50,1260,18420,1000,410,800,21660
平成20,2008,2,13102,2,中央区,Chuo-ku,62900,60530,2370,24860,34900,2200,4980,24220,3500,4680,560,56510,170,2300,54040,1150,1720,2480,58710
平成20,2008,2,13103,3,港区,Minato-ku,120590,119370,1210,47200,61200,6420,4990,46960,2820,10050,1440,105720,2410,20540,82760,3370,4030,5800,110760
平成20,2008,2,13104,4,新宿区,Shinjuku-ku,177580,175710,1880,58220,99390,6920,1880,79720,10880,22350,1550,152480,23220,57060,72210,1200,5810,31230,140550
平成20,2008,2,13105,5,文京区,Bunkyo-ku,98520,94850,3670,45970,42100,800,660,37760,2870,20080,1440,75490,7590,22440,45460,1510,6780,15190,76550
平成20,2008,2,13106,6,台東区,Taito-ku,81840,72180,9660,41090,35110,1310,50,31690,2060,20970,600,58850,4060,12910,41890,1430,6400,11230,64200
平成20,2008,2,13107,7,墨田区,Sumida-ku,114120,107010,7110,56030,50790,7590,4130,36480,2590,29750,1350,82080,5310,23490,53280,940,10050,17750,86330
平成20,2008,2,13108,8,江東区,Koto-ku,201580,195220,6360,93630,99630,20800,21110,44970,12750,28960,2200,169420,6290,38690,124440,1000,6080,23510,171990
平成20,2008,2,13109,9,品川区,Shinagawa-ku,185130,180470,4660,76430,91690,4250,4840,73570,9030,35320,3420,144950,23600,55590,65760,1450,13290,36590,135240
平成20,2008,2,13110,10,目黒区,Meguro-ku,140490,137610,2880,61670,56140,2020,1030,45430,7670,34880,3110,102390,27410,42920,32060,110,9980,39020,91480
平成20,2008,2,13111,11,大田区,Ota-ku,312230,302170,10060,149750,141620,7740,3760,115400,14720,82320,7920,221300,47460,85920,87910,690,36950,80510,194770
平成20,2008,2,13112,12,世田谷区,Setagaya-ku,419820,413940,5880,166930,233480,8570,11180,192320,21400,114030,4020,301320,90180,147600,63550,440,29840,135660,254320
平成20,2008,2,13113,13,渋谷区,Shibuya-ku,116170,113960,2210,46890,55950,2690,740,49210,3320,16450,2000,97310,14220,37140,45950,400,7770,17340,91060
平成20,2008,2,13114,14,中野区,Nakano-ku,171710,168750,2960,60020,111500,1790,2310,102110,5290,34690,3590,132990,46970,62830,23180,440,12450,48110,111150
平成20,2008,2,13115,15,杉並区,Suginami-ku,278820,274840,3990,108480,151240,4070,1880,134700,10600,72560,8500,196340,85740,81800,28790,1420,26330,100150,152350
平成20,2008,2,13116,16,豊島区,Toshima-ku,141130,137960,3170,49570,72260,1700,3010,63750,3800,26470,1610,112570,28960,42890,40720,490,9670,35340,96120
平成20,2008,2,13117,17,北区,Kita-ku,164450,160260,4190,67720,89560,14400,13130,57940,4090,45050,250,118960,23040,46550,49380,190,9410,49670,105360
平成20,2008,2,13118,18,荒川区,Arakawa-ku,92730,86220,6520,46660,39490,4960,1470,31240,1820,28290,100,63800,9330,22810,31660,540,1090,27640,64010
平成20,2008,2,13119,19,板橋区,Itabashi-ku,243980,239050,4940,98370,128900,10190,12630,99850,6230,47300,2650,193560,38530,81580,73450,470,22190,48200,173600
平成20,2008,2,13120,20,練馬区,Nerima-ku,299890,294900,4990,125280,129990,11970,6320,102740,8960,95120,7260,196930,61020,77900,58010,580,32440,106440,161030
平成20,2008,2,13121,21,足立区,Adachi-ku,269740,260210,9540,126670,130470,29350,12460,83600,5060,89290,2380,177040,33810,85680,57550,1040,41930,60810,167000
平成20,2008,2,13122,22,葛飾区,Katsushika-ku,178640,171600,7030,90340,77420,12030,5860,56950,2580,67410,2830,107890,27960,42840,37090,510,15680,70690,92270
平成20,2008,2,13123,23,江戸川区,Edogawa-ku,282740,275600,7140,117860,148870,13770,13000,113630,8470,84090,2780,195000,43260,64590,87160,870,40520,64530,177690
平成20,2008,2,13201,1,八王子市,Hachioji-shi,231310,227020,4290,126710,100610,10730,10380,76000,3500,100170,3420,127040,26700,57290,43040,680,13660,97270,120370
平成20,2008,2,13202,2,立川市,Tachikawa-shi,76050,74850,1200,35290,37970,4610,6060,25090,2210,24380,1150,50360,9060,27410,13890,160,7560,19670,48820
平成20,2008,2,13203,3,武蔵野市,Musashino-shi,68570,67550,1020,27440,35920,2230,2130,28940,2620,16670,1880,49890,17000,21070,11820,140,4190,20670,43700
平成20,2008,2,13204,4,三鷹市,Mitaka-shi,83720,82880,840,34460,42560,3580,2540,34720,1720,24690,1920,57030,24470,19830,12720,80,9050,30820,43850
平成20,2008,2,13205,5,青梅市,Ome-shi,52260,50890,1370,35680,14530,1020,720,12260,530,31510,730,19840,5110,9210,5520,180,9110,25410,17740
平成20,2008,2,13206,6,府中市,Fuchu-shi,107000,105520,1480,50640,50760,5350,1390,38970,5050,33900,1720,71190,21600,27400,22190,190,10780,35390,60830
平成20,2008,2,13207,7,昭島市,Akishima-shi,45870,45170,710,22330,22570,3300,2720,15420,1140,17870,1010,26850,7850,9720,9280,150,6010,14960,24900
平成20,2008,2,13208,8,調布市,Chofu-shi,102640,101380,1260,39970,57670,5490,4370,44030,3770,26850,1760,73710,25270,30620,17830,320,13230,29580,59840
平成20,2008,2,13209,9,町田市,Machida-shi,170170,168440,1730,91680,72800,9020,18390,42460,2930,75510,4920,89600,25170,43790,20650,130,21100,66860,82210
平成20,2008,2,13210,10,小金井市,Koganei-shi,52910,52220,690,23500,26430,540,2140,21790,1960,16580,730,35420,14250,12730,8450,170,3630,16680,32600
平成20,2008,2,13211,11,小平市,Kodaira-shi,76420,75660,750,38550,37740,4880,2190,26940,3730,28680,970,46620,14950,18760,12910,140,7180,28800,40430
平成20,2008,2,13212,12,日野市,Hino-shi,77210,76760,450,39100,36620,3640,4050,26510,2420,29990,1180,45860,16110,20560,9190,180,6210,32730,38270
平成20,2008,2,13213,13,東村山市,Higashimurayama-shi,61460,60630,830,32800,27000,5710,2110,17110,2070,26970,750,33710,7020,16210,10470,30,5860,24000,31590
平成20,2008,2,13214,14,国分寺市,Kokubunji-shi,56990,56430,560,27500,27510,1300,1400,22120,2690,21370,1100,34490,12180,10210,12090,30,6620,22680,27670
平成20,2008,2,13215,15,国立市,Kunitachi-shi,33750,33250,500,13760,18450,2210,2390,12670,1170,10060,870,22790,6020,11440,5340,30,3820,9790,20140
平成20,2008,2,13218,16,福生市,Fussa-shi,26090,25630,460,11630,13150,1090,2280,9530,240,9800,340,15850,4170,8080,3600,90,4260,7380,14440
平成20,2008,2,13219,17,狛江市,Komae-shi,38280,37670,600,16770,19990,1780,1190,16430,590,11760,860,25610,11210,10130,4270,40,3900,16630,17730
平成20,2008,2,13220,18,東大和市,Higashiyamato-shi,31630,30860,770,18360,12230,2810,2050,7060,310,14860,250,16430,3930,6730,5780,90,3720,12910,15000
平成20,2008,2,13221,19,清瀬市,Kiyose-shi,31170,30650,520,15140,15980,3720,2920,8740,600,11750,1100,18300,3740,10780,3790,20,2060,11740,17370
平成20,2008,2,13222,20,東久留米市,Higashikurume-shi,48230,47530,710,24540,20950,2380,5710,10670,2190,20780,560,26780,6200,14290,6300,120,7110,16890,24240
平成20,2008,2,13223,21,武蔵村山市,Musashimurayama-shi,27830,27420,410,12730,15020,8190,300,5660,870,12900,230,14590,2060,6820,5710,110,1500,12010,14310
平成20,2008,2,13224,22,多摩市,Tama-shi,66110,65930,180,31250,31010,5110,7700,17030,1170,12270,1320,52430,7640,28710,16080,80,3260,11740,51120
