年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成21,2009,13100,,区部,All ku,3146843,16618,509141,1317366,257425,11347,895,55668,372973,15876,453937,-,133853,1744
平成22,2010,13100,,区部,All ku,3074029,16442,384851,1505812,250563,12780,1897,51741,301114,15082,422193,379,110848,325
平成23,2011,13100,,区部,All ku,3122952,21248,367663,1558191,255446,13631,1742,53040,279076,20366,410374,2521,136414,3239
平成23,2011,13101,1,千代田区,Chiyoda-ku,50276,643,9083,12390,4623,82,-,1555,6988,396,13501,-,1014,-
平成23,2011,13102,2,中央区,Chuo-ku,68405,706,12101,19765,6121,259,26,4500,12781,406,10800,189,750,-
平成23,2011,13103,3,港区,Minato-ku,100932,821,16601,40980,13273,572,-,3968,10672,1028,11833,-,1184,-
平成23,2011,13104,4,新宿区,Shinjuku-ku,130271,889,18030,63989,13603,1133,-,2543,12063,1538,12457,117,3907,-
平成23,2011,13105,5,文京区,Bunkyo-ku,71428,772,14716,30015,6461,410,-,787,3768,697,11463,111,2227,-
平成23,2011,13106,6,台東区,Taito-ku,87973,730,8776,46459,7457,246,-,7724,4589,860,7329,21,3783,-
平成23,2011,13107,7,墨田区,Sumida-ku,106190,706,11966,53979,7325,382,-,2521,11487,842,13353,26,3603,-
平成23,2011,13108,8,江東区,Koto-ku,155254,976,19661,80182,15940,504,-,1064,8360,3040,22416,606,2504,-
平成23,2011,13109,9,品川区,Shinagawa-ku,129416,934,14628,56423,10755,694,-,1714,15296,879,24166,91,3837,-
平成23,2011,13110,10,目黒区,Meguro-ku,84179,843,9556,38356,7753,439,6,2784,6227,511,11015,58,6632,-
平成23,2011,13111,11,大田区,Ota-ku,226402,1204,24670,121535,16925,208,19,3204,23150,1328,24484,-,9675,-
平成23,2011,13112,12,世田谷区,Setagaya-ku,236024,1114,27422,108958,19917,836,192,1802,26475,693,38374,-,10241,-
平成23,2011,13113,13,渋谷区,Shibuya-ku,75500,853,9995,33855,7682,724,-,730,4882,1788,12205,67,2718,-
平成23,2011,13114,14,中野区,Nakano-ku,106559,975,13843,50564,7764,633,2,825,8091,624,9818,-,13420,-
平成23,2011,13115,15,杉並区,Suginami-ku,152696,1098,24579,76306,13174,1033,41,849,8860,592,22331,82,3752,-
平成23,2011,13116,16,豊島区,Toshima-ku,98926,788,13615,49024,6861,549,-,752,10665,321,7973,14,8365,-
平成23,2011,13117,17,北区,Kita-ku,124444,976,15301,65869,8867,443,0,2979,7816,1014,16728,133,4319,-
平成23,2011,13118,18,荒川区,Arakawa-ku,86492,701,11352,46246,6386,94,-,1832,6975,408,9658,78,2764,-
平成23,2011,13119,19,板橋区,Itabashi-ku,179787,1035,15129,105163,14449,376,107,1343,9700,745,25689,98,5953,-
平成23,2011,13120,20,練馬区,Nerima-ku,220054,1225,17537,117178,17130,1295,1085,1992,24949,649,25453,1,11560,-
平成23,2011,13121,21,足立区,Adachi-ku,237099,1251,18662,135137,15618,1414,102,1953,19356,788,27342,450,15027,-
平成23,2011,13122,22,葛飾区,Katsushika-ku,170562,959,17715,85158,11156,834,28,3302,13757,691,16571,80,17072,3239
平成23,2011,13123,23,江戸川区,Edogawa-ku,224085,1048,22727,120662,16206,469,134,2317,22172,529,35415,298,2108,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成21～23年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2009-2011 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
