年度末,End of fiscal year,地域階層,地域コード,地域,District,郵便局 Post offices／総数 Total,郵便局 Post offices／郵便局(直営) Post offices(direct management),郵便局 Post offices／簡易郵便局 Postal agencies,郵便差出箱 Mailboxes,郵便切手類販売所 Stamp and revenue stamp shops
平成22,2010,0,13000,総数,Tokyo-to,1514,1507,7,11895,12818
平成23,2011,0,13000,総数,Tokyo-to,1511,1504,7,11401,9692
平成23,2011,1,13100,区部,All ku,1067,1065,2,7968,7135
平成23,2011,3,13101,千代田区,Chiyoda-ku,55,55,-,438,368
平成23,2011,3,13102,中央区,Chuo-ku,49,49,-,447,307
平成23,2011,3,13103,港区,Minato-ku,55,55,-,523,496
平成23,2011,3,13104,新宿区,Shinjuku-ku,56,56,-,424,413
平成23,2011,3,13105,文京区,Bunkyo-ku,34,34,-,246,174
平成23,2011,3,13106,台東区,Taito-ku,34,34,-,273,215
平成23,2011,3,13107,墨田区,Sumida-ku,26,26,-,219,194
平成23,2011,3,13108,江東区,Koto-ku,41,41,-,325,358
平成23,2011,3,13109,品川区,Shinagawa-ku,43,43,-,332,310
平成23,2011,3,13110,目黒区,Meguro-ku,24,24,-,208,240
平成23,2011,3,13111,大田区,Ota-ku,72,72,-,514,435
平成23,2011,3,13112,世田谷区,Setagaya-ku,80,80,-,594,509
平成23,2011,3,13113,渋谷区,Shibuya-ku,38,37,1,337,353
平成23,2011,3,13114,中野区,Nakano-ku,30,30,-,228,208
平成23,2011,3,13115,杉並区,Suginami-ku,52,52,-,377,295
平成23,2011,3,13116,豊島区,Toshima-ku,37,36,1,244,274
平成23,2011,3,13117,北区,Kita-ku,42,42,-,279,230
平成23,2011,3,13118,荒川区,Arakawa-ku,20,20,-,142,121
平成23,2011,3,13119,板橋区,Itabashi-ku,48,48,-,361,309
平成23,2011,3,13120,練馬区,Nerima-ku,62,62,-,419,337
平成23,2011,3,13121,足立区,Adachi-ku,68,68,-,381,378
平成23,2011,3,13122,葛飾区,Katsushika-ku,45,45,-,281,257
平成23,2011,3,13123,江戸川区,Edogawa-ku,56,56,-,376,354
平成23,2011,1,13200,市部,All shi,407,406,1,3204,2413
平成23,2011,3,13201,八王子市,Hachioji-shi,64,64,-,513,342
平成23,2011,3,13202,立川市,Tachikawa-shi,18,18,-,150,137
平成23,2011,3,13203,武蔵野市,Musashino-shi,16,16,-,114,81
平成23,2011,3,13204,三鷹市,Mitaka-shi,19,19,-,141,105
平成23,2011,3,13205,青梅市,Ome-shi,16,16,-,109,106
平成23,2011,3,13206,府中市,Fuchu-shi,23,23,-,201,185
平成23,2011,3,13207,昭島市,Akishima-shi,12,12,-,93,72
平成23,2011,3,13208,調布市,Chofu-shi,22,22,-,195,132
平成23,2011,3,13209,町田市,Machida-shi,34,34,-,259,227
平成23,2011,3,13210,小金井市,Koganei-shi,10,10,-,90,67
平成23,2011,3,13211,小平市,Kodaira-shi,18,18,-,145,98
平成23,2011,3,13212,日野市,Hino-shi,17,17,-,131,84
平成23,2011,3,13213,東村山市,Higashimurayama-shi,12,11,1,98,76
平成23,2011,3,13214,国分寺市,Kokubunji-shi,11,11,-,77,63
平成23,2011,3,13215,国立市,Kunitachi-shi,10,10,-,69,52
平成23,2011,3,13218,福生市,Fussa-shi,6,6,-,65,49
平成23,2011,3,13219,狛江市,Komae-shi,7,7,-,39,36
平成23,2011,3,13220,東大和市,Higashiyamato-shi,8,8,-,52,46
平成23,2011,3,13221,清瀬市,Kiyose-shi,7,7,-,64,43
平成23,2011,3,13222,東久留米市,Higashikurume-shi,12,12,-,82,60
平成23,2011,3,13223,武蔵村山市,Musashimurayama-shi,7,7,-,60,48
平成23,2011,3,13224,多摩市,Tama-shi,15,15,-,117,73
平成23,2011,3,13225,稲城市,Inagi-shi,7,7,-,53,42
平成23,2011,3,13227,羽村市,Hamura-shi,5,5,-,65,45
平成23,2011,3,13228,あきる野市,Akiruno-shi,12,12,-,93,64
平成23,2011,3,13229,西東京市,Nishitokyo-shi ,19,19,-,129,80
平成23,2011,1,13300,郡部,All gun,10,9,1,108,76
平成23,2011,1,13350,島部,All islands,27,24,3,121,68
平成23,2011,2,13360,大島支庁,Oshima-shicho,12,11,1,58,29
平成23,2011,2,13380,三宅支庁,Miyake-shicho,6,6,-,23,6
平成23,2011,2,13400,八丈支庁,Hachijo-shicho,7,6,1,35,17
平成23,2011,2,13420,小笠原支庁,Ogasawara-shicho,2,1,1,5,16
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,
5-1　地域別郵便局数等 (平成22，23年度末) 5-1 POST OFFICES BY DISTRICT ( End of Fiscal Years 2010 and 2011 ),,,,,,,,,,
資料：郵便局株式会社東京支社企画部 ， 郵便事業株式会社東京支社総務部　Source : Japan Post Network Co.，Ltd  ，  Japan Post Service Co.，Ltd,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:支庁　3:区市町村),,,,,,,,,,
