産業（大分類）,Industry (Division),項番 Item number,産業（中分類）,Industry (Major groups),事業所数 Number of establishments,従業者数 Number of employees,従業者数 Number of employees／うち常用雇用者 Regular employees,収入と経費 Earning and expenditure／収入額 Total income,収入と経費 Earning and expenditure／経費総額 Total expenses,収入と経費 Earning and expenditure／経費総額 Total expenses／うち給与支給額 Wages and salaries,収入と経費 Earning and expenditure／設備投資額 Value of equipment investment,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／収入額 Total income,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／経費総額 Total expenses,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／経費総額 Total expenses／うち給与支給額 Wages and salaries,収入と経費 Earning and expenditure／一事業所当たり Per a establishment／設備投資額 Value of equipment investment
総数,Total,,,,258901,2491609,1976873,…,46411072,9209187,3143204,…,17839,3543,8189
情報通信業,Information and Communications,,,,1068,15988,14308,…,292550,94879,7175,…,27392,8884,2053
情報通信業,Information and Communications,1,映像・音声・文字情報制作業,Video picture， sound information， character information production and distribution ,1068,15988,14308,…,292550,94879,7175,…,27392,8884,2053
不動産業,Real estate,,,,39131,158748,97599,…,4441153,772645,309926,…,11346,1974,6676
不動産業,Real estate,1,不動産賃貸業・管理業,Real estate lessors and managers,39131,158748,97599,…,4441153,772645,309926,…,11346,1974,6676
飲食店，宿泊業,Eating and drinking places， Accommodations,,,,59601,537013,445504,…,3320408,1185028,97243,…,5527,1979,1104
飲食店，宿泊業,Eating and drinking places， Accommodations,1,一般飲食店,General eating and drinking places,56443,473313,388804,…,2529487,941804,76373,…,4468,1663,985
飲食店，宿泊業,Eating and drinking places， Accommodations,2,宿泊業,Accommodations,3158,63700,56700,…,790922,243224,20869,…,24477,7638,2480
医療，福祉,Medical， health care and welfare ,,,,13038,170326,139713,…,7163738,537026,24332,…,55053,4113,1260
医療，福祉,Medical， health care and welfare ,1,医療業,Medical and other health services ,8380,37337,26705,…,223440,100183,7217,…,2666,1195,876
医療，福祉,Medical， health care and welfare ,2,保健衛生,Public health and hygiene,184,3952,3187,…,42867,20751,360,…,23297,11278,1414
医療，福祉,Medical， health care and welfare ,3,社会保険・社会福祉・介護事業,Social insurance and social welfare,4474,129037,109821,…,6897431,416092,16754,…,155271,9323,1549
教育，学習支援業,Education， learning support,,,,13683,116126,88664,…,1030903,293436,15055,…,7535,2143,806
教育，学習支援業,Education， learning support,1,その他の教育，学習支援業,Miscellaneous education， learning support,13683,116126,88664,…,1030903,293436,15055,…,7535,2143,806
複合サービス事業,Compound services,,,,1242,11593,9584,…,816624,52591,10865,…,65855,4233,5687
複合サービス事業,Compound services,1,協同組合（他に分類されないもの）,Cooperative associations， n.e.c.,1242,11593,9584,…,816624,52591,10865,…,65855,4233,5687
サービス業（他に分類されないもの）,Services， n.e.c.,,,,131138,1481815,1181501,…,29345696,6273581,2678607,…,22222,4763,12875
サービス業（他に分類されないもの）,Services， n.e.c.,1,専門サービス業（他に分類されないもの）,Professional services， n.e.c.,39351,312801,246393,…,4193500,1665005,44126,…,10606,4214,612
サービス業（他に分類されないもの）,Services， n.e.c.,2,学術・開発研究機関,Scientific and development research institutes,655,35296,33600,…,666604,242287,39570,…,101772,36990,21172
