年次,Year,総数 Total／一戸建 Detached／戸数 Number,総数 Total／一戸建 Detached／床面積の合計 Total floor space,総数 Total／長屋建 Tenement／戸数 Number,総数 Total／長屋建 Tenement／床面積の合計 Total floor space,総数 Total／共同 Apartment／戸数 Number,総数 Total／共同 Apartment／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／一戸建 Detached／戸数 Number,専用住宅 Exclusive dwellings／一戸建 Detached／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／長屋建 Tenement／戸数 Number,専用住宅 Exclusive dwellings／長屋建 Tenement／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／共同 Apartment／戸数 Number,専用住宅 Exclusive dwellings／共同 Apartment／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／一戸建 Detached／戸数 Number,併用住宅 Multi-use dwellings／一戸建 Detached／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／長屋建 Tenement／戸数 Number,併用住宅 Multi-use dwellings／長屋建 Tenement／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／共同 Apartment／戸数 Number,併用住宅 Multi-use dwellings／共同 Apartment／床面積の合計 Total floor space,その他の住宅 Others／一戸建 Detached／戸数 Number,その他の住宅 Others／一戸建 Detached／床面積の合計 Total floor space,その他の住宅 Others／長屋建 Tenement／戸数 Number,その他の住宅 Others／長屋建 Tenement／床面積の合計 Total floor space,その他の住宅 Others／共同 Apartment／戸数 Number,その他の住宅 Others／共同 Apartment／床面積の合計 Total floor space
平成19,2007,33014,3663497,7388,360613,96901,5636294,32539,3602325,7259,354483,92820,5367538,469,60711,129,6130,4075,268516,6,461,-,-,6,240
平成20,2008,34030,3761418,8073,402004,115066,6471355,33566,3705669,7939,394410,109622,6147536,462,55626,134,7594,5444,323819,2,123,-,-,-,-
平成21,2009,30591,3343012,7595,365086,70230,3721060,30133,3287998,7468,359621,64977,3406338,455,54461,127,5465,5251,314645,3,553,-,-,2,77
平成22,2010,37140,3993852,9192,451396,73526,4265335,36682,3938861,9144,448619,67787,3843985,449,54275,48,2777,5711,417640,9,716,-,-,28,3710
平成23,2011,37990,4041418,10648,527865,82062,4912537,37495,3982256,10482,510557,75990,4518382,474,56930,112,7635,5870,355714,21,2232,54,9673,202,38441
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-10  着  工  新  設  住  宅  数 （平成19～23年） 3-10  NEW DWELLING CONSTRUCTION STARTS （ 2007-2011 ）,,,,,,,,,,,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル） (Space in m2) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：国土交通省 「住宅着工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,,,,,,,,,,,,,,,,,,
