年度末,End of fiscal year,一般加入電話 Number of landline phones／総数 Total,一般加入電話 Number of landline phones／単独 Individual,一般加入電話 Number of landline phones／事業所集団 Establishments,一般加入電話住宅用比率 Percentage of telephones for residential use (%),ISDN契約数 Number of ISDN subscriptions／ISDNネット64 64kb／s,ISDN契約数 Number of ISDN subscriptions／ISDNネット1500 1500kb／s,移動体通信サービス加入数 Number of mobile communication service subscriptions／携帯電話 Cellular phones,移動体通信サービス加入数 Number of mobile communication service subscriptions／PHS Personal handy-phone system,公衆電話 Payphones／総数 Total,公衆電話 Payphones／総数 Total／うちデジタル電話 Of which are digital payphones,ブロードバンド契約数 Broadband subscriptions／CATV Cable television,ブロードバンド契約数 Broadband subscriptions／DSL Digital subscriber line,ブロードバンド契約数 Broadband subscriptions／FTTH Fiber to the home
平成14,2002,6670,6643,27,69.6,1469,22,9810,1446,77,31,303,1317,…
平成15,2003,6624,6606,18,70.8,1353,22,11544,1477,67,29,356,1822,…
平成16,2004,6447,6430,17,71.8,1490,23,11348,1492,58,26,397,2065,663
平成17,2005,5883,5867,16,71.3,1197,23,12268,1663,51,23,437,2087,1171
平成18,2006,5317,5303,14,71.1,1077,23,13351,1788,47,22,475,1928,1749
平成19,2007,5034,5021,13,69.3,982,22,15007,…,42,21,518,1688,2243
平成20,2008,4286,4286,-,70.9,882,20,16770,…,39,20,568,1424,2584
平成21,2009,3845,3835,10,70.6,777,18,18247,…,36,19,784,1209,2930
平成22,2010,3451,3442,10,70.2,682,16,20456,…,32,17,872,995,3159
平成23,2011,3124,3114,9,69.8,612,14,23277,…,29,16,937,820,3349
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,
5-3　一般加入電話，公衆電話及びインターネット契約数等(平成14～23年度末) 5-3 LANDLINE， PAYPHONE， AND INTERNET SUBSCRIPTIONS ( End of Fiscal Years 2002-2011 ),,,,,,,,,,,,,,
注) 「単独」 には 「構内交換」 を含む。,,,,,,,,,,,,,,
Note: “Individual” includes PBX (private branch exchange phone systems).,,,,,,,,,,,,,,
資料：東日本電信電話株式会社東京支店，総務省関東総合通信局      Source: Nippon Telegraph and Telephone East Corp. Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,
(単位　千件) (In thousands),,,,,,,,,,,,,,
