地域階層,地域コード,地域,District,昼間人口Daytime population／昭和50年1975,昼間人口Daytime population／昭和55年1980,昼間人口Daytime population／昭和60年1985,昼間人口Daytime population／平成2年1990,昼間人口Daytime population／平成7年1995,昼間人口Daytime population／平成12年2000,昼間人口Daytime population／平成17年2005,昼間人口Daytime population／平成17年2005／男Male,昼間人口Daytime population／平成17年2005／女Female,夜間人口Nighttime population／昭和50年1975,夜間人口Nighttime population／昭和55年1980,夜間人口Nighttime population／昭和60年1985,夜間人口Nighttime population／平成2年1990,夜間人口Nighttime population／平成7年1995,夜間人口Nighttime population／平成12年2000,夜間人口Nighttime population／平成17年2005,夜間人口Nighttime population／平成17年2005／男Male,夜間人口Nighttime population／平成17年2005／女Female
0,13000,総数,Tokyo-to,13359511,13493885,13997649,14483495,14571809,14666899,14977580,7960149,7017431,11673554,11597211,11819486,11762030,11734920,12017253,12415786,6171313,6244473
1,13100,区部,All ku,10725386,10613454,10958178,11287948,11191345,11125135,11284699,6194164,5090535,8646520,8336303,8346709,8099153,7935211,8092268,8351955,4131550,4220405
2,13101,千代田区,Chiyoda-ku,934427,936542,1009291,1036609,949900,855172,853382,565763,287619,61656,54777,50493,39305,34758,36016,41683,20074,21609
2,13102,中央区,Chuo-ku,661465,656029,693960,748288,700865,648366,647733,414507,233226,90097,82664,79936,67621,63807,72233,98220,47436,50784
2,13103,港区,Minato-ku,674821,706427,819495,883952,849786,837658,908940,580585,328355,209492,200223,192615,156325,144233,159336,185732,87942,97790
2,13104,新宿区,Shinjuku-ku,653256,688601,756362,817095,806095,798611,770094,450260,319834,367218,342724,332564,291152,276011,286173,303808,150495,153313
2,13105,文京区,Bunkyo-ku,334859,324165,325391,339161,345087,342603,336229,183646,152583,216250,202332,195855,180322,172332,175872,189564,92023,97541
2,13106,台東区,Taito-ku,355084,337509,332227,347738,342681,317700,303522,179719,123803,207649,186001,176720,162345,152961,156073,163528,83413,80115
2,13107,墨田区,Sumida-ku,290162,272678,269029,267595,270261,257972,262514,142996,119518,250714,232397,229911,222270,215421,215865,231092,115235,115857
2,13108,江東区,Koto-ku,376241,372919,384438,412935,438253,454680,490708,279991,210717,355382,362029,388923,384904,365575,376784,420827,209241,211586
2,13109,品川区,Shinagawa-ku,413274,401839,419261,455826,462609,478529,505034,294824,210210,366058,346052,357286,344163,325180,322682,344888,170381,174507
2,13110,目黒区,Meguro-ku,273755,265370,265786,267235,269947,267322,271320,137106,134214,285003,273128,268931,247036,241676,239489,248749,117071,131678
2,13111,大田区,Ota-ku,689050,655332,660188,653517,647545,655573,657209,353925,303284,691337,660081,662719,646265,634844,650323,664027,336640,327387
2,13112,世田谷区,Setagaya-ku,694901,686659,683539,671354,688081,706522,736040,344528,391512,805787,795426,810760,785633,780798,796874,820320,394008,426312
2,13113,渋谷区,Shibuya-ku,435930,461728,508815,547216,536851,549715,542803,297282,245521,263815,246719,242416,201562,188235,196337,199280,96094,103186
2,13114,中野区,Nakano-ku,291903,272369,267237,257848,261174,272250,285636,143607,142029,373075,345294,335500,311790,304379,309513,310392,155012,155380
2,13115,杉並区,Suginami-ku,429838,420260,417998,412985,411526,427162,439379,205669,233710,560716,540895,538589,525843,508004,520095,522582,253002,269580
2,13116,豊島区,Toshima-ku,373548,368817,383925,425691,424002,408802,378475,199693,178782,321078,287855,277558,256654,243919,248201,233141,115526,117615
2,13117,北区,Kita-ku,378164,353925,338454,322529,318682,308653,307317,154910,152407,419996,386332,367399,351119,333004,326671,330345,163900,166445
2,13118,荒川区,Arakawa-ku,214572,195086,185355,178567,175354,176358,184021,97072,86949,217905,197874,190029,183895,176833,180441,191163,95393,95770
2,13119,板橋区,Itabashi-ku,465281,462807,466179,461364,461963,470917,456425,228597,227828,498286,497003,505494,513438,509578,512459,507799,252862,254937
2,13120,練馬区,Nerima-ku,446554,442139,451541,461017,476777,507286,530628,249117,281511,559665,563274,587475,614646,630366,654150,643687,315510,328177
2,13121,足立区,Adachi-ku,534494,541313,533447,523152,530895,535321,539309,266505,272804,609025,619096,622613,627817,621347,616064,622500,313695,308805
2,13122,葛飾区,Katsushika-ku,385231,364945,354432,345385,347157,345365,343039,164637,178402,442328,419805,418972,423853,423951,421496,424823,212737,212086
2,13123,江戸川区,Edogawa-ku,418275,425958,431828,450889,475854,502598,534942,259225,275717,473656,494285,513951,561195,587999,619121,653805,333860,319945
2,13199,境界未定地,Unattached land,301,37,-,-,-,-,-,-,-,332,37,-,-,-,-,-,-,-
1,13200,市部,All shi,2559292,2802592,2956053,3109739,3291809,3455698,3604881,1720770,1884111,2945600,3176548,3383090,3570667,3706417,3837093,3976006,1995472,1980534
2,13201,八王子市,Hachioji-shi,305942,385771,418428,463705,506317,537132,549417,275385,274032,322580,387013,426563,464261,503130,535473,556808,283924,272884
2,13202,立川市,Tachikawa-shi,141312,147166,152834,164788,175523,182157,193465,95663,97802,138129,142407,146454,151434,157506,163987,172563,85888,86675
2,13203,武蔵野市,Musashino-shi,136054,140035,143994,152586,153379,152425,154448,73856,80592,139508,136506,138598,138109,134510,135730,137513,66621,70892
2,13204,三鷹市,Mitaka-shi,134260,133973,136347,133919,138934,152435,148458,72862,75596,164950,163874,166185,163653,164961,171346,166767,82214,84553
2,13205,青梅市,Ome-shi,78635,91023,102410,111098,121953,128691,127176,61692,65484,86152,98965,110818,125637,137202,141352,142028,71538,70490
2,13206,府中市,Fuchu-shi,166626,176585,188753,195642,210521,221456,236133,123196,112937,182474,191392,201962,207563,216126,226647,245292,127365,117927
2,13207,昭島市,Akishima-shi,76124,81886,88501,92256,95218,96560,100508,49255,51253,83864,89273,97539,104466,107284,106485,110054,55372,54682
2,13208,調布市,Chofu-shi,147739,153499,159377,162753,169321,178626,186275,87422,98853,175924,179834,191034,195544,198532,204752,215809,108874,106935
2,13209,町田市,Machida-shi,220899,260327,279624,298974,315906,330651,364091,161233,202858,255305,294956,320989,343608,359461,376808,404449,199564,204885
2,13210,小金井市,Koganei-shi,82585,83693,84641,82560,89545,93522,95195,46171,49024,102714,102078,104601,104791,109116,111670,111033,55780,55253
2,13211,小平市,Kodaira-shi,136165,139137,143536,143638,150473,154079,160499,75080,85419,156181,154464,158671,162565,172771,178597,183775,91743,92032
2,13212,日野市,Hino-shi,114269,126916,133061,138546,142774,144265,154114,77524,76590,126847,145408,156001,165632,166443,167933,176527,90632,85895
2,13213,東村山市,Higashimurayama-shi,88935,93701,95490,100671,104038,111681,115046,51207,63839,112649,119252,123459,133421,134896,141635,144402,71314,73088
2,13214,国分寺市,Kokubunji-shi,69577,71035,72602,75186,82127,88559,95649,45335,50314,88159,90820,95398,100163,105165,111244,115238,57600,57638
2,13215,国立市,Kunitachi-shi,58073,58381,59675,62919,65464,71484,71295,34051,37244,64495,63984,64744,64600,66533,72183,72574,36355,36219
2,13218,福生市,Fussa-shi,41688,43892,44832,48040,50461,51891,52442,24960,27482,46457,48563,51363,57716,61018,61425,61045,30884,30161
2,13219,狛江市,Komae-shi,50210,49410,49217,47952,49741,53540,57386,26349,31037,70043,70801,73760,73406,74642,75705,78314,39128,39186
2,13220,東大和市,Higashiyamato-shi,47213,51608,54125,55576,58926,60927,64274,29128,35146,58464,65498,69863,74812,76343,77193,79228,39522,39706
2,13221,清瀬市,Kiyose-shi,48319,50138,51076,51225,53263,57390,60733,25871,34862,60574,61852,65013,67126,67350,68020,73506,35905,37601
2,13222,東久留米市,Higashikurume-shi,78126,80083,79952,78123,79944,86312,90315,40864,49451,100821,106458,109897,113213,111083,112862,115023,56954,58069
