年齢 (歳) Age (years old),東京都 Tokyo-to／7年（第18回生命表） 1995 (18th Life tables) 1995／男 Male,東京都 Tokyo-to／7年（第18回生命表） 1995 (18th Life tables) 1995／女  Female,東京都 Tokyo-to／12年（第19回生命表） 2000 (19th Life tables) 2000／男 Male,東京都 Tokyo-to／12年（第19回生命表） 2000 (19th Life tables) 2000／女  Female,東京都 Tokyo-to／17年（第20回生命表） 2005 (20th Life tables) 2005／男 Male,東京都 Tokyo-to／17年（第20回生命表） 2005 (20th Life tables) 2005／女  Female,全国 Japan／7年（第18回生命表） 1995 (18th Life tables) 1995／男 Male,全国 Japan／7年（第18回生命表） 1995 (18th Life tables) 1995／女 Female,全国 Japan／12年（第19回生命表） 2000 (19th Life tables) 2000／男 Male,全国 Japan／12年（第19回生命表） 2000 (19th Life tables) 2000／女 Female,全国 Japan／17年(第20回生命表) 2005 (The 20th  Life tables) 2005／男 Male,全国 Japan／17年(第20回生命表) 2005 (The 20th  Life tables) 2005／女 Female
0,76.73,83.12,77.96,84.46,79.02,85.53,76.38,82.85,77.72,84.6,78.56,85.52
5,72.19,78.57,73.34,79.83,74.35,80.8,71.87,78.29,73.1,79.95,73.88,80.81
10,67.24,73.61,68.39,74.86,69.38,75.84,66.94,73.34,68.15,74.98,68.93,75.84
15,62.3,68.64,63.43,69.9,64.43,70.87,62,68.39,63.19,70.01,63.97,70.87
20,57.42,63.68,58.52,64.94,59.5,65.93,57.16,63.46,58.33,65.08,59.08,65.93
25,52.56,58.75,53.66,60.02,54.63,61.02,52.37,58.56,53.52,60.16,54.25,61.02
30,47.72,53.83,48.8,55.13,49.77,56.12,47.55,53.65,48.69,55.26,49.43,56.12
35,42.89,48.95,43.98,50.24,44.94,51.23,42.74,48.77,43.89,50.37,44.62,51.23
40,38.11,44.09,39.22,45.37,40.15,46.37,37.96,43.91,39.13,45.52,39.86,46.38
45,33.41,39.29,34.52,40.59,35.44,41.55,33.28,39.12,34.45,40.73,35.18,41.57
50,28.91,34.59,30.01,35.89,30.86,36.83,28.75,34.43,29.91,36.01,30.63,36.84
55,24.58,29.98,25.68,31.32,26.5,32.21,24.41,29.82,25.58,31.4,26.25,32.2
60,20.47,25.48,21.59,26.8,22.36,27.68,20.28,25.31,21.44,26.85,22.09,27.66
65,16.67,21.15,17.72,22.38,18.47,23.23,16.48,20.94,17.54,22.42,18.13,23.19
70,13.13,17.03,14.18,18.15,14.8,18.93,12.97,16.76,13.97,18.19,14.39,18.88
75,10.01,13.2,10.98,14.21,11.46,14.9,9.81,12.88,10.75,14.19,11.07,14.83
80,7.41,9.89,8.17,10.68,8.51,11.21,7.13,9.47,7.96,10.6,8.22,11.13
85,5.46,7.22,5.94,7.68,6.09,8.06,5.05,6.67,5.76,7.61,5.89,7.99
90,4.05,5.26,4.27,5.29,4.38,5.62,3.58,4.64,4.1,5.29,4.15,5.53
95,3.01,3.86,3.04,3.54,3.15,3.96,2.6,3.33,2.97,3.73,2.93,3.77
,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,
2-8  平均余命（平成7～17年） 2-8  LIFE EXPECTANCY ( 1995-2005 ),,,,,,,,,,,,
資料：都総務局統計部調整課「東京都生命表」，厚生労働省 「生命表」 Source : Bureau of General Affairs，T.M.G. ，Ministry of Health，Labour and Welfare,,,,,,,,,,,,
