年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成22年,2010,,総数,Total,,,,,,,1431,27,1404,504,887,-,-,13,-,1404,1333,-,6,-,-,-,-,1,3,38,11,1,-,11,27
平成23年,2011,,総数,Total,,,,,,,1417,27,1390,511,870,-,-,9,-,1375,1320,-,10,-,-,-,-,-,6,28,6,-,-,5,46
平成23年,2011,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,289,9,280,126,151,-,-,3,-,276,252,-,-,-,-,-,-,-,6,12,3,-,-,3,16
平成23年,2011,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,10,-,10,8,2,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成23年,2011,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,20,-,20,9,9,-,-,2,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成23年,2011,4,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,その他,Others,,,75,4,71,39,32,-,-,-,-,74,62,-,-,-,-,-,-,-,1,8,-,-,-,3,4
平成23年,2011,5,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,学校におけるいじめ,Bullying at school　　　　　　　　　　　　　　,,,,,161,3,158,59,99,-,-,-,-,156,152,-,-,-,-,-,-,-,-,3,1,-,-,-,5
平成23年,2011,6,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,刑務職員による侵犯,Infringement by prison personnel,,,,,6,-,6,4,1,-,-,1,-,4,1,-,-,-,-,-,-,-,3,-,-,-,-,-,2
平成23年,2011,7,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,国家公務員,National public servants,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,8,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,地方公務員,Local government servants,,,16,2,14,6,8,-,-,-,-,16,11,-,-,-,-,-,-,-,2,1,2,-,-,-,-
平成23年,2011,9,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,その他,Others,,,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成23年,2011,1,私人間の侵犯事件,Infringement cases among private citizens,,,,,,,1128,18,1110,385,719,-,-,6,-,1099,1068,-,10,-,-,-,-,-,-,16,3,-,-,2,30
平成23年,2011,1,私人間の侵犯事件,Infringement cases among private citizens,人身売買,Human trafficking  ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,2,私人間の侵犯事件,Infringement cases among private citizens,売春に伴う侵犯,Infringement relating to prostitution,,,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,3,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,133,-,133,44,89,-,-,-,-,133,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,4,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,10,1,9,2,7,-,-,-,-,10,9,-,-,-,-,-,-,-,-,-,1,-,-,-,-
平成23年,2011,5,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,59,-,59,23,35,-,-,1,-,53,53,-,-,-,-,-,-,-,-,-,-,-,-,-,6
平成23年,2011,6,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,49,-,49,11,38,-,-,-,-,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,7,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,その他,Others,27,1,26,7,19,-,-,-,-,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,8,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,その他,Others,,,86,-,86,20,66,-,-,-,-,86,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,9,私人間の侵犯事件,Infringement cases among private citizens,私的制裁,Lynching,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,10,私人間の侵犯事件,Infringement cases among private citizens,医療に関する侵犯,Infringement related to medical care,,,,,10,-,10,7,2,-,-,1,-,8,6,-,-,-,-,-,-,-,-,2,-,-,-,-,2
平成23年,2011,11,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,精神保健法関係,Related to the Mental Health Act ,,,2,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,12,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,13,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,施設職員によるもの,By staff of facilities,,,6,-,6,4,1,-,-,1,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成23年,2011,14,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,2,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成23年,2011,15,私人間の侵犯事件,Infringement cases among private citizens,村八分,Social ostracism,,,,,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成23年,2011,16,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,女性に関するもの,Against women,,,2,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,17,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,高齢者に関するもの,Against elderly people,,,3,-,3,1,2,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,18,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,障害者に関するもの,Against persons with disabilities,,,16,2,14,6,8,-,-,-,-,12,10,-,-,-,-,-,-,-,-,1,1,-,-,-,4
平成23年,2011,19,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,同和問題に関するもの,Related to Dowa problem,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,20,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,アイヌの人々に関するもの,Against Ainu people,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,21,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,外国人に関するもの,Against foreigners,,,9,1,8,4,2,-,-,2,-,8,6,-,-,-,-,-,-,-,-,1,-,-,-,1,1
平成23年,2011,22,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,ＨＩＶ感染者等に関するもの,Against HIV-positive patients， etc.,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,23,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,刑を終えた人に関するもの,Against ex-convicts  ,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,24,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,その他,Others,,,7,-,7,6,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,3
平成23年,2011,25,私人間の侵犯事件,Infringement cases among private citizens,参政権に対する侵犯,Infringement of suffrage ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成23年,2011,26,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,報道機関等,By media， etc. ,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
