年次,Year,受理 Received／総数 Total,受理 Received／総務 General Affairs,受理 Received／財政 Finance,受理 Received／文教 Education,受理 Received／都市整備 Urban Development,受理 Received／厚生 Welfare,受理 Received／経済・港湾 Economic Affairs， Port & Harbor,受理 Received／環境・建設 Environment and Construction,受理 Received／公営企業 Public Enterprises,受理 Received／警察・消防 Police and Fire Fighting,受理 Received／議会運営 Rules and Administration of the Assembly,処理 Disposed／総数 Total,処理 Disposed／総務 General Affairs,処理 Disposed／財政 Finance,処理 Disposed／文教 Education,処理 Disposed／都市整備 Urban Development,処理 Disposed／厚生 Welfare,処理 Disposed／経済・港湾 Economic Affairs， Port & Harbor,処理 Disposed／環境・建設 Environment and Construction,処理 Disposed／公営企業 Public Enterprises,処理 Disposed／警察・消防 Police and Fire Fighting,処理 Disposed／議会運営 Rules and Administration of the Assembly,取下げ Withdrawal,審議未了 Shelved,継続審査 Continuing
平成19,2007,206,4,114,24,18,20,4,11,6,5,-,180,5,101,20,12,21,4,9,4,4,-,14,-,242
平成20,2008,231,5,139,17,16,23,7,10,6,8,-,177,5,110,14,4,23,5,7,6,3,-,11,-,285
平成21,2009,322,15,195,22,21,24,3,34,3,4,1,203,1,138,20,7,21,3,5,1,7,-,6,132,266
平成22,2010,1165,999,70,27,22,19,6,15,4,3,-,629,363,155,28,21,19,4,28,5,5,1,11,-,791
平成23,2011,169,5,50,54,10,14,5,18,6,7,-,785,649,52,33,6,11,5,20,4,5,-,1,-,174
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,
22-3  都議会委員会別請願及び陳情件数 （平成19～23年） 22-3  ACCEPTANCE AND DISPOSAL OF PETITIONS BY TOKYO METROPOLITAN ASSEMBLY COMMITTEE ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都議会局議事部議案法制課 Source: Secretariat to the Tokyo Metropolitan Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
