年末（平成）,End of year,地域階層,地域コード,地域,District,総数Total,中国China,韓国・朝鮮Korea,フィリピンPhilippines,アメリカU.S.A.,インドIndia,タイThailand,ネパールNepal,イギリスU.K.,フランスFrance,ミャンマーMyanmar,その他Others
19,2007,0,13000,総数,Tokyo-to,390321,134493,115051,32130,19001,8706,6743,3600,7541,5568,4015,53473
20,2008,0,13000,総数,Tokyo-to,408284,145320,117567,31974,19408,9418,6907,5083,7482,5969,4680,54476
21,2009,0,13000,総数,Tokyo-to,418116,157070,116158,31502,18746,9644,7202,6416,6986,5587,5128,53677
22,2010,0,13000,総数,Tokyo-to,422226,164672,115025,30572,18264,9585,7296,7054,6702,5561,5257,52238
23,2011,0,13000,総数,Tokyo-to,406096,164199,105522,29540,17342,8750,7177,7786,6064,4945,5238,49533
23,2011,1,13100,区部,All ku,339448,139328,89079,22311,14377,8035,5810,6700,5383,4649,4979,38797
23,2011,3,13101,千代田区,Chiyoda-ku,2637,982,443,50,206,120,37,39,80,216,15,449
23,2011,3,13102,中央区,Chuo-ku,4977,2079,1078,117,316,277,65,63,102,78,31,771
23,2011,3,13103,港区,Minato-ku,20620,3393,3821,1008,4196,810,189,103,1113,777,55,5155
23,2011,3,13104,新宿区,Shinjuku-ku,33568,12473,12567,716,843,249,642,1022,366,906,1153,2631
23,2011,3,13105,文京区,Bunkyo-ku,7352,2990,2133,206,331,95,156,137,93,189,109,913
23,2011,3,13106,台東区,Taito-ku,12662,5768,3936,689,166,612,246,206,78,85,65,811
23,2011,3,13107,墨田区,Sumida-ku,9558,4496,2123,1312,115,67,374,66,59,41,77,828
23,2011,3,13108,江東区,Koto-ku,21157,10525,5061,1467,372,1088,344,170,116,94,160,1760
23,2011,3,13109,品川区,Shinagawa-ku,11274,4111,2492,712,589,592,164,427,224,146,200,1617
23,2011,3,13110,目黒区,Meguro-ku,7369,1602,1533,584,759,178,133,198,354,226,53,1749
23,2011,3,13111,大田区,Ota-ku,18165,7338,3866,2132,531,281,404,768,158,77,109,2501
23,2011,3,13112,世田谷区,Setagaya-ku,15686,3998,4186,796,1407,426,216,290,622,377,87,3281
23,2011,3,13113,渋谷区,Shibuya-ku,9834,2019,1715,314,1604,170,205,129,779,497,42,2360
23,2011,3,13114,中野区,Nakano-ku,11418,4559,3407,426,373,130,229,416,168,168,243,1299
23,2011,3,13115,杉並区,Suginami-ku,10773,3755,3045,488,605,127,208,559,241,164,181,1400
23,2011,3,13116,豊島区,Toshima-ku,19324,11737,3030,428,360,134,269,567,143,181,933,1542
23,2011,3,13117,北区,Kita-ku,15451,8502,3039,881,187,138,161,195,89,66,677,1516
23,2011,3,13118,荒川区,Arakawa-ku,15667,6806,6718,537,127,81,131,276,43,32,300,616
23,2011,3,13119,板橋区,Itabashi-ku,17337,9690,3549,1363,255,51,263,195,136,91,192,1552
23,2011,3,13120,練馬区,Nerima-ku,13017,5178,4070,887,457,156,260,231,149,109,56,1464
23,2011,3,13121,足立区,Adachi-ku,23059,8562,8367,3353,226,104,425,187,85,39,63,1648
23,2011,3,13122,葛飾区,Katsushika-ku,14163,6982,3768,1362,128,69,249,197,69,30,92,1217
23,2011,3,13123,江戸川区,Edogawa-ku,24380,11783,5132,2483,224,2080,440,259,116,60,86,1717
23,2011,1,13200,市部,All shi,65745,24740,16268,6953,2900,706,1341,1082,675,296,258,10526
23,2011,3,13201,八王子市,Hachioji-shi,9072,3739,2077,1081,245,100,142,136,53,28,35,1436
23,2011,3,13202,立川市,Tachikawa-shi,3504,1619,919,310,124,54,40,52,17,3,7,359
23,2011,3,13203,武蔵野市,Musashino-shi,2297,817,565,83,225,30,41,62,64,35,9,366
23,2011,3,13204,三鷹市,Mitaka-shi,2976,942,785,176,316,11,69,29,89,35,21,503
23,2011,3,13205,青梅市,Ome-shi,1592,435,257,370,54,15,62,12,8,1,1,377
23,2011,3,13206,府中市,Fuchu-shi,4279,1585,932,452,254,41,104,39,41,18,36,777
23,2011,3,13207,昭島市,Akishima-shi,2130,854,620,207,42,20,23,39,10,2,4,309
23,2011,3,13208,調布市,Chofu-shi,3853,1371,1160,304,159,81,94,41,39,26,20,558
23,2011,3,13209,町田市,Machida-shi,5076,2121,1155,487,207,68,128,32,63,21,19,775
23,2011,3,13210,小金井市,Koganei-shi,2238,1013,350,110,137,20,55,83,39,19,15,397
23,2011,3,13211,小平市,Kodaira-shi,4002,1183,1745,258,103,13,61,13,40,21,14,551
23,2011,3,13212,日野市,Hino-shi,2486,1156,548,227,71,22,35,59,23,5,21,319
23,2011,3,13213,東村山市,Higashimurayama-shi,2349,883,675,276,47,14,31,48,17,4,10,344
23,2011,3,13214,国分寺市,Kokubunji-shi,1667,726,439,114,77,11,18,42,23,5,3,209
23,2011,3,13215,国立市,Kunitachi-shi,1411,504,413,75,60,20,33,56,14,5,2,229
23,2011,3,13218,福生市,Fussa-shi,2443,713,306,373,137,30,137,179,6,1,3,558
23,2011,3,13219,狛江市,Komae-shi,933,323,233,94,50,10,39,34,18,12,1,119
23,2011,3,13220,東大和市,Higashiyamato-shi,1038,325,337,234,26,5,28,-,7,4,3,69
23,2011,3,13221,清瀬市,Kiyose-shi,1004,435,210,152,29,-,19,10,1,5,3,140
23,2011,3,13222,東久留米市,Higashikurume-shi,1653,520,335,256,207,20,30,9,25,1,3,247
23,2011,3,13223,武蔵村山市,Musashimurayama-shi,1177,403,187,287,40,1,24,2,1,3,-,229
23,2011,3,13224,多摩市,Tama-shi,2229,983,554,244,65,25,28,46,14,16,5,249
23,2011,3,13225,稲城市,Inagi-shi,1087,391,283,164,31,14,21,2,9,3,2,167
23,2011,3,13227,羽村市,Hamura-shi,1401,185,118,246,54,16,13,27,8,-,2,732
23,2011,3,13228,あきる野市,Akiruno-shi,635,153,156,104,39,6,14,2,3,1,-,157
23,2011,3,13229,西東京市,Nishitokyo-shi,3213,1361,909,269,101,59,52,28,43,22,19,350
23,2011,1,13300,郡部,All gun,667,113,85,206,48,9,17,4,5,-,1,179
23,2011,3,13303,瑞穂町,Mizuho-machi,554,88,62,183,25,9,16,3,4,-,1,163
23,2011,3,13305,日の出町,Hinode-machi,79,19,16,16,15,-,-,1,-,-,-,12
23,2011,3,13307,檜原村,Hinohara-mura,12,-,5,2,5,-,-,-,-,-,-,-
23,2011,3,13308,奥多摩町,Okutama-machi,22,6,2,5,3,-,1,-,1,-,-,4
23,2011,1,13350,島部,All islands,236,18,90,70,17,-,9,-,1,-,-,31
23,2011,2,13360,大島支庁,Oshima-shicho,58,9,14,3,2,-,6,-,-,-,-,24
23,2011,2,13380,三宅支庁,Miyake-shicho,38,2,18,16,2,-,-,-,-,-,-,-
23,2011,2,13400,八丈支庁,Hachijo-shicho,119,5,54,50,5,-,3,-,-,-,-,2
23,2011,2,13420,小笠原支庁,Ogasawara-shicho,21,2,4,1,8,-,-,-,1,-,-,5
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,
2-4 地域，国籍別登録外国人数（平成19年～23年末） 2-4 REGISTERED FOREIGN NATIONALS BY DISTRICT AND NATIONALITY ( End of Years 2007-2011 ),,,,,,,,,,,,,,,,,
注) 外国人登録者数とは，外国人登録法（昭和27年法律第125号）に基づいて各区市町村に登録している外国人数である。 ,,,,,,,,,,,,,,,,,
Note: Figures for registered foreign nationals are based on numbers of foreign nationals registered at the municipalities according to the Alien Registration Act.,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課「外国人人口」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:支庁　3:区市町村）,,,,,,,,,,,,,,,,,
