年次,Year,霜 Frost／初霜 First frost (年(Year)／月(Month)／日(Date)) ,霜 Frost／終霜 Last frost (年(Year)／月(Month)／日(Date)) ,雪 Snow／初雪 First snow (年(Year)／月(Month)／日(Date)) ,雪 Snow／終雪 Last snow (年(Year)／月(Month)／日(Date)) ,結氷 Freezing／初結氷 First freezing (年(Year)／月(Month)／日(Date)) ,結氷 Freezing／終結氷 Last freezing (年(Year)／月(Month)／日(Date)) 
平成元,1989,1988-11-27,1989-03-09,1989-01-26,1989-03-08,1988-11-27,1989-03-09
平成2,1990,1989-12-15,1990-02-10,1990-01-16,1990-02-15,1989-12-20,1990-02-10
平成3,1991,1991-01-07,1991-02-24,1991-01-12,1991-02-20,1990-12-28,1991-03-15
平成4,1992,1991-12-13,1991-12-31,1991-12-26,1992-03-23,1991-12-13,1992-03-22
平成5,1993,1993-01-03,1993-02-25,1993-01-09,1993-03-15,1992-12-19,1993-03-30
平成6,1994,1994-01-23,1994-01-23,1993-12-22,1994-02-12,1993-12-16,1994-02-25
平成7,1995,1995-02-06,1995-02-27,1995-02-05,1995-03-26,1994-12-17,1995-02-21
平成8,1996,1995-12-11,1995-12-11,1995-12-19,1996-03-19,1995-12-09,1996-03-06
平成9,1997,1996-12-30,1996-12-30,1997-01-25,1997-02-19,1996-12-02,1997-02-23
平成10,1998,1998-01-11,1998-01-26,1997-12-23,1998-03-17,1997-12-04,1998-03-18
平成11,1999,1998-12-14,1999-03-04,1998-12-03,1999-02-19,1999-01-01,1999-03-23
平成12,2000,1999-12-13,2000-03-27,2000-01-12,2000-02-26,1999-12-21,2000-03-14
平成13,2001,2000-12-09,2001-04-01,2001-01-07,2001-03-31,2000-12-07,2001-04-01
平成14,2002,2001-12-20,2002-02-12,2001-12-21,2002-02-10,2001-12-11,2002-02-16
平成15,2003,2002-12-11,2003-02-02,2002-12-09,2003-02-24,2002-12-11,2003-03-12
平成16,2004,2003-12-22,2004-02-08,2003-12-27,2004-03-07,2004-01-12,2004-03-08
平成17,2005,2004-12-30,2005-03-15,2004-12-29,2005-03-14,2004-12-30,2005-03-14
平成18,2006,2005-12-14,2006-03-04,2005-12-11,2006-03-14,2005-12-14,2006-03-14
平成19,2007,2007-01-01,2007-01-08,2007-03-16,2007-04-04,2007-01-01,2007-02-25
平成20,2008,2008-01-02,2008-02-05,2008-01-16,2008-02-10,2008-01-02,2008-02-25
平成21,2009,2008-12-15,2009-02-18,2009-01-09,2009-03-26,2008-12-27,2009-02-22
平成22,2010,2009-12-19,2010-03-30,2010-01-12,2010-04-17,2009-12-19,2010-03-30
平成23,2011,2010-12-27,2011-03-18,2010-12-30,2011-03-07,2011-01-07,2011-03-04
,,,,,,,
東京都統計年鑑 （平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,
1-8  季節現象（平成元～23年） 1-8 SEASONAL PHENOMENON（ 1989-2011 ）,,,,,,,
注) 霜，雪，結氷は，前年8月から当年7月までの期間で算出している。,,,,,,,
Note: Frost， snow， and freezing data are for the 12 months to July each year.,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,
