年度末,End of fiscal year,業種,Type of industry,給水件数 № of customers,基本水量 Basic water supply,用途別 Use of water／冷却For cooling,用途別 Use of water／洗浄 For washing,用途別 Use of water／製品処理 For product treatment,用途別 Use of water／原料 For materials,用途別 Use of water／温調 For heat adjustment,用途別 Use of water／ボイラー For boilers,用途別 Use of water／その他 Others
平成21,2009,総数,Total,226,26581,9347,7782,2652,2353,677,1643,2127
平成22,2010,総数,Total,222,24640,8276,7571,2192,2380,637,1564,2020
平成23,2011,総数,Total,214,23727,8160,7428,2002,2288,630,1501,1718
平成23,2011,化学,Chemicals,37,4406,1169,988,626,358,160,494,611
平成23,2011,鉄鋼,Iron and steel,6,4033,3540,140,-,-,220,78,55
平成23,2011,金属,Metalworking,19,729,242,286,44,1,9,17,130
平成23,2011,鍍金,Plating,17,456,52,352,47,-,-,2,3
平成23,2011,食品,Food,25,6443,1415,3554,250,270,197,386,371
平成23,2011,ゴム,Rubber,7,125,120,-,-,-,-,-,5
平成23,2011,皮革,Leather,47,1611,100,1222,239,36,6,8,-
平成23,2011,製紙,Paper manufacturing,2,150,37,32,-,8,8,60,5
平成23,2011,繊維,Textiles,2,30,10,15,5,-,-,-,-
平成23,2011,染色,Dyeing,9,665,5,273,185,172,-,30,-
平成23,2011,窯業,Ceramics,16,1386,257,52,228,849,-,-,-
平成23,2011,印刷,Printing,8,2091,717,89,378,30,20,420,437
平成23,2011,ガス,Gas,-,-,-,-,-,-,-,-,-
平成23,2011,その他,Others,19,1602,496,425,-,564,10,6,101
,,,,,,,,,,,,
6-7  工業用水道の業種・用途別基本水量 (1) 工業用水　（平成21～23年度末） ,,,,,,,,,,,,
6-7  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE (1) INDUSTRIAL USE ( End of Fiscal Years 2009-2011 ),,,,,,,,,,,,
　　資料：都水道局総務部調査課「事業年報」　　  　　　   Source : Bureau of Waterworks T.M.G. ,,,,,,,,,,,,
（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,,
