年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total 1)／住宅数 Dwellings,総数 Total 1)／世帯数 Households,総数 Total 1)／世帯人員 Household members,総数 Total 1)／1住宅当たり居住室数 Dwelling rooms per dwelling,総数 Total 1)／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,総数 Total 1)／1住宅当たり延べ面積 Area of floor space per dwelling(m2),総数 Total 1)／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,総数 Total 1)／1室当たり人員 Persons per room,持ち家 Owned houses／住宅数 Dwellings,持ち家 Owned houses／世帯数 Households,持ち家 Owned houses／世帯人員 Household members,持ち家 Owned houses／1住宅当たり居住室数 Dwelling rooms per dwelling,持ち家 Owned houses／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,持ち家 Owned houses／1住宅当たり延べ面積 Area of floor space per dwelling(m2),持ち家 Owned houses／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,持ち家 Owned houses／1室当たり人員 Persons per room,借家 Rented houses／住宅数 Dwellings,借家 Rented houses／世帯数 Households,借家 Rented houses／世帯人員 Household members,借家 Rented houses／1住宅当たり居住室数 Dwelling rooms per dwelling,借家 Rented houses／1住宅当たり居住室の畳数 Tatami units of dwelling rooms per dwelling,借家 Rented houses／1住宅当たり延べ面積 Area of floor space per dwelling(m2),借家 Rented houses／1人当たり居住室の畳数 Tatami units of dwelling rooms per person,借家 Rented houses／1室当たり人員 Persons per room
平成10,1998,0,13000,,東京都,Tokyo-to,4941700,4994400,11580100,3.47,22.43,61.94,9.55,0.68,2051300,2086900,6116600,4.93,33.23,95.64,11.15,0.6,2743300,2759400,5150400,2.37,14.36,36.74,7.65,0.79
平成15,2003,0,13000,,東京都,Tokyo-to,5434100,5480000,12077900,3.49,23.47,64.48,10.47,0.64,2432900,2466300,6647500,4.71,32.84,93.34,12.02,0.58,2719100,2730700,4901700,2.4,15.09,38.66,8.37,0.75
平成20,2008,0,13000,,東京都,Tokyo-to,5939900,5980900,12664500,3.42,23.51,63.94,10.92,0.63,2650900,2682700,7006800,4.64,32.93,92.41,12.46,0.57,2909300,2918200,4958500,2.3,14.92,37.99,8.76,0.74
平成20,2008,1,13100,,区部,All ku,4177680,4199410,8600990,3.25,22.35,60.83,10.76,0.64,1768720,1785160,4533530,4.45,31.54,88.91,12.3,0.58,2092900,2097850,3484800,2.22,14.58,37.1,8.75,0.75
平成20,2008,2,13101,1,千代田区,Chiyoda-ku,22870,22890,44150,2.97,23.6,67.58,12,0.66,9100,9130,20600,3.85,31.83,94.72,14.06,0.59,11180,11180,19270,2.25,16.9,45.49,9.8,0.77
平成20,2008,2,13102,2,中央区,Chuo-ku,62900,62990,111390,2.64,20.09,54.18,11.37,0.67,24860,24940,51570,3.35,25.26,69.5,12.18,0.62,34900,34920,53980,2.13,16.4,43.27,10.61,0.73
平成20,2008,2,13103,3,港区,Minato-ku,120590,120850,208950,2.84,23.433,61.28,13.31,0.62,47200,47420,97100,3.66,30.21,80.69,14.68,0.56,61200,61210,93780,2.21,18.21,46.31,11.88,0.69
平成20,2008,2,13104,4,新宿区,Shinjuku-ku,177580,178410,309390,2.66,19.11,49.95,11.04,0.65,58220,58900,130330,4,30.07,80.58,13.43,0.56,99390,99540,142510,1.88,12.69,32,8.85,0.76
平成20,2008,2,13105,5,文京区,Bunkyo-ku,98520,99190,190630,3.12,22.58,63.33,11.54,0.63,45970,46580,108060,4.11,30.23,87.22,12.86,0.57,42100,42160,64280,2.04,14.23,37.25,9.32,0.75
平成20,2008,2,13106,6,台東区,Taito-ku,81840,82150,169790,3.31,23.24,67.86,11.12,0.63,41090,41340,100590,4.28,30.33,91.58,12.39,0.57,35110,35170,58620,2.18,14.94,40.1,8.95,0.77
