年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,農業，林業 Agriculture and forestry／事業所数 Number of establishments,農業，林業 Agriculture and forestry／従業者数 Number of employees 1),農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／男 Male,農業，林業 Agriculture and forestry／従業者数 Number of employees 1)／女 Female,漁業 Fisheries／事業所数 Number of establishments,漁業 Fisheries／従業者数 Number of employees 1),漁業 Fisheries／従業者数 Number of employees 1)／男 Male,漁業 Fisheries／従業者数 Number of employees 1)／女 Female,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,建設業 Construction／事業所数 Number of establishments,建設業 Construction／従業者数 Number of employees 1),建設業 Construction／従業者数 Number of employees 1)／男 Male,建設業 Construction／従業者数 Number of employees 1)／女 Female,製造業 Manufacturing／事業所数 Number of establishments,製造業 Manufacturing／従業者数 Number of employees 1),製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,情報通信業 Information and communications／事業所数 Number of establishments,情報通信業 Information and communications／従業者数 Number of employees 1) ,情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,運輸業，郵便業 Transport and postal activities／事業所数 Number of establishments,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1),運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,運輸業，郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,金融業，保険業 Finance and insurance／事業所数 Number of establishments,金融業，保険業 Finance and insurance／従業者数 Number of employees 1),金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,教育，学習支援業 Education，learning support／事業所数 Number of establishments,教育，学習支援業 Education，learning support／従業者数 Number of employees 1),教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,複合サービス事業 Compound services／事業所数 Number of establishments,複合サービス事業 Compound services／従業者数 Number of employees 1),複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,サービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male,サービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成21,2009,0,13000,,東京都,Tokyo-to,694212,9520835,5791957,3702902,477,3851,2812,1039,21,152,130,22,77,2284,1883,401,47235,500812,420101,80711,59852,921524,672771,247595,555,36265,30655,5610,25691,852563,630997,206383,19529,509303,422517,86786,168237,1918806,1102472,811182,11295,408431,223134,185297,61712,349477,219726,129704,46427,446180,303291,142817,97664,897866,437096,457801,49781,368411,178910,188478,20192,451720,228984,222736,41357,657165,190209,466956,1994,22650,12619,10031,40016,924454,521177,402905,2100,248921,192473,56448
平成21,2009,1,13100,,区部,All ku,553684,7902039,4904794,2972953,226,1990,1416,…,15,91,78,…,56,2087,1704,…,33148,408092,345044,…,51241,731225,529729,…,399,31165,26168,…,23051,804389,597085,…,16931,426053,353407,…,134773,1608469,951806,…,9383,371689,208407,…,49474,301662,191259,…,39960,396768,269485,…,78312,722723,361353,…,37462,288799,143495,…,13609,322209,163328,…,30073,444246,134104,…,1392,15230,8558,…,32844,818512,457631,…,1335,206640,160737,…
平成21,2009,3,13101,1,千代田区,Chiyoda-ku,35566,985865,635800,342750,11,93,66,…,-,-,-,…,8,780,669,…,940,26661,23295,…,1780,76498,57710,…,43,5926,5475,…,3590,129351,92845,…,565,28471,23711,…,8159,146625,98158,…,1280,123676,75992,…,2605,28670,19426,…,5821,71579,49004,…,4331,63209,33388,…,1101,15645,7937,…,565,29444,15277,…,1032,21178,7674,…,75,1744,1252,…,3425,138234,61780,…,235,78081,62141,…
平成21,2009,3,13102,2,中央区,Chuo-ku,41454,746439,488805,257119,12,109,71,…,10,52,48,…,10,108,94,…,1096,30218,26114,…,1953,58896,44132,…,34,2408,2230,…,2742,87722,67227,…,898,23654,19240,…,11828,204173,134432,…,1398,59711,37344,…,2922,32807,22745,…,5063,44698,29657,…,6439,64603,30935,…,1469,22116,11602,…,433,5347,2524,…,1261,15717,5520,…,85,954,607,…,3758,89269,51157,…,43,3877,3126,…
平成21,2009,3,13103,3,港区,Minato-ku,42664,1028331,664953,353011,16,90,71,…,3,34,25,…,16,952,757,…,1126,54350,47152,…,1664,102466,78489,…,58,4834,3996,…,3883,183639,136260,…,1102,37900,30605,…,8478,198702,114737,…,1025,41547,23525,…,3429,39877,26723,…,5848,75688,50478,…,7054,89690,47780,…,2383,31159,15434,…,651,17753,8493,…,1604,22604,8506,…,81,1305,881,…,4174,117936,64939,…,69,7805,6102,…
平成21,2009,3,13104,4,新宿区,Shinjuku-ku,35154,676639,412674,263257,8,35,24,…,-,-,-,…,3,7,5,…,1332,31386,26790,…,1793,42161,31498,…,30,3943,3129,…,2429,71920,52071,…,338,10563,9018,…,6474,104177,58914,…,761,30698,15836,…,3867,35172,22952,…,3857,42418,29320,…,6904,79813,43460,…,2183,24056,12727,…,924,39511,21299,…,1567,28428,9474,…,78,777,416,…,2534,102813,53464,…,72,28761,22277,…
平成21,2009,3,13105,5,文京区,Bunkyo-ku,15960,231804,141204,90600,1,1,1,…,-,-,-,…,2,5,3,…,644,9799,8491,…,1603,23634,17497,…,7,253,240,…,1084,24624,17871,…,187,4522,3500,…,3693,38814,24898,…,195,5619,2751,…,1854,6625,3701,…,1465,10661,6924,…,1858,20387,10016,…,777,7813,3607,…,513,30022,16771,…,816,18366,6125,…,37,341,181,…,1185,26225,15643,…,39,4093,2984,…
平成21,2009,3,13106,6,台東区,Taito-ku,26484,259845,165461,94255,5,30,21,…,-,-,-,…,3,44,35,…,1129,12031,10161,…,3584,29665,20278,…,10,526,422,…,739,17071,13190,…,286,8679,7587,…,9165,82700,51644,…,332,6017,3037,…,2117,10164,6311,…,1281,11975,8700,…,3881,31257,15716,…,1293,10842,5798,…,306,5544,2725,…,849,8853,3112,…,54,473,286,…,1408,20519,13754,…,42,3455,2684,…
平成21,2009,3,13107,7,墨田区,Sumida-ku,18084,178134,111675,66365,2,6,4,…,-,-,-,…,-,-,-,…,1132,9473,7993,…,4306,32348,22385,…,7,86,80,…,225,5841,4654,…,388,10390,9240,…,4944,41328,25401,…,191,7794,4024,…,1293,6954,4477,…,573,6450,4952,…,2087,15893,7281,…,1045,8608,4668,…,261,4221,2126,…,732,11365,3266,…,43,355,177,…,825,13625,8431,…,30,3397,2516,…
平成21,2009,3,13108,8,江東区,Koto-ku,20294,345754,235393,108614,10,80,68,…,1,4,4,…,1,14,12,…,1495,20379,17445,…,2876,38871,28628,…,23,1171,949,…,478,53949,42595,…,1325,46900,39658,…,5243,67278,42249,…,251,7453,3785,…,1241,8873,5806,…,670,8268,6063,…,2564,21133,9852,…,1285,10707,5071,…,402,8046,3993,…,1156,15904,4435,…,54,520,295,…,1163,30085,19584,…,56,6119,4901,…
平成21,2009,3,13109,9,品川区,Shinagawa-ku,22584,370716,251009,119542,7,34,25,…,-,-,-,…,4,58,48,…,1373,21517,18584,…,2199,39341,30170,…,20,1530,1065,…,975,68307,54625,…,729,25327,21083,…,5110,80107,51541,…,344,7056,3859,…,2725,13794,8386,…,1167,14915,10402,…,3272,26696,13010,…,1481,10795,4732,…,532,9806,5154,…,1253,15959,4882,…,53,498,280,…,1287,30955,20068,…,53,4021,3095,…
平成21,2009,3,13110,10,目黒区,Meguro-ku,12707,140980,80324,60631,7,99,91,…,-,-,-,…,-,-,-,…,596,5037,4086,…,738,12449,7702,…,5,201,158,…,454,9535,7005,…,120,4433,3893,…,3289,29393,15976,…,170,3021,1528,…,1455,6220,3776,…,811,7181,4906,…,1837,14166,7443,…,1156,8178,3935,…,459,12947,7460,…,978,13200,4034,…,27,254,128,…,575,11702,6051,…,30,2964,2152,…
