年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成19,2007,,,626966,614005,14048038,13960788,3094696,2636,3116,1091010,1120816,1542,540,12983,21778
平成20,2008,,,572029,570892,13221477,13068229,2998500,2072,2383,999449,1059184,1863,778,12362,22355
平成21,2009,,,609157,631503,12260355,12157747,3221705,2321,889,829444,981004,2478,1054,11286,23501
平成22,2010,,,800961,851423,13087638,13026418,3013562,2358,1451,1001742,1123988,2280,675,10769,24600
平成23,2011,,,847642,877120,10535609,10481180,2635887,3021,3248,860038,1038847,2270,582,10341,27001
平成23,2011,1,Jan.,67913,75413,911123,938958,256250,275,203,67943,78715,168,54,877,2304
平成23,2011,2,Feb.,62851,69268,952646,885075,195274,315,194,65786,74822,161,98,779,1816
平成23,2011,3,Mar.,64919,66599,912174,776462,182253,208,368,72815,88304,164,55,786,2071
平成23,2011,4,Apr.,49715,53398,597142,617124,175921,246,257,78610,94295,195,43,804,2111
平成23,2011,5,May,60541,59612,638714,754023,244597,243,184,71783,80186,204,39,795,2038
平成23,2011,6,June,63297,63997,737149,747424,268478,192,165,77479,83441,182,42,806,2046
平成23,2011,7,July,71550,70733,923696,884317,273737,303,242,72485,89395,188,21,822,2124
平成23,2011,8,Aug.,79450,89730,1081308,1073232,238790,271,277,64577,83362,153,64,796,2037
平成23,2011,9,Sept.,73431,75188,995912,1040171,179520,257,312,69979,88186,173,40,809,2160
平成23,2011,10,Oct.,79642,81174,944437,967085,202225,243,330,72196,92037,203,20,876,2445
平成23,2011,11,Nov.,80449,83704,900480,901508,187184,226,327,72097,93564,179,39,909,2520
平成23,2011,12,Dec.,93884,88304,940828,895801,231658,242,389,74288,92540,300,67,1282,3329
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成19～23年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2007-2011 ),,,,,,,,,,,,,,,,
資料：国土交通省航空局空港ネットワーク部空港ネットワーク企画課 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
