年次,Year,月次 ,Month,立会日数 Trading days,上場会社数 (年・月末) Number of listed companies (End of y.& m.),時価総額 (年・月末）(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数 (千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証第二部株価指数平均 TSE Second section stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成19,2007,総数,Total,245,467,5428792,61821,108.3,3915.96,307.94,1.51
平成20,2008,総数,Total,245,462,3237779,48061,84.19,2597.43,212.42,2.31
平成21,2009,総数,Total,243,452,3583698,41985,76.37,2049.7,169.68,2.74
平成22,2010,総数,Total,245,431,3447326,29857,57.36,2129.54,170.08,2.32
平成23,2011,総数,Total,245,431,3240483,40206,79.71,2215.57,166.84,2.29
平成23,2011,1,Jan.,19,431,3581632,38004,5.77,2274.71,175.08,2.14
平成23,2011,2,Feb.,19,429,3704881,45550,6.94,2374.02,183.12,2.05
平成23,2011,3,Mar.,22,430,3491992,61867,11.17,2288.87,178.07,2.13
平成23,2011,4,Apr.,20,429,3450632,51509,8.63,2268.93,174.76,2.15
平成23,2011,5,May,19,430,3410738,36970,5.8,2257.18,172.59,2.22
平成23,2011,6,June,22,428,3474208,40190,7.21,2271.56,171.1,2.25
平成23,2011,7,July,20,429,3409917,65280,10.67,2326.77,170.45,2.24
平成23,2011,8,Aug.,23,431,3283244,35924,6.58,2164.25,159.25,2.4
平成23,2011,9,Sept.,20,429,3243707,28173,4.38,2134.91,157.74,2.43
平成23,2011,10,Oct.,20,431,3264896,20770,3.31,2091.43,154.5,2.47
平成23,2011,11,Nov.,20,431,3151187,21647,3.54,2047.24,151.18,2.52
平成23,2011,12,Dec.,21,431,3240483,35300,6.07,2100.48,155.93,2.45
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (2) 第二部  (平成19～23年) 15-6  TRANSACTIONS OF STOCK (2) THE 2nd SECTION ( 2007-2011 ),,,,,,,,,,,
この表については， 数値の単位未満を切り捨てているため （ただし， 平均値は， 四捨五入），合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
