年度末,End of fiscal year,都電 Toei Streetcar／営業キロ Length of line(km),都電 Toei Streetcar／運転系統 Operation routes／系統数 Number of routes,都電 Toei Streetcar／運転系統 Operation routes／総延長 Total length(km),都電 Toei Streetcar／停留場数 Number of stops,都電 Toei Streetcar／在籍車両数 Vehicles owned(両 vehicles),都電 Toei Streetcar／平均定員 Average passenger capacity(人 passengers),都バス Toei Bus／営業キロ Length of line(km),都バス Toei Bus／運転系統 Operation routes／系統数 Number of routes,都バス Toei Bus／運転系統 Operation routes／総延長 Total length(km),都バス Toei Bus／停留所数 Stops,都バス Toei Bus／在籍車両数 Vehicles owned(両 vehicles),都バス Toei Bus／平均定員 Average passenger capacity(人 passengers)
平成19,2007,12.2,1,12.2,30,39,96,783.7,138,1122.3,3894,1471,70
平成20,2008,12.2,1,12.2,30,42,96,786.3,139,1164.2,3891,1461,69.9
平成21,2009,12.2,1,12.2,30,42,96,785.8,139,1185.4,3894,1464,69.9
平成22,2010,12.2,1,12.2,30,41,96,781.5,139,1185.4,3894,1462,70.2
平成23,2011,12.2,1,12.2,30,37,96,780.6,139,1184.9,3914,1462,70.6
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (1)  営業設備 (平成19～23年度末) ａ　都電 ｂ　都バス 4-9  OPERATIONS OF TOEI TRANSPORTATION (1)  OPERATION FACILITIES ( End of Fiscal Years 2007-2011 ) ａ　Toei Streetcar ｂ　Toei Bus,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,
