年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成19,2007,,,24997,31664,42832,38575,10,136,31,49,-,-,-,-,-,-,119117,112253,806,1800,743,92,13695,10840,5,27,-,-,9058,6897,1,1,-,-
平成20,2008,,,25374,32325,30681,27053,12,41,16,43,6225,2638,0,0,-,-,103208,96837,1061,946,376,80,13631,10863,6,28,-,-,9550,7215,2,1,-,-
平成21,2009,,,25136,31804,22167,16931,4,33,2,32,5323,1434,0,0,-,-,94365,87977,1244,702,18,43,13517,10930,4,29,-,-,8901,6888,1,0,-,-
平成22,2010,,,28031,35471,16061,14804,4,27,5,34,4620,849,0,0,-,-,96472,89678,859,466,16,45,14938,11833,4,28,-,-,9695,7719,1,1,-,-
平成23,2011,,,26550,33646,15481,13407,5,23,5,37,4559,1026,0,0,-,-,91404,85458,862,424,16,48,13424,10763,3,26,-,-,9548,7461,1,0,-,-
平成23,2011,1,Jan.,2328,3226,1409,1063,583,1899,452,3727,56,11,0,10,-,-,7518,6390,50125,35356,1458,4393,1250,932,193,2217,-,-,950,666,50,13,-,-
平成23,2011,2,Feb.,1753,2375,982,943,423,1920,363,2754,459,100,1,5,-,-,6251,6055,52251,37175,1273,3690,963,793,314,1944,-,-,724,478,102,38,-,-
平成23,2011,3,Mar.,1886,2636,1196,899,630,2381,437,3089,206,27,0,0,-,-,6392,6002,87180,31381,1315,3872,1146,824,194,2110,-,-,742,507,95,79,-,-
平成23,2011,4,Apr.,1949,2284,1085,933,306,1732,491,3934,241,35,0,0,-,-,5231,5030,74276,34953,1456,4648,840,757,244,2237,-,-,627,558,58,43,-,-
平成23,2011,5,May,1956,2544,1275,1008,303,1863,407,3109,346,87,0,0,-,-,6627,6097,70899,38525,1077,3622,957,770,303,1970,-,-,731,550,99,7,-,-
平成23,2011,6,June,1543,2029,862,717,298,1886,379,2662,175,13,0,2,-,-,4951,4639,73839,28732,1012,3476,871,673,242,2200,-,-,574,428,41,13,-,-
平成23,2011,7,July,2470,2866,1468,1374,331,1969,494,2936,506,152,0,38,-,-,8248,8256,60857,30057,1217,4138,1167,956,282,2219,-,-,724,700,34,13,-,-
平成23,2011,8,Aug.,3637,4321,2244,2140,282,1793,391,3130,555,163,0,0,-,-,15045,13151,90160,37780,1269,4325,1567,1301,218,2304,-,-,1223,1012,107,34,-,-
平成23,2011,9,Sept.,2525,3124,1493,1299,281,1752,444,2780,783,197,0,2,-,-,8079,7461,57728,38381,1311,4309,1273,1052,335,2113,-,-,831,645,102,33,-,-
平成23,2011,10,Oct.,2065,2754,1107,945,468,1957,443,3026,548,108,26,14,-,-,7985,7595,56741,29459,1238,3968,1206,888,293,2161,-,-,798,603,131,44,-,-
平成23,2011,11,Nov.,2002,2580,1062,919,316,1785,388,3223,548,104,0,1,-,-,7782,7251,69753,32392,1254,3839,1016,819,258,2229,-,-,833,617,31,18,-,-
平成23,2011,12,Dec.,2436,2907,1298,1167,330,2166,527,2747,136,29,0,1,-,-,7295,7531,117810,49482,1870,4218,1168,998,417,2682,-,-,791,697,60,74,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成19～23年） 4-23 TRANSPORTATION BY AIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight／mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
