種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11027643,89017014,5468940,27425895,3632970,925293,1039,9606,3764,2445,6326,7785,251791,538940,178743
一般財産 ,General assets,2,行政財産,Administrative assets,,9069227,80669257,4999757,26302600,3228398,819500,944,9169,3764,1741,5954,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,1958416,8347757,469184,1123295,404572,105794,95,437,-,704,373,7785,251791,538940,178743
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2540129,13533484,1572322,1996932,329982,474618,1,92,-,91,250,131,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1452269,6191844,703602,1976800,329175,419148,1,92,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,1087860,7341640,868720,20132,807,55469,-,-,-,91,-,131,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),12680421,237577014,927835,2872100,1051371,10666179,1704,125,-,-,4790,-,27340,1078,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成23年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2011 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
