年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成19,2007,0,13000,東京都,Tokyo-to,1673,1000,673,164807,98243,66564,162672,95143,67529
平成20,2008,0,13000,東京都,Tokyo-to,1689,995,694,166552,97654,68898,164664,94614,70050
平成21,2009,0,13000,東京都,Tokyo-to,1705,982,723,169184,97144,72040,167938,94459,73479
平成22,2010,0,13000,東京都,Tokyo-to,1740,977,763,173532,97251,76281,172797,95213,77584
平成23,2011,0,13000,東京都,Tokyo-to,1800,961,839,181384,96736,84648,178955,94246,84709
平成23,2011,1,13100,区部,All ku,1170,750,420,117166,76459,40707,114219,74598,39621
平成23,2011,2,13101,千代田区,Chiyoda-ku,7,6,1,535,465,70,546,490,56
平成23,2011,2,13102,中央区,Chuo-ku,20,14,6,1974,1537,437,1811,1439,372
平成23,2011,2,13103,港区,Minato-ku,21,16,5,2130,1845,285,2111,1825,286
平成23,2011,2,13104,新宿区,Shinjuku-ku,37,24,13,3720,2368,1352,3514,2242,1272
平成23,2011,2,13105,文京区,Bunkyo-ku,28,20,8,2310,1817,493,2293,1820,473
平成23,2011,2,13106,台東区,Taito-ku,22,13,9,1952,1206,746,1845,1133,712
平成23,2011,2,13107,墨田区,Sumida-ku,42,27,15,4174,2745,1429,4039,2600,1439
平成23,2011,2,13108,江東区,Koto-ku,75,43,32,7375,4358,3017,7124,4204,2920
平成23,2011,2,13109,品川区,Shinagawa-ku,54,41,13,5140,4043,1097,5318,4332,986
平成23,2011,2,13110,目黒区,Meguro-ku,29,22,7,2803,2155,648,2748,2165,583
平成23,2011,2,13111,大田区,Ota-ku,84,55,29,9045,6607,2438,8709,6442,2267
平成23,2011,2,13112,世田谷区,Setagaya-ku,84,49,35,8614,4659,3955,8763,4816,3947
平成23,2011,2,13113,渋谷区,Shibuya-ku,29,22,7,2303,1743,560,2196,1678,518
平成23,2011,2,13114,中野区,Nakano-ku,36,23,13,3421,2161,1260,3328,2091,1237
平成23,2011,2,13115,杉並区,Suginami-ku,55,44,11,5334,4017,1317,5390,4062,1328
平成23,2011,2,13116,豊島区,Toshima-ku,33,24,9,3210,2399,811,3128,2317,811
平成23,2011,2,13117,北区,Kita-ku,55,39,16,5408,3940,1468,4785,3499,1286
平成23,2011,2,13118,荒川区,Arakawa-ku,28,21,7,3331,2395,936,3433,2470,963
平成23,2011,2,13119,板橋区,Itabashi-ku,94,44,50,8453,4042,4411,8434,3953,4481
平成23,2011,2,13120,練馬区,Nerima-ku,86,60,26,8522,6281,2241,8536,6296,2240
平成23,2011,2,13121,足立区,Adachi-ku,91,55,36,9046,5635,3411,8867,5479,3388
平成23,2011,2,13122,葛飾区,Katsushika-ku,76,44,32,8275,4906,3369,7759,4478,3281
平成23,2011,2,13123,江戸川区,Edogawa-ku,84,44,40,10091,5135,4956,9542,4767,4775
平成23,2011,1,13200,市部,All shi,600,195,405,61821,19050,42771,62775,18827,43948
平成23,2011,2,13201,八王子市,Hachioji-shi,84,16,68,9282,1430,7852,9501,1409,8092
平成23,2011,2,13202,立川市,Tachikawa-shi,28,10,18,3122,1065,2057,3113,927,2186
