年次,Year,月次 ,Month,総数 Total,売買立会による取引 Ordinary Trades／計 Total,売買立会による取引 Ordinary Trades／普通取引 Regular way,売買立会による取引 Ordinary Trades／発行日取引 When-issued,売買立会による取引 Ordinary Trades／立会外分売 1) Off-floor sell,過誤訂正立会外取引　Special Trades
平成19,2007,総数,Total,545835876,513429116,513429116,-,-,32406760
平成20,2008,総数,Total,541576224,507826335,507825303,-,1031,33749889
平成21,2009,総数,Total,552098670,515680823,515678559,-,2263,36417846
平成22,2010,総数,Total,511695772,471255647,471253968,-,1679,40440124
平成23,2011,総数,Total,524646368,478157135,478155990,-,1144,46489233
平成23,2011,1,Jan.,43615542,39740474,39740474,-,-,3875067
平成23,2011,2,Feb.,47393270,43304212,43304212,-,-,4089058
平成23,2011,3,Mar.,73318715,68618106,68617356,-,750,4700609
平成23,2011,4,Apr.,45322061,41914950,41914950,-,-,3407111
平成23,2011,5,May,38152187,35031098,35031098,-,-,3121088
平成23,2011,6,June,43599387,39937103,39936913,-,190,3662283
平成23,2011,7,July,38064256,34292369,34292369,-,-,3771886
平成23,2011,8,Aug.,50825686,46173444,46173444,-,-,4652241
平成23,2011,9,Sept.,40125808,35925009,35925009,-,-,4200798
平成23,2011,10,Oct.,36115661,32222945,32222945,-,-,3892716
平成23,2011,11,Nov.,34576359,31019945,31019945,-,-,3556413
平成23,2011,12,Dec.,33537432,29977475,29977271,-,204,3559956
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (1) 第一部 (平成19～23) 15-7  SALES VOLUME BY TYPE OF TRADING (1) THE 1st SECTION ( 2007-2011 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
注1) 平成19年までは過誤訂正立会外取引に含む。,,,,,,,,,
"Note1: Included in ""Special Trades"" until 2007.",,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」・統計資料 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
