年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成19,2007,0,13000,総数,Tokyo-to,11,55,27,25651788,2305221,23346567,129120,353874,15267,10574
平成20,2008,0,13000,総数,Tokyo-to,11,55,23,25823465,2316251,23507214,129690,357856,15328,10617
平成21,2009,0,13000,総数,Tokyo-to,11,56,34,25968717,2333307,23635410,130203,361839,15431,10669
平成22,2010,0,13000,総数,Tokyo-to,11,57,34,26218946,2350992,23867954,131110,366702,15677,10705
平成23,2011,0,13000,総数,Tokyo-to,11,58,33,26347934.6,2365186.1,23982748.5,131510,370716,15699,10723
平成23,2011,1,13100,区部,All ku,5,23,21,16249866,1670904,14578962,89576,237807,9317,7532
平成23,2011,2,13101,千代田区,Chiyoda-ku,-,-,1,288221,46107,242114,1551,3993,310,207
平成23,2011,2,13102,中央区,Chuo-ku,-,1,-,313444,38555,274889,1827,5620,328,385
平成23,2011,2,13103,港区,Minato-ku,-,1,1,429458,66367,363091,2572,6233,388,329
平成23,2011,2,13104,新宿区,Shinjuku-ku,-,1,1,548073,65670,482403,3675,7734,330,272
平成23,2011,2,13105,文京区,Bunkyo-ku,-,1,1,313315,40686,272629,1928,4652,257,206
平成23,2011,2,13106,台東区,Taito-ku,-,-,-,410006,34020,375986,2396,6978,236,214
平成23,2011,2,13107,墨田区,Sumida-ku,-,-,1,497609,56245,441364,2839,7759,374,316
平成23,2011,2,13108,江東区,Koto-ku,-,4,1,734641,104587,630054,3734,9728,677,548
平成23,2011,2,13109,品川区,Shinagawa-ku,-,-,1,571349,58342,513007,2845,8054,326,347
平成23,2011,2,13110,目黒区,Meguro-ku,-,1,1,446412,38124,408288,2430,7220,186,222
平成23,2011,2,13111,大田区,Ota-ku,-,2,1,1158301,115434,1042867,6166,17858,679,674
平成23,2011,2,13112,世田谷区,Setagaya-ku,2,3,1,1609937,166223,1443714,9026,22912,816,701
平成23,2011,2,13113,渋谷区,Shibuya-ku,-,-,1,393389,37714,355675,2285,6444,208,144
平成23,2011,2,13114,中野区,Nakano-ku,-,-,1,541161,45351,495810,2774,8136,291,185
平成23,2011,2,13115,杉並区,Suginami-ku,1,1,1,1057472,109197,948275,5451,14069,571,361
平成23,2011,2,13116,豊島区,Toshima-ku,-,-,1,467541,45542,421999,2487,7369,243,242
平成23,2011,2,13117,北区,Kita-ku,-,-,1,546895,52263,494632,2957,7862,306,239
平成23,2011,2,13118,荒川区,Arakawa-ku,-,1,1,324401,29254,295147,2062,5581,199,105
平成23,2011,2,13119,板橋区,Itabashi-ku,1,2,1,840156,96457,743699,4906,11889,456,317
平成23,2011,2,13120,練馬区,Nerima-ku,-,1,1,1264642,104369,1160273,7175,17440,471,350
平成23,2011,2,13121,足立区,Adachi-ku,-,1,1,1379228,123040,1256188,7236,19467,587,409
平成23,2011,2,13122,葛飾区,Katsushika-ku,1,1,1,909579,100807,808772,4730,12895,538,333
平成23,2011,2,13123,江戸川区,Edogawa-ku,-,2,1,1204636,96550,1108086,6524,17914,540,426
平成23,2011,1,,市郡部,shi and gun,3,35,12,10087345,683578,9403767,41934,132892,6353,3171
平成23,2011,2,13201,八王子市,Hachioji-shi,-,14,1,1576928,87725,1489203,6026,21252,972,344
平成23,2011,2,13202,立川市,Tachikawa-shi,-,-,1,392343,29791,362552,2025,5154,166,93
平成23,2011,2,13204,三鷹市,Mitaka-shi,-,-,-,343699,11861,331838,1643,5061,46,28
平成23,2011,2,13205,青梅市,Ome-shi,-,3,1,574660,27349,547311,3560,6836,551,163
平成23,2011,2,13206,府中市,Fuchu-shi,-,-,1,586174,46109,540065,3014,8211,195,179
平成23,2011,2,13208,調布市,Chofu-shi,-,1,1,402928,10419,392509,1893,6752,92,27
平成23,2011,2,13209,町田市,Machida-shi,-,1,1,1260819,136372,1124447,3857,15166,859,469
平成23,2011,2,13210,小金井市,Koganei-shi,-,-,-,227779,15409,212370,1143,2993,94,96
平成23,2011,2,13211,小平市,Kodaira-shi,-,-,1,399220,24599,374621,1466,4610,159,65
平成23,2011,2,13212,日野市,Hino-shi,-,2,1,506265,30468,475797,1888,7370,335,153
平成23,2011,2,13213,東村山市,Higashimurayama-shi,1,2,-,292104,19955,272149,979,3754,129,107
平成23,2011,2,13214,国分寺市,Kokubunji-shi,-,-,-,254960,15043,239917,1239,3040,95,78
平成23,2011,2,13215,国立市,Kunitachi-shi,-,-,-,172034,9005,163029,912,2142,84,83
平成23,2011,2,13218,福生市,Fussa-shi,-,-,-,156289,7058,149231,616,2138,89,34
平成23,2011,2,13219,狛江市,Komae-shi,-,-,-,151545,10831,140714,686,2438,61,67
平成23,2011,2,13220,東大和市,Higashiyamato-shi,-,1,-,243118,16662,226456,826,3423,129,115
平成23,2011,2,13221,清瀬市,Kiyose-shi,-,-,-,163597,11977,151620,512,1762,106,86
平成23,2011,2,13222,東久留米市,Higashikurume-shi,-,-,1,255284,16821,238463,1061,3314,155,114
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,-,-,1,214976,16864,198112,629,2562,127,59
平成23,2011,2,13224,多摩市,Tama-shi,-,3,1,215007,5454,209553,931,3058,90,94
平成23,2011,2,13225,稲城市,Inagi-shi,-,2,ｰ,165279,2075,163204,828,2348,100,42
平成23,2011,2,13228,あきる野市,Akiruno-shi,-,3,1,370856,19387,351469,1342,5006,443,189
