地域階層,地域コード,地域,District,一般世帯Private households／総数Total,一般世帯Private households／世帯人員別世帯数Households by number of household members／1人1person,一般世帯Private households／世帯人員別世帯数Households by number of household members／2人2persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／3人3persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／4人4persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／5人以上5persons and over,一般世帯Private households／世帯人員別世帯数Households by number of household members／1世帯当たり人員Members per household,一般世帯Private households／総数Total,一般世帯Private households／親族のみの世帯Relative households／総数Total,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／計Total,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／夫婦のみの世帯Married couple only,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／夫婦と子供から成る世帯Married couple and child(ren),一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／男親と子供から成る世帯Single-father family,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／女親と子供から成る世帯Single-mother family ,一般世帯Private households／親族のみの世帯Relative households／2その他の親族世帯Other relative households,一般世帯Private households／非親族を含む世帯Non-Relative households,一般世帯Private households／単独世帯One-person households
2,13113,渋谷区,Shibuya-ku,123365,77105,25366,11733,7227,1934,1.64,123365,43277,39566,16576,16675,893,5422,3711,2801,77105
2,13114,中野区,Nakano-ku ,184123,110807,38446,18912,12477,3481,1.7,184123,69865,63753,25820,27801,1441,8691,6112,3442,110807
2,13115,杉並区,Suginami-ku,302609,170950,62897,36413,25679,6670,1.8,302609,111668,102877,38710,49509,1852,12806,8791,2800,170950
2,13116,豊島区,Toshima-ku,165979,101067,32589,17562,11294,3467,1.7,165979,61593,55718,21165,24922,1435,8196,5875,3303,101067
2,13117,北区,Kita-ku,172458,85246,42519,23580,15812,5301,1.93,172458,84344,76102,27899,34208,2140,11855,8242,2846,85246
2,13118,荒川区,Arakawa-ku,95813,40883,24696,15104,11238,3892,2.1,95813,52541,47015,16030,22584,1332,7069,5526,1877,40883
2,13119,板橋区,Itabashi-ku,272420,136573,62728,37721,26892,8506,1.94,272420,132703,121665,42769,58030,3213,17653,11038,2920,136573
2,13120,練馬区,Nerima-ku,335952,142811,84806,53587,42038,12710,2.11,335952,189525,176059,61195,88960,3662,22242,13466,3616,142811
2,13121,足立区,Adachi-ku,314360,128558,81550,51610,38043,14599,2.15,314360,182712,166624,54866,80586,5066,26106,16088,3081,128558
2,13122,葛飾区,Katsushika-ku,197072,74466,52996,34540,26000,9070,2.21,197072,120705,109293,35815,53931,3232,16315,11412,1889,74466
2,13123,江戸川区,Edogawa-ku,303836,122384,71712,51978,41940,15822,2.22,303836,178214,161293,49495,85866,4299,21633,16921,3214,122384
1,13200,市部,All shi,1815637,688220,473789,317224,250403,86001,2.23,1815637,1109069,1022101,344338,530705,22628,124430,86968,17676,688220
2,13201,八王子市,Hachioji-shi,249512,94657,62248,43780,35098,13729,2.26,249512,152745,138686,45379,73062,3311,16934,14059,2051,94657
2,13202,立川市,Tachikawa-shi,80805,31096,22063,13974,10176,3496,2.18,80805,48770,44942,16443,22320,935,5244,3828,838,31096
2,13203,武蔵野市,Musashino-shi,71163,35631,16716,9858,7114,1844,1.92,71163,34861,32448,12100,15896,588,3864,2413,659,35631
2,13204,三鷹市,Mitaka-shi,89814,41273,21683,13469,10415,2974,2.03,89814,47515,44259,15821,22412,851,5175,3256,1026,41273
2,13205,青梅市,Ome-shi,52352,14333,14689,10480,8627,4223,2.53,52352,37581,33386,10740,17683,886,4077,4195,437,14333
2,13206,府中市,Fuchu-shi,114968,47656,27567,19228,15477,5040,2.16,114968,66140,61307,19789,32726,1288,7504,4833,1163,47656
2,13207,昭島市,Akishima-shi,47167,15449,13051,8944,7143,2580,2.34,47167,31198,28494,9156,14741,722,3875,2704,496,15449
2,13208,調布市,Chofu-shi,107798,48451,26543,16859,12417,3528,2.04,107798,58143,53894,19001,27141,1086,6666,4249,1057,48451
2,13209,町田市,Machida-shi,179923,59601,48980,34185,27831,9326,2.34,179923,119265,110543,36876,58508,2177,12982,8722,1050,59601
2,13210,小金井市,Koganei-shi,57613,26737,13577,8690,6669,1940,2.03,57613,30173,28018,9741,14536,562,3179,2155,701,26737
2,13211,小平市,Kodaira-shi,81683,31509,20738,14180,11523,3733,2.22,81683,49479,45894,15119,24229,939,5607,3585,628,31509
2,13212,日野市,Hino-shi,80040,30602,21090,13686,11089,3573,2.21,80040,48709,45107,15535,23409,998,5165,3602,657,30602
2,13213,東村山市,Higashimurayama-shi,63902,20063,19082,11932,9485,3340,2.34,63902,41837,38623,12719,19867,931,5106,3214,1891,20063
2,13214,国分寺市,Kokubunji-shi,57687,25667,13747,9068,7107,2098,2.08,57687,31361,29134,10049,15261,530,3294,2227,653,25667
2,13215,国立市,Kunitachi-shi,35721,15732,8541,5671,4510,1267,2.09,35721,19749,18425,6194,9514,409,2308,1324,237,15732
2,13218,福生市,Fussa-shi,26951,10584,7203,4448,3450,1266,2.18,26951,15899,14545,4904,7029,379,2233,1354,467,10584
2,13219,狛江市,Komae-shi,39144,18346,9549,5776,4243,1230,2,39144,20558,19071,6977,9294,480,2320,1487,238,18346
2,13220,東大和市,Higashiyamato-shi,33614,9331,9993,6890,5302,2098,2.45,33614,23978,22069,7339,11494,547,2689,1909,285,9331
2,13221,清瀬市,Kiyose-shi,30897,10214,8816,5766,4506,1595,2.32,30897,20420,18776,6247,9406,470,2653,1644,255,10214
2,13222,東久留米市,Higashikurume-shi,49151,15513,14401,9277,7398,2562,2.35,49151,33287,30949,10607,15730,760,3852,2338,336,15513
2,13223,武蔵村山市,Musashimurayama-shi,26770,6499,7799,5654,4733,2085,2.58,26770,19940,18184,5454,9759,500,2471,1756,331,6499
2,13224,多摩市,Tama-shi,64030,21681,18411,12314,8961,2663,2.27,64030,41898,39380,13600,20117,955,4708,2518,450,21681
2,13225,稲城市,Inagi-shi,34823,11107,9001,6839,5973,1903,2.4,34823,23380,21892,6800,12503,419,2170,1488,336,11107
2,13227,羽村市,Hamura-shi,23421,7475,6156,4622,3707,1461,2.4,23421,15700,14396,4430,7759,356,1851,1304,244,7475
2,13228,あきる野市,Akiruno-shi,29337,6425,8549,6196,5326,2841,2.69,29337,22691,19881,6425,10720,555,2181,2810,220,6425
2,13229,西東京市,Nishitokyo-shi,87351,32588,23596,15438,12123,3606,2.22,87351,53792,49798,16893,25589,994,6322,3994,970,32588
1,13300,郡部,All gun,20909,4686,6253,4440,3472,2058,2.66,20909,16031,13760,4511,7037,397,1815,2271,192,4686
1,13350,島部,All islands,13639,6072,4346,1717,1012,492,1.95,13639,7438,6753,3328,2362,186,877,685,129,6072
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,
2-10 地域，世帯人員，世帯の種類別世帯数（平成22年）  2-10 HOUSEHOLDS BY DISTRICT， NUMBER OF HOUSEHOLD MEMBERS AND HOUSEHOLD TYPE ( 2010 ) ,,,,,,,,,,,,,,,,,,,,
注 1) 平成22年10月1日現在の 「国勢調査」 による。 一般世帯とは， 住居と生計を共にしている人の集まり， 1戸を構えて住んでいる単身者， 間借り・下宿などの単身者及び会社などの独身寮の単身者をいう。,,,,,,,,,,,,,,,,,,,,
2) 一般世帯／総数には世帯の家族類型「不詳」を含む。,,,,,,,,,,,,,,,,,,,,
Note: 1) Data are based on the Population Census as of October 1， 2010. A private household is defined as a group of persons sharing living quarters and living expenses， a single person occupying a dwelling unit， a single person residing in a boarding house or rented room， or a single person resｉding in a company dormitory for unmarried employees.,,,,,,,,,,,,,,,,,,,,
2) Private households／Total include those whose family type is unknown.,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「国勢調査報告」， 都総務局統計部人口統計課「東京の人口　東京都における国勢調査結果の推移とその解説」Source: Ministry of Internal Affairs and Communications; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,
