年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成21,2009,出国, Departure,総数,Total,4353673,2726222,628864,13962,727599,69060,187343,623
平成22,2010,出国, Departure,総数,Total,4992725,3283392,685978,17377,754892,56765,193728,593
平成23,2011,出国, Departure,総数,Total,3763993,2512198,461988,16502,580421,54523,137770,591
平成23,2011,出国, Departure,東京,Tokyo,54,22,4,-,26,2,-,-
平成23,2011,出国, Departure,羽田（空港）,Haneda(Airport),927652,751954,64418,1583,90387,3216,16017,77
平成23,2011,出国, Departure,成田（空港）,Narita(Airport),2836287,1760222,397566,14919,490008,51305,121753,514
平成21,2009,入国, Entry,総数,Total,4301419,2681243,636273,14031,735584,46314,187377,597
平成22,2010,入国, Entry,総数,Total,4947685,3227969,691093,17081,761137,54940,194969,496
平成23,2011,入国, Entry,総数,Total,3728570,2486288,462308,16257,580304,48644,134267,502
平成23,2011,入国, Entry,東京,Tokyo,314,300,3,-,5,-,4,2
平成23,2011,入国, Entry,羽田（空港）,Haneda(Airport),908349,738296,63487,1459,86194,2637,16190,86
平成23,2011,入国, Entry,成田（空港）,Narita(Airport),2819907,1747692,398818,14798,494105,46007,118073,414
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　国籍別出入国者数 (平成21～23年) 4-26 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY NATIONALITY ( 2009-2011 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
