年次及び種類,Year(Av.) and kind,区分,Classification,総平均 All commodities,繊維品 Textiles,化学製品 Chemicals & related products,金属・同製品 Metals & related products,はん用・生産用・業務用機器 General purpose，production & business oriented machinery,電気・電子機器 Electric & electronic products,輸送用機器 Transportation equipment,その他産品・製品 Other primary products & manufactured goods
品目数,Number of commodities,,,210,4,45,30,39,46,18,28
ウエイト,Weight,,,1000,12.5,95.4,118.2,192,232.9,240.6,108.4
平成19,2007,円ベース指数,Index on Yen basis,122,116,123.2,120.8,113.4,138.6,116.6,114.4
平成20,2008,円ベース指数,Index on Yen basis,114.6,109.8,117.8,125.5,107.8,121.2,108.2,114.6
平成21,2009,円ベース指数,Index on Yen basis,102.6,100.4,94.2,91.8,103.6,108.1,104.9,102.3
平成22,2010Av.,円ベース指数,Index on Yen basis,100,100,100,100,100,100,100,100
平成23,2011,円ベース指数,Index on Yen basis,97.8,103.9,106.4,104.4,96.8,89.7,97.8,101.9
平成19,2007,契約通貨ベース指数,Index on Contract currency basis,99.2,90.1,97.6,93.9,96.8,115.9,92.6,92.6
平成20,2008,契約通貨ベース指数,Index on Contract currency basis,101.2,94.6,103,108.7,97.5,109.1,93.7,101.6
平成21,2009,契約通貨ベース指数,Index on Contract currency basis,97.9,93.9,89.3,86.9,99.8,103.7,99.9,97.8
平成22,2010Av.,契約通貨ベース指数,Index on Contract currency basis,100,100,100,100,100,100,100,100
平成23,2011,契約通貨ベース指数,Index on Contract currency basis,103.2,112.1,114.2,112.5,99.8,94.3,102.6,108.2
,,,,,,,,,,,
東京都統計年鑑（平成23年） TOKYO STATISTICAL YEARBOOK ( 2011 )　13 物価・地価 13 PRICES,,,,,,,,,,,
13-2  企業物価指数 (2) 輸出物価指数（平成19～23年） 13-2 CORPORATE GOODS PRICE INDEX (2) EXPORT PRICE INDEX ( 2007 -2011 ）,,,,,,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,,,,,
注 1) 平成22年(2010年)基準から，従来の類別「一般機器」「精密機器」を類別「はん用・生産用・業務用機器」に組み替えている。,,,,,,,,,,,
"Note: 1) From the 2010 base period， the former categories of ""General machinery"" and ""precision machinery"" have been included in ""General purpose， production & business oriented machinery"".",,,,,,,,,,,
資料：日本銀行 「物価指数年報」 Source: The Bank of Japan,,,,,,,,,,,
（平成22年平均＝100） (2010 Average＝100),,,,,,,,,,,
