品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,17676833,,8139091,,9537742
食料品及び動物,Foodstuffs and animals,,,,,,,,,,1385344,,1283089,,102254
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,958,420375,958,420375,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,748,509673,708,463078,39,46595
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1562,224098,1514,194128,48,29969
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,409553,,365249,,44304
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,263,88398,263,88398,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,295786,,257802,,"37,984"
食料に適さない原材料,No beverage Raw material,,,,,,,,,,261771,,188667,,73104
鉱物性燃料,Mineral fuels,,,,,,,,,,10769,,9556,,1213
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,97,21467,96,20405,-,1062
化学製品,Chemical products,,,,,,,,,,2248621,,779003,,1469618
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,619015,,212259,,406756
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,469172,,117030,,352142
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,35,940377,27,81763,8,858614
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,896,249777,882,211649,14,38127
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1595695,,855973,,739722
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,1124,133946,1124,133946,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,,,,150959,,128929,,22030
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,200908,,85947,,114961
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,58,666337,54,145920,4,520417
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,229306,,175045,,54261
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,7600232,,2733784,,4866448
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,2718234,,1153874,,1564360
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,1571907,,705184,,866723
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,1mil.units,72,1238341,37,526179,35,712162
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,,,,4498845,,1439213,,3059632
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,202172,,119292,,82880
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio／visual apparatuses (including parts),,,,,,724739,,459916,,264823
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,,,,982293,,135690,,846603
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,,,,151442,,150032,,1410
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1282100,,220064,,1062036
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. units,1038,1110630,138,167455,900,943175
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,,,,306826,,57223,,249604
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,,,,383153,,140697,,242456
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,94,104146,85,73081,9,31065
雑製品,Miscellaneous manufactured goods,,,,,,,,,,3555544,,1833081,,1722463
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,,1，000t,,76,256817,69,120443,7,136374
雑製品,Miscellaneous manufactured goods,衣類及び同付属品,Clothing and accessories,,,,,,,,874705,,610081,,264624
雑製品,Miscellaneous manufactured goods,はき物,Footwear,,,,,1，000t,,124,224246,116,176213,8,48034
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,1073582,,210249,,863333
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,905639,,187366,,718272
雑製品,Miscellaneous manufactured goods,プラスチック製品,Plastics products,,,,,1，000t,,465,199158,458,169917,7,29240
雑製品,Miscellaneous manufactured goods,がん具及び遊戯用具,Toy and indoor games,,,,,1，000t,,96,189527,93,152548,3,36979
特殊取扱品,Special commodities,,,,,,,,,,587836,,70282,,517553
特殊取扱品,Special commodities,再輸入品,Re-import goods,,,,,,,,523980,,66990,,456990
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (2)輸入 (平成23年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (2) IMPORTS ( 2011 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡金額 (F.O.B.)，輸入は到着金額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
